<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141117,033000,93728,94010,93389,93586,199
20141124,033000,93581,98408,93552,97089,367
20141201,033000,96985,98658,96458,98524,530
20141208,033000,98519,103348,98303,103206,433
20141215,033000,103178,103313,100055,101270,636
20141222,033000,101285,102184,100881,101764,442
20141229,033000,101770,101836,99216,100336,414
20150105,033000,100339,102016,100148,101346,284
20150112,033000,101355,104630,100366,104521,396
20150119,033000,104491,106732,104367,106104,503
20150126,033000,106100,106100,103688,104600,342
20150202,033000,104584,104722,98819,100082,402
20150209,033000,100096,102029,100096,101244,414
20150216,033000,101283,101373,98596,99598,247
20150223,033000,99611,101365,99073,100766,303
20150302,033000,101090,101112,97038,97904,176
20150309,033000,97938,98068,90262,93242,186
20150316,033000,93207,96668,93149,96610,101
20150323,043000,96692,98840,93458,95896,4
20150330,043000,95861,98504,93100,98041,169
20150406,043000,98052,100743,96958,99659,225
20150413,043000,99634,99669,97880,98998,274
20150420,043000,98920,99068,96772,97121,293
20150427,043000,97132,98204,96495,96944,188
20150504,043000,97014,97244,95732,95770,208
20150511,043000,95790,97225,94672,96916,95
20150518,043000,96954,97335,95240,95735,89
20150525,043000,95758,95882,94720,95170,208
20150601,043000,95158,95424,93379,93518,183
20150608,043000,93564,94510,92819,92918,148
20150615,043000,92910,93416,91862,92710,149
20150622,043000,92728,93343,91848,93218,161
20150629,043000,93235,93436,90676,91138,147
20150706,043000,91161,91184,88123,88879,177
20150713,043000,88771,92055,88408,89168,229
20150720,043000,89187,89621,87221,89455,229
20150727,043000,89432,89877,88869,89460,170
20150803,043000,89441,89963,89002,89464,121
20150810,043000,89468,91574,89362,91187,148
20150817,043000,91353,96459,91302,96016,148
20150824,043000,95980,96102,93075,94145,247
20150831,043000,94164,95063,93592,94200,187
20150907,043000,94206,94280,92774,93305,124
20150914,043000,93268,94229,92955,93787,68
20150921,043000,93802,94631,92960,94459,81
20150928,033000,94463,95037,93518,94528,160
20151005,033000,94510,96607,94271,96552,193
20151012,033000,96460,97756,95721,96282,392
20151019,033000,96264,96278,95286,95882,180
20151026,033000,95845,97046,95322,95642,97
20151102,033000,95678,95678,92687,93051,71
20151109,033000,93075,94072,92881,93531,158
20151116,033000,93512,93776,91717,92340,167
20151123,033000,92191,92942,91868,92828,162
20151130,033000,92834,94370,92582,94325,155
20151207,033000,94336,94336,93597,93860,170
20151214,033000,93874,93924,92860,93612,138
20151221,033000,93600,96473,93600,96240,186
20151228,033000,96228,96240,95203,95470,174
20160104,033000,95482,98758,95482,97995,238
20160111,033000,97984,98010,93020,94376,266
20160118,033000,94384,95428,93305,94996,168
20160125,033000,95014,97846,95005,96785,1133
20160201,033000,96768,100294,96768,98600,687
20160208,033000,98597,102999,97742,101660,2474
20160215,033000,101678,101678,98342,100599,2751
20160222,033000,100582,103050,99513,101435,1238
20160229,033000,101425,103893,101425,103374,822
20160307,033000,103386,103662,102659,103386,732
20160314,033000,103478,103562,102128,103550,1055
20160321,043000,103490,103721,102626,102915,273
20160328,043000,102808,104843,102808,104356,479
20160404,043000,104344,105960,103527,105728,1557
20160411,043000,105716,107023,104851,104944,1057
20160418,043000,104932,105500,103905,104354,1095
20160425,043000,104342,107424,104148,107034,623
20160502,043000,107046,107414,105532,106190,1051
20160509,043000,106136,106148,104669,104808,699
20160516,043000,104820,105452,102819,103119,1553
20160523,043000,103130,103215,100974,101661,1626
20160530,043000,101142,103577,100899,103063,1202
20160606,043000,103046,104564,102013,104171,959
20160613,043000,104182,106976,104182,105926,948
20160620,043000,105544,109169,104356,109076,947
20160627,043000,109065,112482,108812,111697,2298
20160704,043000,111639,114398,111558,114248,1248
20160711,043000,114271,114271,110624,110878,969
20160718,043000,110866,111074,110058,110843,1329
20160725,043000,110831,114086,110427,113982,1455
20160801,043000,113971,115434,112470,113174,1156
20160808,043000,113209,114860,112840,113249,762
20160815,043000,113252,114364,113152,113302,873
20160822,043000,113290,113878,112736,113244,776
20160829,043000,113186,114006,112805,114006,429
20160905,043000,113994,114998,113198,113758,492
20160912,043000,113774,114328,113498,113618,579
20160919,043000,113722,114375,113278,114115,895
20160926,033000,114110,114375,113348,113544,891
20161003,033000,113532,113578,109492,110242,601
20161010,033000,110416,110589,109538,109694,520
20161017,033000,109700,110554,109654,110462,255
20161024,033000,110474,112397,110462,112376,913
20161031,033000,112347,114687,112082,114448,681
20161107,033000,114429,115692,110115,110934,2067
20161114,033000,110923,111679,109562,109770,2533
20161121,033000,109747,111963,109747,111847,820
20161128,033000,111986,113579,110670,113302,1271
20161205,033000,113325,113602,112101,112609,2252
20161212,033000,112621,113532,112217,112378,740
20161219,033000,112390,114340,112355,114260,405
20161226,033000,114271,116949,110808,112863,2680
20170102,033000,112851,115010,112378,114871,1466
20170109,033000,114848,116464,114617,115425,739
20170116,033000,115449,115933,114133,114721,1386
20170123,033000,114733,115148,113856,113948,487
20170130,033000,113960,115425,112748,115172,1513
20170206,033000,115148,115910,114779,115425,947
20170213,033000,115402,115425,114479,114802,969
20170220,033000,114779,116418,114433,116303,602
20170227,033000,116326,116395,115148,115241,856
20170306,033000,115218,115241,112332,112886,947
20170313,033000,112909,115379,112586,115356,648
20170320,033000,115379,117272,115287,116603,600
20170327,043000,116580,117342,116326,116580,1087
20170403,043000,116187,117018,115933,116787,925
20170410,043000,116764,119182,116510,118917,626
20170417,043000,118906,119044,117642,117982,684
20170424,043000,117971,117971,116817,117552,1256
20170501,043000,117563,117624,112693,113528,1228
20170508,043000,113516,114251,113097,114082,470
20170515,043000,114094,116152,113590,115016,1045
20170522,043000,115028,115514,114526,114914,1275
20170529,043000,114896,114990,113567,114613,637
20170605,043000,114631,115856,113944,114313,524
20170612,043000,114338,114690,113619,114578,509
20170619,043000,114561,115720,113772,115598,784
20170626,043000,115581,116131,114552,115990,1294
20170703,043000,116002,116052,113470,113736,1787
20170710,043000,113724,114308,113158,113686,1105
20170717,043000,113674,115232,113590,114612,292
20170724,043000,114601,118517,114574,117910,750
20170731,043000,117960,118325,117152,117224,1474
20170807,043000,117213,119686,117094,118725,577
20170814,043000,118736,119290,117524,118594,929
20170821,043000,118582,121487,118306,121233,1035
20170828,043000,121222,126876,120922,126818,1873
20170904,043000,126830,128026,124738,126264,2147
20170911,043000,126253,126264,122876,122926,1166
20170918,043000,122948,122950,119425,121244,1593
20170925,033000,121256,123122,120633,120875,2593
20171002,033000,120825,123988,120298,123595,636
20171009,033000,123606,125822,123572,124426,1093
20171016,033000,124414,124680,121590,121652,1635
20171023,033000,121640,124222,121444,123984,1983
20171030,033000,123960,124618,123334,124391,1208
20171106,033000,124380,126061,124030,125772,1017
20171113,033000,125784,127200,125122,126468,1262
20171120,033000,126480,128111,125307,127957,2709
20171127,033000,127969,130392,127907,130080,1408
20171204,033000,130069,131604,127688,128536,1800
20171211,033000,128571,130200,127696,129515,1
20171218,033000,129504,134393,129323,134382,1
20171225,033000,134393,140240,133366,135997,1
20180101,033000,135986,141636,135901,141360,1
20180108,033000,141348,142310,139240,142236,1
20180115,033000,142248,145598,142202,143870,1
20180122,033000,143850,147406,143697,147353,1
20180205,033000,147902,149353,146705,148996,727
20180212,033000,149046,154800,140507,143076,952
20180219,033000,143026,146935,141122,146935,185
20180226,033000,146743,149734,146313,149084,184
20180305,033000,149476,151792,148460,150915,188
20180312,033000,150846,153831,150846,152177,215
20180319,033000,152277,159990,152277,159990,49
20180326,043000,160440,162294,157732,159294,187
20180402,043000,159344,174654,159294,170815,587
20180409,043000,170765,178582,156243,169903,715
20180416,043000,169853,172723,168392,169853,1126
20180423,043000,169803,177082,168726,176385,1248
20180430,043000,176335,208479,176235,196585,1469
20180507,043000,196635,203682,181932,190714,1448
20180514,043000,190764,190907,179386,183713,1365
20180521,043000,183663,191014,182602,190403,1318
20180528,043000,190353,200870,190210,197016,1251
20180604,043000,197066,205106,196966,202752,915
20180611,043000,202802,217804,202586,211480,1455
20180618,043000,211530,274010,210676,257880,1816
20180625,043000,257930,259254,230287,244858,1499
20180702,043000,244808,249575,227178,235161,1655
20180709,043000,235211,241485,224974,235111,1518
20180716,043000,235161,268344,228936,267951,1637
20180723,043000,268001,317442,263908,317442,2978
20180730,043000,320201,334500,273710,285916,2513
20180806,043000,287738,308164,258125,293132,3458
20180813,043000,293232,303334,287299,291126,2802
20180820,043000,291142,296460,290267,295768,2134
20180827,043000,295690,336661,295690,334071,2560
20180903,043000,334225,380762,332520,344500,3615
