<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20250514,203000,3188.62,3190.655,3180.985,3181.99,18915
20250514,213000,3182.07,3183.135,3171.78,3172.035,15996
20250514,223000,3172.065,3181.605,3168.065,3180.625,16937
20250514,233000,3180.635,3183.365,3176.985,3177.585,6045
20250515,013000,3181.06,3183.99,3180.205,3182.775,4528
20250515,023000,3182.74,3187.455,3181.255,3186.165,5903
20250515,033000,3186.155,3188.015,3180.3,3187.845,13762
20250515,043000,3187.825,3192.83,3171.335,3172.46,26165
20250515,053000,3172.455,3175.65,3150.185,3154.285,29732
20250515,063000,3154.3,3157.175,3148.395,3150.665,15646
20250515,073000,3150.67,3152.675,3135.545,3138.605,15310
20250515,083000,3138.64,3143.15,3123.425,3129.06,22248
20250515,093000,3129.06,3154.04,3120.765,3150,38941
20250515,103000,3149.925,3152.175,3130.715,3142.35,31718
20250515,113000,3142.315,3164.325,3139.17,3162.6,24777
20250515,123000,3162.605,3171.725,3159.35,3165.37,22439
20250515,133000,3165.39,3179.195,3164.225,3178.41,18549
20250515,143000,3178.425,3180.25,3172.55,3179.25,19775
20250515,153000,3179.21,3189.98,3177.555,3188.865,37285
20250515,163000,3188.87,3199.96,3185.2,3192.21,57577
20250515,173000,3192.245,3207.215,3190.52,3205.54,49324
20250515,183000,3205.52,3220.17,3204.715,3219.825,29432
20250515,193000,3219.905,3222.815,3215.955,3222.61,16673
20250515,203000,3222.595,3229.25,3216.535,3221.21,18529
20250515,213000,3221.375,3226.045,3219.9,3223.305,11173
20250515,223000,3223.33,3232.85,3222.395,3231.99,12299
20250515,233000,3231.96,3240.725,3231.07,3239.97,7874
20250516,013000,3241.785,3252.255,3241.61,3251.155,10266
20250516,023000,3251.345,3251.365,3236.565,3237.28,14040
20250516,033000,3237.255,3244.095,3232.085,3243.175,20018
20250516,043000,3243.265,3244.675,3215.035,3222.175,31314
20250516,053000,3222.165,3227.62,3212.795,3215.525,21945
20250516,063000,3215.365,3217.46,3206.6,3211.93,22333
20250516,073000,3211.845,3222.62,3211.8,3219.575,13522
20250516,083000,3219.665,3222.43,3212.08,3218.695,15804
20250516,093000,3218.67,3231.335,3212.87,3215.005,22896
20250516,103000,3214.975,3218.115,3205.295,3207.62,22817
20250516,113000,3207.52,3209.375,3195.53,3207.525,20299
20250516,123000,3207.475,3213.015,3203.86,3209.275,16620
20250516,133000,3209.295,3211.105,3168.975,3176.17,28737
20250516,143000,3176.175,3179.415,3154.3,3163.38,33889
20250516,153000,3163.375,3182.2,3154.82,3177.435,35690
20250516,163000,3177.44,3186.795,3169.5,3180.73,45272
20250516,173000,3180.58,3188.61,3165.9,3173.335,43503
20250516,183000,3173.325,3185.175,3172.815,3183.585,25936
20250516,193000,3183.625,3189.9,3180.595,3189.405,21031
20250516,203000,3189.435,3192.35,3183.47,3189.495,17352
20250516,213000,3189.51,3191.25,3184.88,3187.61,13101
20250516,223000,3187.605,3195.9,3187.54,3192.63,13605
20250516,233000,3192.555,3205.885,3192.245,3204.45,9684
20250519,013000,3215.99,3240.875,3212.075,3239.29,17196
20250519,023000,3239.225,3245.345,3226.745,3235.025,17036
20250519,033000,3235.025,3249.85,3233.54,3246.52,28025
20250519,043000,3246.405,3246.95,3214.695,3218.595,40202
20250519,053000,3218.5,3230.15,3217.03,3228.615,21761
20250519,063000,3228.62,3230.605,3208.14,3212.265,18501
20250519,073000,3212.255,3218.28,3206.725,3215.97,10453
20250519,083000,3216.22,3224.435,3215.005,3224.16,14975
20250519,093000,3224.135,3231.76,3220.36,3224.29,28359
20250519,103000,3224.285,3234.585,3224.085,3232.395,26327
20250519,113000,3232.405,3245.015,3230.09,3244.565,20632
20250519,123000,3244.695,3247.725,3233.61,3242.115,21045
20250519,133000,3242.03,3245.435,3234.275,3241.76,16202
20250519,143000,3241.78,3248.59,3239.16,3243.835,14727
20250519,153000,3243.81,3244.54,3228.905,3229.5,28513
20250519,163000,3229.625,3241.75,3224.675,3230.08,44594
20250519,173000,3230.02,3236.225,3217.29,3233.98,39412
20250519,183000,3233.985,3239.915,3229.665,3231.71,24072
20250519,193000,3231.765,3234.38,3228.205,3231.92,16844
20250519,203000,3231.88,3233.32,3225.595,3226.465,16586
20250519,213000,3226.475,3235.27,3225.32,3233.625,12719
20250519,223000,3233.67,3235.97,3231.62,3233.12,8961
20250519,233000,3233.155,3233.85,3228.1,3230.4,4467
20250520,013000,3228.025,3230.59,3224.71,3226.95,3537
20250520,023000,3226.97,3227.53,3219.02,3222.665,8180
20250520,033000,3222.745,3224.3,3214.13,3222.83,15697
20250520,043000,3222.71,3232.85,3220.59,3221.175,25896
20250520,053000,3221.2,3223.16,3206.455,3206.785,22924
20250520,063000,3206.795,3214.245,3204.67,3211.45,15947
20250520,073000,3211.415,3218.135,3211.35,3217.395,10520
20250520,083000,3217.325,3219.885,3209.94,3213.88,16450
20250520,093000,3213.9,3219.235,3208.59,3209.885,20307
20250520,103000,3209.745,3225.455,3207.98,3222.98,19883
20250520,113000,3222.87,3236.18,3218.38,3236.04,18869
20250520,123000,3236.035,3239.465,3230.49,3236.445,22815
20250520,133000,3236.45,3238.45,3232.015,3235.38,14079
20250520,143000,3235.405,3241.74,3235.265,3241.32,13222
20250520,153000,3241.255,3251.05,3234.53,3242.855,28344
20250520,163000,3242.83,3262.025,3232.995,3261.36,44752
20250520,173000,3261.425,3285.93,3260.805,3282.675,64675
20250520,183000,3282.73,3283.675,3273.445,3277.355,31299
20250520,193000,3277.37,3282.675,3275.31,3278.885,16594
20250520,203000,3278.98,3287.97,3278.345,3286.63,15575
20250520,213000,3286.625,3289.78,3284.17,3287.775,16180
20250520,223000,3287.765,3295.285,3287.295,3294.1,14661
20250520,233000,3294.125,3295.79,3289.19,3289.845,6814
20250521,013000,3292.7,3304.115,3292.665,3296.79,12984
20250521,023000,3296.785,3296.96,3288.675,3290.635,9964
20250521,033000,3290.63,3304.315,3288.935,3303.575,16398
20250521,043000,3303.485,3314.82,3285.34,3294.755,39006
20250521,053000,3294.74,3305.375,3289.4,3301.85,25843
20250521,063000,3301.875,3309.825,3299.25,3307.56,15763
20250521,073000,3307.51,3308.3,3301.23,3302.17,11434
20250521,083000,3302.155,3319.845,3298.51,3316.365,21641
