<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19790312,033000,100,140,100,140,1
19800317,033000,140,200,140,200,1
19810316,033000,200,270,200,270,1
19820315,033000,270,350,270,350,1
19830314,033000,350,450,350,450,1
19840312,033000,450,580,450,580,1
19850318,033000,580,610,580,610,1
19860317,033000,610,740,610,740,1
19870316,033000,740,960,740,960,1
19880314,033000,990,990,960,960,1
19890313,033000,960,1200,960,1200,1
19900312,033000,1200,1410,1200,1410,1
19910318,033000,1410,1420,1410,1420,1
19920316,033000,1420,1490,1420,1490,1
19930315,033000,1490,1800,1490,1800,1
19940314,033000,1800,2630,1800,2630,1
19950313,033000,2630,4030,2630,4030,1
19960318,033000,4030,4440,4030,4440,1
19970317,033000,4440,4780,4440,4780,1
19980316,033000,4780,6460,4780,6460,1
19990315,033000,6460,8630,6460,8630,1
20000313,033000,8630,8630,8130,8130,1
20010319,033000,8130,8130,7990,7990,1
20020318,033000,7920,7990,7920,7990,1
20030317,033000,7990,8320,7990,8320,1
20040315,033000,8320,8740,8320,8740,1
20050314,033000,8740,9040,8740,9040,1
20060313,033000,9040,9220,9040,9220,1
20070319,033000,9220,9430,9220,9430,1
20071210,033000,9400,9500,9400,9500,2
20071217,033000,9500,9500,9470,9470,1
20071224,033000,9480,9480,9340,9340,1
20071231,033000,9330,9350,9330,9350,1
20080107,033000,9310,9400,9300,9400,1
20080114,033000,9390,9470,9370,9370,1
20080121,033000,9370,9370,9300,9340,1
20080128,033000,9350,9470,9350,9470,1
20080204,033000,9460,9460,9400,9400,1
20080211,033000,9410,9430,9360,9360,1
20080218,033000,9360,9380,9260,9260,1
20080225,033000,9250,9320,9250,9250,1
20080303,033000,9250,9250,9150,9150,1
20080310,033000,9150,9150,9070,9110,1
20080317,033000,9300,9300,9180,9210,1
20080324,043000,9210,9250,9200,9200,1
20080331,043000,9150,9150,9070,9070,1
20080407,043000,9070,9140,9050,9100,1
20080414,043000,9200,9340,9150,9340,1
20080421,043000,9300,9370,9270,9370,1
20080428,043000,9350,9450,9330,9350,1
20080505,043000,9370,9380,9320,9350,1
20080512,043000,9350,9370,9210,9220,1
20080519,043000,9220,9340,9210,9340,1
20080526,043000,9380,9400,9380,9400,1
20080602,043000,9280,9470,9280,9470,1
20080609,043000,9450,9450,9380,9380,1
20080616,043000,9380,9400,9310,9310,1
20080623,043000,9310,9350,9250,9350,1
20080630,043000,9350,9380,9260,9260,1
20080707,043000,9260,9300,9260,9300,1
20080714,043000,9300,9350,9250,9330,1
20080721,043000,9330,9410,9330,9410,1
20080728,043000,9400,9650,9400,9650,1
20080804,043000,9550,9700,9550,9700,1
20080811,043000,9650,9650,9630,9640,1
20080818,043000,9650,9700,9650,9700,1
20080825,043000,9700,9750,9700,9750,1
20080901,043000,9750,9900,9700,9850,1
20080908,043000,9850,9850,9720,9720,1
20080915,043000,9720,9720,9620,9700,1
20080922,033000,9700,9950,9700,9900,1
20080929,033000,9900,9970,9900,9960,1
20081006,033000,9950,9950,9890,9930,1
20081013,033000,9930,10050,9930,10050,1
20081020,033000,10050,10180,10050,10150,1
20081027,033000,10150,10180,10120,10180,1
20081103,033000,10150,10250,10150,10250,1
20081110,033000,10250,10340,10250,10340,1
20081117,033000,10360,10360,10240,10240,1
20081124,033000,10240,10240,10220,10240,1
20081201,033000,10250,10250,10070,10070,1
20081208,033000,10080,10080,9950,10000,1
20081215,033000,10000,10000,9950,9950,1
20081222,033000,9950,9950,9890,9950,1
20081229,033000,9950,10040,9950,10040,1
20090105,033000,10040,10100,10040,10060,1
20090112,033000,10060,10060,9950,9950,1
20090119,033000,9950,9950,9780,9800,1
20090126,033000,9800,9800,9680,9680,1
20090202,033000,9660,9670,9650,9650,1
20090209,033000,9650,9730,9650,9730,1
