<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210623,130000,1213015.12,1213022.83,1213015.12,1213022.83,26758129047
20210623,170000,1213022.8,1213022.8,1213022.8,1213022.8,8919134043
20210623,180000,1213054.57,1213054.57,1213054.57,1213054.57,8919119043
20210626,090000,1213054.57,1227614.72,1213054.57,1227614.72,15785579423
20210626,100000,1229744.01,1236241.27,1229744.01,1236241.27,42540950006
20210626,110000,1236370.76,1236400.28,1234992.53,1234992.53,66151965993
20210626,120000,1234862.3,1234862.3,1233783.14,1233783.22,69189072093
20210626,130000,1233783.13,1233783.13,1233783.13,1233783.13,7294613149
20210626,170000,1233783.1,1233783.1,1233783.1,1233783.1,7294193269
20210626,180000,1233738.14,1233738.14,1233738.14,1233738.14,7294193269
20210627,090000,1233738.14,1236607.43,1230470.09,1236607.43,19250816358
20210627,100000,1237175.61,1240639.41,1237175.61,1240290.09,52554501624
20210627,110000,1240152.67,1240152.67,1239248.96,1239248.96,72326568917
20210627,120000,1239156.2,1239156.2,1238485.59,1238485.87,83080908021
20210627,130000,1238485.81,1238485.81,1238485.81,1238485.81,7961921797
20210627,140000,1238485.75,1238485.75,1238485.75,1238485.75,7961721797
20210627,180000,1238485.77,1238485.77,1238485.76,1238485.76,15916623248
20210627,190000,1238487.22,1238487.22,1238487.22,1238487.22,7958311624
20210628,090000,1238487.22,1240519.27,1236474.69,1239925.77,22526461275
20210628,100000,1240357.29,1242499.65,1240357.29,1242499.65,51199943380
20210628,110000,1242716.38,1243499.84,1242716.38,1243499.84,70430808055
20210628,120000,1243526.27,1243748.4,1243526.27,1243748.37,57830189974
20210628,130000,1243747.89,1243747.93,1243747.89,1243747.93,15455076383
20210628,170000,1243747.92,1243747.93,1243747.92,1243747.93,15453868712
20210628,180000,1243812.28,1243812.28,1243812.28,1243812.28,7726931471
20210629,090000,1243812.28,1250499.38,1243812.28,1250446.77,14662051925
20210629,100000,1250977.62,1250977.62,1248593.33,1248593.33,40263602761
20210629,110000,1248448.4,1248804.26,1248350.01,1248790.09,51107684802
20210629,120000,1248676.88,1248676.88,1248323.77,1248539.91,60106931508
20210629,160000,1248540.47,1248540.47,1248540.47,1248540.47,6460210476
20210629,170000,1248540.46,1248540.46,1248540.46,1248540.46,6460160476
20210629,180000,1248516.5,1248516.5,1248516.5,1248516.5,6460160476
20210630,090000,1248516.5,1251654.13,1248103.1,1251654.13,12587393843
20210630,100000,1252093.2,1255610.76,1252093.2,1255610.76,38188057321
20210630,110000,1255613.06,1256414.02,1255613.06,1256414.02,55279296502
20210630,120000,1256503.72,1256921.18,1256503.72,1256921.08,51755121978
20210630,130000,1256959.97,1256960.19,1256959.97,1256960.19,12308724260
20210630,170000,1256960.16,1256960.16,1256960.15,1256960.15,12307092716
20210630,190000,1256978.21,1256978.21,1256978.21,1256978.21,6153546358
20210703,090000,1256978.21,1258909.05,1256978.21,1258062.4,12251080620
20210703,100000,1257768.23,1257768.23,1252320.07,1252320.07,36852753751
20210703,110000,1252113.97,1252113.97,1248646.74,1248646.74,57570089828
20210703,120000,1248193.87,1248193.87,1246051.02,1246055.35,53568202402
20210703,130000,1246055.39,1246055.39,1246055.39,1246055.39,6308319007
20210703,170000,1246111.87,1246111.87,1246111.87,1246111.87,6308319007
20210704,090000,1246111.87,1246111.87,1237550.02,1240436.56,11956790859
20210704,100000,1241155.84,1244444.68,1241155.84,1244444.68,34455347081
20210704,110000,1244440.62,1244546.36,1244210.42,1244210.42,48910136407
20210704,120000,1244138.23,1244138.23,1243792.46,1243792.68,50831250997
20210704,130000,1243792.69,1243792.69,1243792.69,1243792.69,5329715496
