<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150228,090000,9109.2,9116.6,9090,9090,5081338250
20150301,090000,9014.7,9030.4,9009,9030.4,9578075890
20150302,090000,9030.4,9056.2,9030.4,9043.5,19653349782
20150303,090000,9043.5,9046.7,9025,9025.6,15164994377
20150304,090000,9025.6,9043,9025.6,9043,12215201305
20150307,090000,9043,9057.5,9033.7,9033.7,7511719532
20150308,090000,9033.71,9036.5,9015.9,9016.1,5630113702
20150309,090000,8996.07,9006.3,8994.2,8994.2,4873588870
20150309,130000,8994,8994,8988.8,8988.8,2330939791
20150310,090000,8988.8,8991.9,8931.6,8931.6,6163055649
20150310,130000,8931.5,8931.6,8931.5,8931.6,586177938
20150311,090000,8931.6,8946.3,8931.6,8932.2,4597842849
20150314,090000,8932.2,9006.4,8932.2,9006.4,13514588183
20150315,090000,9001.5,9072.2,9001.5,9063.6,17191413982
20150316,090000,9063.6,9074.3,9042.6,9042.6,21735317282
20150317,090000,9042.6,9042.6,8927.6,8927.7,7094183439
20150318,090000,8927.7,9036,8927.7,9035.5,16641087096
20150325,090000,9035.5,9056.5,9035.5,9056.5,6454684781
20150328,090000,9048.5,9136.3,9048.5,9136.3,10374104775
20150329,090000,9136.3,9289.5,9136.3,9288.8,22757292059
20150330,090000,9288.8,9293.8,9226.3,9226.3,17803467809
20150331,090000,9226.3,9240.9,9215.2,9228.7,12928053467
20150404,090000,9228.7,9426.3,9228.7,9426.3,10099622508
20150405,090000,9426.3,9666.8,9426.3,9666.8,34729057663
20150405,130000,9664,9664,9664,9664,1241892162
20150406,090000,9664,9734.9,9634.2,9634.3,76269136306
20150407,090000,9634.3,9634.3,9549.5,9549.5,25724606579
20150408,090000,9549.5,9571.4,9536.2,9565.9,28011747377
20150408,170000,9563.1,9563.1,9563.1,9563.1,1764432603
20150411,090000,9563.1,9563.1,9488.5,9488.5,32275551363
20150412,090000,9488.5,9488.5,9366.8,9366.8,26439968385
20150413,090000,9366.8,9377.8,9317.6,9319.4,24412089314
20150414,090000,9319.4,9358.4,9319.4,9357.1,11058622113
20150415,090000,9357.1,9381.8,9357.1,9357.4,18972534625
20150418,090000,9357.4,9369,9337.2,9337.3,11994789463
20150418,130000,9332.1,9332.1,9332.1,9332.1,729364663
20150419,090000,9332.1,9361.1,9332.1,9343.6,13491370494
20150419,130000,9335.9,9335.9,9335.9,9335.9,534312029
20150420,090000,9335.9,9340.3,9291,9291,7524439793
20150420,130000,9286,9286,9286,9286,399458100
20150421,090000,9286,9298.6,9272.5,9272.5,10272982377
20150422,090000,9272.5,9298.7,9272.5,9277.5,11388699154
20150422,130000,9272.7,9272.7,9272.7,9272.7,533240929
20150425,090000,9272.7,9279.1,9269.6,9269.7,8001274400
20150426,090000,9269.7,9279.3,9267.6,9267.6,8389665064
20150427,090000,9267.6,9270.6,9214.3,9214.3,8368269439
20150427,130000,9212,9212,9212,9212,368732329
20150428,090000,9212,9219.8,9197.1,9210.4,7186934848
20150429,090000,9210.4,9222.2,9200.8,9201.2,5803899423
20150503,090000,9201.2,9204.1,9151.9,9151.9,5427560366
20150504,090000,9151.9,9151.9,9073.1,9073.1,9385468424
20150505,090000,9073.1,9083.6,9052.6,9052.6,7184320626
20150506,090000,9052.6,9061.8,9052.6,9056,12885491823
20150509,090000,9047.1,9057.8,9001.3,9001.3,19890071033
20150509,130000,8998.1,8998.1,8998.1,8998.1,735475945
