date,open,high,low,close,volume
2021-07-15,1826.32,1834.19,1820.38,1829.53,30426
2021-07-16,1829.53,1832.07,1809.03,1812.26,45372
2021-07-19,1812.26,1817.42,1795.12,1812.85,49952
2021-07-20,1812.85,1825.01,1805.13,1810.35,45189
2021-07-21,1810.35,1813.8,1794.67,1803.51,41983
2021-07-22,1803.51,1808.12,1792.84,1806.66,39534
2021-07-23,1806.66,1810.37,1789.69,1801.97,35913
2021-07-26,1801.97,1811.61,1796.44,1797.58,37417
2021-07-27,1797.58,1805.29,1793.69,1798.99,38613
2021-07-28,1798.99,1809.86,1792.8,1806.89,49317
2021-07-29,1806.89,1832.73,1806.89,1827.97,41190
2021-07-30,1827.97,1831.41,1810.33,1814.18,34039
2021-08-02,1814.18,1819.56,1805.88,1813.49,39741
2021-08-03,1813.49,1815.07,1807.17,1810.45,29274
2021-08-04,1810.45,1831.77,1806.46,1811.86,45641
2021-08-05,1811.86,1814.92,1797.9,1804.16,37061
2021-08-06,1804.16,1804.96,1758.8,1763.09,60017
2021-08-09,1763.09,1764.67,1677.69,1729.67,114997
2021-08-10,1729.67,1738.33,1717.79,1729.12,50907
2021-08-11,1729.12,1754.53,1724.2,1751.55,59355
2021-08-12,1751.55,1758.2,1741.65,1752.61,46953
2021-08-13,1752.61,1780.1,1751.74,1779.9,36758
2021-08-16,1779.9,1789.3,1770.88,1787.2,44107
2021-08-17,1787.2,1795.6,1780.67,1786.07,53037
2021-08-18,1786.07,1793.83,1777.43,1787.33,56962
2021-08-19,1787.33,1792.55,1774.21,1779.94,61607
2021-08-20,1779.94,1788.49,1778.42,1781.24,46080
2021-08-23,1781.24,1806.44,1776.56,1805.44,49296
2021-08-24,1805.44,1809.61,1800.77,1803.08,40050
2021-08-25,1803.08,1803.12,1782.53,1790.57,51083
2021-08-26,1790.57,1798.28,1780.14,1791.99,52543
2021-08-27,1791.99,1819.22,1784.96,1817.42,63681
2021-08-30,1817.42,1823.28,1807.79,1810.36,34936
2021-08-31,1810.36,1819.24,1801.72,1813.8,47684
2021-09-01,1813.8,1820.08,1808.73,1814.14,44047
2021-09-02,1814.14,1817.18,1804.9,1809.57,30267
2021-09-03,1809.57,1834.04,1809.05,1827.8,53334
2021-09-06,1827.8,1830.31,1821.51,1823.34,16515
2021-09-07,1823.34,1827.33,1792.46,1794.32,46302
2021-09-08,1794.32,1802.18,1782.47,1789.24,46648
2021-09-09,1789.24,1801.06,1783.9,1794.42,47393
2021-09-10,1794.42,1803.92,1787.33,1787.55,42398
2021-09-13,1787.55,1798.47,1783.8,1793.47,34413
2021-09-14,1793.47,1808.66,1780.6,1804.63,53869
2021-09-15,1804.63,1806.99,1790.7,1793.7,45917
2021-09-16,1793.7,1796.25,1745.36,1753.5,73489
2021-09-17,1753.5,1767.56,1747.4,1754.95,50971
2021-09-20,1754.95,1767.21,1742.08,1764.24,47087
2021-09-21,1764.24,1781.84,1758,1774.37,39462
2021-09-22,1774.37,1787.32,1764.77,1768.13,73426
2021-09-23,1768.13,1776.63,1737.84,1742.31,70037
2021-09-24,1742.31,1757.65,1740.52,1750.46,43041
2021-09-27,1750.46,1760.91,1744.88,1750.26,46440
2021-09-28,1750.26,1754.55,1728.19,1734.08,67847
2021-09-29,1734.08,1745.53,1721.71,1726.61,52779
2021-09-30,1726.61,1764.24,1722.29,1757.04,56714
2021-10-01,1757.04,1764.35,1749.71,1760.92,57652
2021-10-04,1760.92,1770.58,1747.79,1769.47,51465
2021-10-05,1769.47,1770.15,1748.68,1759.96,46683
2021-10-06,1759.96,1765.06,1745.99,1762.83,56039
2021-10-07,1762.83,1766.98,1752.03,1755.18,41451
2021-10-08,1755.18,1781.4,1753.45,1757.17,60204
2021-10-11,1757.17,1761.1,1750.24,1754.31,31488
2021-10-12,1754.31,1769.42,1750.81,1760.12,46946
2021-10-13,1760.12,1796.24,1757.89,1793.05,60380
2021-10-14,1793.05,1800.64,1786.77,1795.97,37882
2021-10-15,1795.97,1796.49,1764.86,1767.47,48304
2021-10-18,1767.47,1772.11,1760.38,1764.87,54726
2021-10-19,1764.87,1785.16,1762.95,1769.55,45535
2021-10-20,1769.55,1788.47,1766.94,1781.93,43624
2021-10-21,1781.93,1789.46,1776.56,1782.97,46754
2021-10-22,1782.97,1813.85,1782.88,1792.53,59565
2021-10-25,1792.53,1810.08,1792.29,1807.77,42895
2021-10-26,1807.77,1808.37,1782.46,1792.82,40667
2021-10-27,1792.82,1799.06,1783.58,1796.96,47279
2021-10-28,1796.96,1810.51,1792.42,1798.82,62585
2021-10-29,1798.82,1801.27,1771.98,1783.35,66247
2021-11-01,1783.35,1795.84,1779.17,1793.23,37863
2021-11-02,1793.23,1796.44,1786.45,1788,40325
2021-11-03,1788,1788.29,1758.89,1769.69,65614
2021-11-04,1769.69,1798.95,1769.64,1791.78,49706
2021-11-05,1791.78,1818.36,1785.06,1818.17,60851
2021-11-08,1818.17,1826.52,1812.49,1824.22,41143
2021-11-09,1824.22,1832.76,1819.19,1831.91,45955
2021-11-10,1831.91,1868.63,1822.4,1849.27,70731
2021-11-11,1849.27,1866.03,1842.95,1861.95,42780
2021-11-12,1861.95,1868.76,1845.3,1864.9,51914
2021-11-15,1864.9,1870.58,1856.38,1862.74,42532
2021-11-16,1862.74,1877.14,1849.77,1850.73,61029
2021-11-17,1850.73,1868.13,1849.67,1867.41,42701
2021-11-18,1867.41,1870.94,1855.2,1858.85,48891
2021-11-19,1858.85,1865.84,1843.09,1845.88,66200
2021-11-22,1845.88,1849.16,1802.31,1804.8,74035
2021-11-23,1804.8,1812.43,1782.04,1789.08,73796
2021-11-24,1789.08,1796.46,1778.62,1788.58,60536
2021-11-25,1788.58,1795.15,1786.12,1788.54,17799
2021-11-26,1788.54,1815.57,1780.41,1793.04,70850
2021-11-29,1793.04,1799.49,1769.8,1784.84,63512
2021-11-30,1784.84,1808.86,1769.97,1774.68,101246
2021-12-01,1774.68,1794.7,1772.3,1781.96,77121
2021-12-02,1781.96,1783.45,1761.94,1768.24,60683
2021-12-03,1768.24,1786.12,1766.21,1783.8,68066
2021-12-06,1783.8,1787.78,1775.77,1778.59,36714
2021-12-07,1778.59,1787.88,1772.25,1784.06,34880
2021-12-08,1784.06,1793.15,1779.71,1782.77,38865
2021-12-09,1782.77,1787.67,1773.31,1775.31,36618
2021-12-10,1775.31,1789.53,1770.21,1782.87,39262
2021-12-13,1782.87,1791.66,1781.89,1786.7,27144
2021-12-14,1786.7,1789.55,1766.59,1770.53,36281
2021-12-15,1770.53,1780.93,1753.07,1777.22,55597
2021-12-16,1777.22,1799.69,1775.6,1799.23,40863
2021-12-17,1799.23,1814.31,1795.84,1798.16,34914
2021-12-20,1798.16,1804.17,1788.38,1790.62,30905
2021-12-21,1790.62,1800.51,1784.9,1788.95,30969
2021-12-22,1788.95,1805.05,1785.95,1803.59,23212
2021-12-23,1803.59,1810.74,1798.91,1808.47,22058
2021-12-27,1808.47,1813.52,1803.02,1812.08,20010
2021-12-28,1812.08,1820.31,1805.1,1806.06,22480
2021-12-29,1806.06,1807.76,1789.49,1804.12,28310
2021-12-30,1804.12,1817.2,1796.28,1814.76,24236
2021-12-31,1814.76,1830.38,1814.53,1828.78,26152
2022-01-03,1828.78,1831.84,1798.38,1801.19,36976
2022-01-04,1801.19,1816.81,1798.51,1814.5,36019
2022-01-05,1814.5,1829.63,1808.33,1810.31,38414
2022-01-06,1810.31,1811.58,1786.42,1790.85,49457
2022-01-07,1790.85,1798.7,1782.67,1796.58,44346
2022-01-10,1796.58,1802.37,1790.44,1801.78,34543
2022-01-11,1801.78,1823.35,1800.19,1821.63,33631
2022-01-12,1821.63,1828.1,1814.78,1826.26,33668
2022-01-13,1826.26,1828.18,1812.42,1822.86,30167
2022-01-14,1822.86,1829.21,1814.75,1817.93,37062
2022-01-17,1817.93,1823.21,1813.2,1819.33,13765
2022-01-18,1819.33,1822.8,1805.84,1813.82,45914
2022-01-19,1813.82,1843.38,1810.35,1840.63,36697
2022-01-20,1840.63,1847.95,1836,1839.47,36057
2022-01-21,1839.47,1843.24,1828.55,1834.65,40613
2022-01-24,1834.65,1844.38,1829.77,1843.09,45015
2022-01-25,1843.09,1853.88,1834.95,1848.02,39850
2022-01-26,1848.02,1850.12,1814.98,1819.38,57778
2022-01-27,1819.38,1822.18,1791.86,1796.98,56904
2022-01-28,1796.98,1799.44,1780.33,1791.65,50841
2022-01-31,1791.65,1799.88,1785.61,1797.17,36704
2022-02-01,1797.17,1808.79,1795.82,1801.01,40579
2022-02-02,1801.01,1811.03,1794.53,1806.85,33066
2022-02-03,1806.85,1809.03,1788.68,1804.9,48972
2022-02-04,1804.9,1814.95,1792.23,1807.97,50914
2022-02-07,1807.97,1823.59,1807.93,1820.39,33461
2022-02-08,1820.39,1828.81,1815.49,1826.11,25213
2022-02-09,1826.11,1835.85,1824.76,1833.19,24373
2022-02-10,1833.19,1841.96,1821.67,1826.72,58489
2022-02-11,1826.72,1865.46,1820.99,1858.98,71512
