date,open,high,low,close,volume
1994-08-31,5.36,5.45,5.36,5.43,0
1994-09-01,5.42,5.45,5.42,5.44,0
1994-09-02,5.47,5.5,5.41,5.41,0
1994-09-06,5.42,5.49,5.42,5.45,0
1994-09-07,5.53,5.53,5.5,5.5,0
1994-09-08,5.48,5.49,5.44,5.44,0
1994-09-09,5.45,5.51,5.45,5.51,0
1994-09-12,5.5,5.52,5.46,5.48,0
1994-09-13,5.46,5.49,5.44,5.47,0
1994-09-14,5.47,5.49,5.43,5.43,0
1994-09-15,5.37,5.41,5.37,5.38,0
1994-09-16,5.4,5.51,5.4,5.42,0
1994-09-19,5.4,5.43,5.4,5.41,0
1994-09-20,5.48,5.64,5.48,5.61,0
1994-09-21,5.63,5.64,5.6,5.6,0
1994-09-22,5.59,5.69,5.59,5.69,0
1994-09-23,5.67,5.73,5.67,5.69,0
1994-09-26,5.66,5.66,5.66,5.66,0
1994-09-27,5.66,5.66,5.66,5.66,0
1994-09-28,5.64,5.64,5.64,5.64,0
1994-09-29,5.64,5.64,5.64,5.64,0
1994-09-30,5.59,5.59,5.59,5.59,0
1994-10-03,5.66,5.66,5.66,5.66,0
1994-10-04,5.61,5.61,5.61,5.61,0
1994-10-05,5.6,5.6,5.6,5.6,0
1994-10-06,5.62,5.62,5.62,5.62,0
1994-10-07,5.6,5.6,5.6,5.6,0
1994-10-10,5.37,5.37,5.37,5.37,0
1994-10-11,5.5,5.5,5.5,5.5,0
1994-10-12,5.48,5.48,5.48,5.48,0
1994-10-13,5.35,5.35,5.35,5.35,0
1994-10-14,5.35,5.35,5.35,5.35,0
1994-10-17,5.4,5.4,5.4,5.4,0
1994-10-18,5.36,5.36,5.36,5.36,0
1994-10-19,5.38,5.38,5.38,5.38,0
1994-10-20,5.41,5.41,5.41,5.41,0
1994-10-21,5.29,5.29,5.29,5.29,0
1994-10-24,5.32,5.32,5.32,5.32,0
1994-10-25,5.3,5.3,5.3,5.3,0
1994-10-26,5.38,5.38,5.38,5.38,0
1994-10-27,5.43,5.43,5.43,5.43,0
1994-10-28,5.35,5.35,5.35,5.35,0
1994-10-31,5.25,5.25,5.25,5.25,0
1994-11-01,5.28,5.28,5.28,5.28,0
1994-11-02,5.32,5.32,5.32,5.32,0
1994-11-03,5.27,5.27,5.27,5.27,0
1994-11-04,5.24,5.24,5.24,5.24,0
1994-11-07,5.19,5.19,5.19,5.19,0
1994-11-08,5.21,5.21,5.21,5.21,0
1994-11-09,5.11,5.11,5.11,5.11,0
1994-11-10,5.17,5.17,5.17,5.17,0
1994-11-11,5.17,5.17,5.17,5.17,0
1994-11-14,5.18,5.18,5.18,5.18,0
1994-11-15,5.21,5.21,5.21,5.21,0
1994-11-16,5.22,5.22,5.22,5.22,0
1994-11-17,5.23,5.23,5.23,5.23,0
1994-11-18,5.14,5.14,5.14,5.14,0
1994-11-21,5.16,5.16,5.16,5.16,0
1994-11-22,5.15,5.15,5.15,5.15,0
1994-11-23,5.15,5.15,5.15,5.15,0
1994-11-24,5.18,5.18,5.15,5.15,0
1994-11-25,5.15,5.15,5.15,5.15,0
1994-11-28,5.1,5.1,5.1,5.1,0
1994-11-29,5.06,5.06,5.06,5.06,0
1994-11-30,4.9,4.9,4.9,4.9,0
1994-12-01,4.91,4.91,4.91,4.91,0
1994-12-02,4.7,4.7,4.7,4.7,0
1994-12-05,4.57,4.57,4.57,4.57,0
1994-12-06,4.65,4.65,4.65,4.65,0
1994-12-07,4.64,4.64,4.64,4.64,0
1994-12-08,4.67,4.67,4.67,4.67,0
1994-12-09,4.69,4.69,4.69,4.69,0
1994-12-12,4.78,4.78,4.78,4.78,0
1994-12-13,4.78,4.78,4.78,4.78,0
1994-12-14,4.78,4.78,4.78,4.78,0
1994-12-15,4.8,4.8,4.8,4.8,0
1994-12-16,4.78,4.78,4.78,4.78,0
1994-12-19,4.77,4.77,4.77,4.77,0
1994-12-20,4.83,4.83,4.83,4.83,0
1994-12-21,4.79,4.79,4.79,4.79,0
1994-12-22,4.77,4.77,4.77,4.77,0
1994-12-23,4.78,4.78,4.78,4.78,0
1994-12-27,4.8,4.8,4.8,4.8,0
1994-12-28,4.9,4.9,4.9,4.9,0
