date,open,high,low,close,volume
2000-10-28,229605,230388,228100,228940,4.23378e+06
2008-02-01,228050,231688,227601,229605,5.96072e+06
2018-04-13,5276,5276,5276,5276,20
2018-04-14,5449,5449,5449,5449,27.53
2018-04-15,5449,5449,5449,5449,0
2018-04-16,5449,5449,5449,5449,0
2018-04-17,5480,5480,5480,5480,2737.23
2018-04-18,5480,5480,5480,5480,0
2018-04-19,5580,5600,5580,5600,189.78
2018-04-20,5555,5555,5555,5555,1980
2018-04-21,5555,5555,5555,5555,0
2018-04-22,5555,5555,5555,5555,0
2018-04-23,5540,5540,5540,5540,92.5
2018-04-24,5540,5540,5450,5450,316.2
2018-04-25,5450,5450,5450,5450,0
2018-04-26,5540,5560,5540,5560,460.21
2018-04-27,5560,5560,5560,5560,359.71
2018-04-28,5560,5560,5560,5560,0
2018-04-29,5560,5560,5560,5560,0
2018-04-30,5565,5565,5565,5565,431.27
2018-05-01,5550,5550,5550,5550,44.8
2018-05-02,5550,5550,5550,5550,0
2018-05-03,5550,5550,5550,5550,0
2018-05-04,5550,5550,5550,5550,0
2018-05-05,5550,5550,5550,5550,0
2018-05-06,5550,5550,5550,5550,0
2018-05-07,5550,5550,5550,5550,0
2018-05-08,5550,5550,5550,5550,0
2018-05-09,6260,6260,6260,6260,330
2018-05-10,6260,6260,6260,6260,0
2018-05-11,7388,7388,6798,6798,1487
2018-05-12,6800,6800,6800,6800,735
2018-05-13,6800,6800,6800,6800,0
2018-05-14,6786,6786,6780,6780,1612.72
2018-05-15,6730,6730,6730,6730,100
2018-05-16,6730,6730,6730,6730,0
2018-05-17,6730,6730,6730,6730,0
2018-05-18,6730,6730,6730,6730,0
2018-05-19,6500,6500,6500,6500,3076
2018-05-20,6500,6500,6500,6500,0
2018-05-21,6500,6500,6500,6500,0
2018-05-22,6300,6348,6300,6348,5528
2018-05-23,6400,6400,6246,6248,7697.08
2018-05-24,6248,6248,6248,6248,0
2018-05-25,6248,6248,6248,6248,0
2018-05-26,6248,6248,6248,6248,0
2018-05-27,6248,6248,6248,6248,0
2018-05-28,6248,6248,6248,6248,0
2018-05-29,6248,6248,6248,6248,0
2018-05-30,6248,6248,6248,6248,0
2018-05-31,6248,6248,6248,6248,0
2018-06-01,6677,6677,6677,6677,14.97
2018-06-02,6770,6770,6535,6535,180.8
2018-06-03,6535,6535,6535,6535,0
2018-06-04,6500,6630,6500,6630,3720.18
2018-06-05,6630,6630,6630,6630,0
2018-06-06,6630,6630,6630,6630,0
2018-06-07,6699,6699,6699,6699,447
2018-06-08,6699,6699,6699,6699,0
2018-06-09,6699,6699,6699,6699,0
2018-06-10,6699,6699,6699,6699,0
2018-06-11,6690,6690,6690,6690,4483
2018-06-12,6850,6850,6850,6850,87.23
2018-06-13,7100,7150,7100,7150,8500
2018-06-14,7150,7320,7150,7320,17500
2018-06-15,7320,7320,7320,7320,0
2018-06-16,7250,7250,7250,7250,13.92
2018-06-17,7200,7200,7200,7200,6000
2018-06-18,7200,7200,7200,7200,0
2018-06-19,7200,7200,7200,7200,0
2018-06-20,7200,7309,7114,7309,69
2018-06-21,7368,7368,7368,7368,2200
