date,open,high,low,close,volume
1979-03-18,100,140,100,140,1
1980-03-18,140,200,140,200,1
1981-03-18,200,270,200,270,1
1982-03-18,270,350,270,350,1
1983-03-18,350,450,350,450,1
1984-03-18,450,580,450,580,1
1985-03-18,580,610,580,610,1
1986-03-18,610,740,610,740,1
1987-03-18,740,960,740,960,1
1988-03-18,990,990,960,960,1
1989-03-18,960,1200,960,1200,1
1990-03-18,1200,1410,1200,1410,1
1991-03-18,1410,1420,1410,1420,1
1992-03-18,1420,1490,1420,1490,1
1993-03-18,1490,1800,1490,1800,1
1994-03-18,1800,2630,1800,2630,1
1995-03-18,2630,4030,2630,4030,1
1996-03-18,4030,4440,4030,4440,1
1997-03-19,4440,4780,4440,4780,1
1998-03-19,4780,6460,4780,6460,1
1999-03-19,6460,8630,6460,8630,1
2000-03-18,8630,8630,8130,8130,1
2001-03-19,8130,8130,7990,7990,1
2002-03-19,7920,7990,7920,7990,1
2003-03-19,7990,8320,7990,8320,1
2004-03-19,8320,8740,8320,8740,1
2005-03-19,8740,9040,8740,9040,1
2006-03-19,9040,9220,9040,9220,1
2007-03-19,9220,9430,9220,9430,1
2007-12-12,9400,9430,9400,9430,1
2007-12-15,9470,9500,9470,9500,1
2007-12-22,9500,9500,9470,9470,1
2007-12-29,9480,9480,9340,9340,1
2008-01-05,9330,9350,9330,9350,1
2008-01-12,9310,9400,9300,9400,1
2008-01-19,9390,9470,9370,9370,1
2008-01-26,9370,9370,9300,9340,1
2008-02-02,9350,9470,9350,9470,1
2008-02-09,9460,9460,9400,9400,1
2008-02-16,9410,9430,9360,9360,1
2008-02-23,9360,9380,9260,9260,1
2008-03-01,9250,9320,9250,9250,1
2008-03-08,9250,9250,9150,9150,1
2008-03-15,9150,9150,9070,9110,1
2008-03-23,9300,9300,9180,9210,1
2008-03-29,9210,9250,9200,9200,1
2008-04-05,9150,9150,9070,9070,1
2008-04-12,9070,9140,9050,9100,1
2008-04-19,9200,9340,9150,9340,1
2008-04-26,9300,9370,9270,9370,1
2008-05-03,9350,9450,9330,9350,1
2008-05-10,9370,9380,9320,9350,1
2008-05-17,9350,9370,9210,9220,1
2008-05-24,9220,9340,9210,9340,1
2008-05-31,9380,9400,9380,9400,1
2008-06-07,9280,9470,9280,9470,1
2008-06-14,9450,9450,9380,9380,1
2008-06-21,9380,9400,9310,9310,1
2008-06-28,9310,9350,9250,9350,1
2008-07-05,9350,9380,9260,9260,1
2008-07-12,9260,9300,9260,9300,1
2008-07-19,9300,9350,9250,9330,1
2008-07-26,9330,9410,9330,9410,1
2008-08-02,9400,9650,9400,9650,1
2008-08-09,9550,9700,9550,9700,1
2008-08-17,9650,9650,9630,9640,1
2008-08-23,9650,9700,9650,9700,1
2008-08-30,9700,9750,9700,9750,1
2008-09-06,9750,9900,9700,9850,1
2008-09-13,9850,9850,9720,9720,1
2008-09-20,9720,9720,9620,9700,1
2008-09-27,9700,9950,9700,9900,1
2008-10-04,9900,9970,9900,9960,1
2008-10-11,9950,9950,9890,9930,1
2008-10-18,9930,10050,9930,10050,1
2008-10-25,10050,10180,10050,10150,1
2008-11-01,10150,10180,10120,10180,1
2008-11-08,10150,10250,10150,10250,1
2008-11-15,10250,10340,10250,10340,1
2008-11-22,10360,10360,10240,10240,1
2008-11-29,10240,10240,10220,10240,1
2008-12-06,10250,10250,10070,10070,1
2008-12-13,10080,10080,9950,10000,1
2008-12-20,10000,10000,9950,9950,1
2008-12-27,9950,9950,9890,9950,1
2009-01-03,9950,10040,9950,10040,1
2009-01-10,10040,10100,10040,10060,1
2009-01-17,10060,10060,9950,9950,1
2009-01-24,9950,9950,9780,9800,1
2009-01-31,9800,9800,9680,9680,1
2009-02-07,9660,9670,9650,9650,1
2009-02-14,9650,9730,9650,9730,1
2009-02-21,9730,9890,9730,9890,1
2009-02-28,9890,10000,9890,9980,1
2009-03-07,9980,9980,9880,9880,1
2009-03-15,9880,9880,9860,9870,1
2009-03-24,9880,9970,9880,9970,1
2009-03-28,9970,10020,9970,9970,1
2009-04-04,9940,10040,9900,10000,1
2009-04-11,10000,10070,9990,10070,1
2009-04-18,10070,10120,10050,10050,1
2009-04-25,10040,10070,9950,9950,1
2009-05-02,9960,9960,9880,9880,1
2009-05-09,9880,9890,9830,9890,1
2009-05-16,9870,9890,9750,9750,1
2009-05-23,9740,9750,9720,9720,1
2009-05-30,9670,9780,9670,9780,1
2009-06-06,9800,9860,9800,9860,1
2009-06-13,9900,9900,9900,9900,1
2009-06-20,9960,9990,9940,9950,1
2009-06-27,9950,10000,9950,10000,1
2009-07-04,10010,10070,10010,10050,1
2009-07-11,10040,10040,10000,10000,1
2009-07-18,10000,10000,9990,9990,1
2009-07-25,10000,10040,10000,10000,1
2009-08-01,10000,10030,9980,10030,1
2009-08-08,10030,10030,10010,10010,1
2009-08-15,10010,10020,9970,9970,1
2009-08-22,9970,9980,9970,9970,1
2009-08-29,9970,9990,9970,9970,1
2009-09-05,9970,9970,9940,9940,1
