date,open,high,low,close,volume
2014-03-25,10033.6,10033.6,10033.6,10033.6,3.79038e+08
2014-03-26,9998.3,9998.3,9998.3,9998.3,2.36451e+08
2014-03-29,9984.4,9984.4,9984.4,9984.4,2.49836e+08
2014-03-30,10055.5,10055.5,10055.5,10055.5,2.27075e+08
2014-03-31,10141,10141,10141,10141,3.86488e+08
2014-04-05,10160.2,10160.2,10160.2,10160.2,3.12438e+08
2014-04-06,10080.1,10080.1,10080.1,10080.1,4.5766e+08
2014-04-07,10049.8,10049.8,10049.8,10049.8,3.50639e+08
2014-04-08,10120,10120,10120,10120,5.18271e+08
2014-04-09,10066.8,10066.8,10066.8,10066.8,7.34581e+08
2014-04-12,9982.8,9982.8,9982.8,9982.8,3.85266e+08
2014-04-13,9854.2,9854.2,9854.2,9854.2,7.453e+08
2014-04-14,9748.9,9748.9,9748.9,9748.9,3.417e+08
2014-04-15,9697.7,9697.7,9697.7,9697.7,4.63291e+08
2014-04-16,9741.1,9741.1,9741.1,9741.1,3.25628e+08
2014-04-19,9642.6,9642.6,9642.6,9642.6,1.80691e+08
2014-04-20,9701.1,9701.1,9701.1,9701.1,3.04084e+08
2014-04-21,9772.5,9772.5,9772.5,9772.5,4.58283e+08
2014-04-22,9790.5,9790.5,9790.5,9790.5,5.10342e+08
2014-04-23,9781.5,9781.5,9781.5,9781.5,4.78596e+08
2014-04-26,9941.7,9941.7,9941.7,9941.7,4.25665e+08
2014-04-27,10011.8,10011.8,10011.8,10011.8,8.83967e+08
2014-04-28,9941.8,9941.8,9941.8,9941.8,6.50929e+08
2014-04-29,9845.3,9845.3,9845.3,9845.3,5.69481e+08
2014-04-30,9836.8,9836.8,9836.8,9836.8,6.39416e+08
2014-05-03,9793.2,9793.2,9793.2,9793.2,4.7623e+08
2014-05-04,9711.5,9711.5,9711.5,9711.5,4.2274e+08
2014-05-05,9741.3,9741.3,9741.3,9741.3,5.4754e+08
2014-05-06,9709.7,9709.7,9709.7,9709.7,7.88148e+08
2014-05-07,9696,9696,9696,9696,5.87222e+08
2014-05-10,9665.2,9665.2,9665.2,9665.2,4.54038e+08
2014-05-11,9647,9647,9647,9647,4.80956e+08
2014-05-12,9656.5,9656.5,9656.5,9656.5,5.28713e+08
2014-05-14,9659.3,9659.3,9659.3,9659.3,6.38422e+08
2014-05-17,9540.5,9540.5,9540.5,9540.5,5.40567e+08
2014-05-19,9550,9550,9550,9550,9.99862e+08
2014-05-20,9563.1,9563.1,9563.1,9563.1,6.56718e+08
2014-05-21,9622.8,9622.8,9622.8,9622.8,1.12434e+09
2014-05-24,9630.9,9630.9,9630.9,9630.9,6.00448e+08
2014-05-25,9579.1,9579.1,9579.1,9579.1,4.14917e+08
2014-05-28,9566.9,9566.9,9566.9,9566.9,5.51954e+08
2014-05-31,9539.8,9539.8,9539.8,9539.8,5.36975e+08
2014-06-01,9414.8,9414.8,9414.8,9414.8,6.11768e+08
2014-06-02,9405.8,9405.8,9405.8,9405.8,6.72204e+08
2014-06-03,9439.9,9439.9,9439.9,9439.9,2.8517e+08
2014-06-07,9438.4,9438.4,9438.4,9438.4,3.07928e+08
2014-06-08,9417.3,9417.3,9417.3,9417.3,2.86294e+08
2014-06-09,9406.1,9406.1,9406.1,9406.1,3.22872e+08
2014-06-10,9342.7,9342.7,9342.7,9342.7,7.44837e+08
2014-06-11,9299,9299,9299,9299,6.33179e+08
2014-06-14,9168.3,9168.3,9168.3,9168.3,2.49225e+08
2014-06-15,9072.6,9072.6,9072.6,9072.6,4.86887e+08
2014-06-16,9080.3,9080.3,9080.3,9080.3,2.55995e+08
2014-06-17,9048,9048,9048,9048,2.14925e+08
2014-06-18,9103.8,9103.8,9103.8,9103.8,2.87416e+08
2014-06-21,9162.2,9162.2,9162.2,9162.2,2.25363e+08
