date,open,high,low,close,volume
1993-03-02,444.88,444.88,444.88,444.88,57550
1993-03-03,444.88,444.88,444.88,444.88,29371
1993-03-06,444.88,444.88,444.88,444.88,13755
1993-03-07,444.9,444.9,444.9,444.9,123204
1993-03-08,444.16,444.16,444.16,444.16,484076
1993-03-09,441.8,441.8,441.8,441.8,113895
1993-03-10,435.07,435.07,435.07,435.07,86331
1993-03-13,435.14,435.14,435.14,435.14,107117
1993-03-14,435.14,435.14,435.14,435.14,165855
1993-03-16,435.14,435.14,435.14,435.14,5375
1993-03-17,435.12,435.12,435.12,435.12,65314
1993-03-27,435.12,435.12,435.12,435.12,3709
1993-03-28,435.12,435.12,435.12,435.12,5065
1993-03-29,435.12,435.12,435.12,435.12,5910
1993-03-30,435.12,435.12,435.12,435.12,14799
1993-03-31,435.12,435.12,435.12,435.12,21951
1993-04-03,435.12,435.12,435.12,435.12,26507
1993-04-04,435.22,435.22,435.22,435.22,62581
1993-04-05,435.22,435.22,435.22,435.22,23480
1993-04-06,435.22,435.22,435.22,435.22,181166
1993-04-07,435.22,435.22,435.22,435.22,212822
1993-04-10,435.22,435.22,435.22,435.22,63318
1993-04-11,435.23,435.23,435.23,435.23,154378
1993-04-12,435.22,435.22,435.22,435.22,82099
1993-04-13,435.22,435.22,435.22,435.22,80838
1993-04-14,435.22,435.22,435.22,435.22,53393
1993-04-18,433.58,433.58,433.58,433.58,72396
1993-04-19,433.83,433.83,433.83,433.83,63907
1993-04-20,433.68,433.68,433.68,433.68,77191
1993-04-21,433.7,433.7,433.7,433.7,95657
1993-04-24,433.7,433.7,433.7,433.7,66756
1993-04-25,433.7,433.7,433.7,433.7,1.18897e+06
1993-04-26,433.7,433.7,433.7,433.7,54782
1993-04-27,428.61,428.61,428.61,428.61,2.14793e+07
1993-04-28,428.62,428.62,428.62,428.62,61190
1993-05-01,428.62,428.62,428.62,428.62,122613
1993-05-02,428.21,428.21,428.21,428.21,55181
1993-05-04,422.61,422.61,422.61,422.61,126631
1993-05-05,420.36,420.36,420.36,420.36,158417
1993-05-08,420.45,420.45,420.45,420.45,87816
1993-05-09,420.45,420.45,420.45,420.45,45410
1993-05-10,420.45,420.45,420.45,420.45,61955
1993-05-11,420.45,420.45,420.45,420.45,29619
1993-05-12,420.46,420.46,420.46,420.46,107247
1993-05-15,420.46,420.46,420.46,420.46,31957
1993-05-16,420.32,420.32,420.32,420.32,35475
1993-05-17,418.88,418.88,418.88,418.88,261906
1993-05-18,418.68,418.68,418.68,418.68,44796
1993-05-19,418.68,418.68,418.68,418.68,22366
1993-05-22,418.68,418.68,418.68,418.68,393455
1993-05-23,418.68,418.68,418.68,418.68,100429
1993-05-24,418.68,418.68,418.68,418.68,32502
1993-05-25,418.68,418.68,418.68,418.68,29139
1993-05-26,418.68,418.68,418.68,418.68,121608
1993-05-29,418.68,418.68,418.68,418.68,47228
1993-05-30,418.68,418.68,418.68,418.68,64953
1993-05-31,418.68,418.68,418.68,418.68,35773
1993-06-02,418.68,418.68,418.68,418.68,24131
1993-06-06,417.53,417.53,417.53,417.53,48149
1993-06-07,414.59,414.59,414.59,414.59,77003
1993-06-08,414.59,414.59,414.59,414.59,122515
