date,open,high,low,close,volume
2014-11-20,93728,93745,93438,93654,199
2014-11-21,93762,94010,93640,93719,183
2014-11-22,93761,93761,93390,93402,230
2014-11-23,93399,93870,93389,93586,251
2014-11-24,93581,94629,93552,94311,367
2014-11-25,94316,95110,94233,94925,463
2014-11-26,94929,96004,94929,95849,442
2014-11-27,95829,96297,95690,96118,253
2014-11-28,96141,96141,95118,95218,86
2014-11-29,95258,96970,95255,96953,527
2014-11-30,96957,98408,96746,97089,684
2014-12-01,96985,98658,96458,98177,530
2014-12-02,98151,98167,97580,97702,527
2014-12-03,97693,97950,97655,97739,332
2014-12-04,97743,97771,97644,97719,66
2014-12-05,97708,97717,96986,97089,133
2014-12-06,97104,97454,97086,97258,256
2014-12-07,97263,98636,97263,98524,577
2014-12-08,98519,99220,98303,98672,433
2014-12-09,98675,99594,98406,99312,495
2014-12-10,99332,100627,99332,100482,474
2014-12-11,100471,100471,99825,100170,356
2014-12-12,100124,100527,100088,100486,141
2014-12-13,100489,100517,100467,100467,5
2014-12-14,100458,103348,100420,103206,542
2014-12-15,103178,103313,100728,100728,636
2014-12-16,100739,101705,100055,101081,194
2014-12-17,101075,101579,100831,100900,171
2014-12-18,100905,102073,100905,101752,334
2014-12-19,101768,101782,101263,101263,105
2014-12-20,101163,101532,100854,101443,413
2014-12-21,101451,101585,101270,101270,129
2014-12-22,101285,101740,100881,100946,442
2014-12-23,100985,101159,100891,100896,170
2014-12-24,100919,101727,100919,101380,291
2014-12-25,101385,101421,100928,100992,189
2014-12-26,101080,101546,101039,101311,183
2014-12-27,101316,101701,101246,101669,215
2014-12-28,101665,102184,101665,101764,300
2014-12-29,101770,101836,100748,100874,414
2014-12-30,100928,101210,100096,100836,491
2014-12-31,100843,100858,99939,100028,472
2015-01-01,100034,100162,99596,100113,196
2015-01-02,100119,100239,99216,99227,357
2015-01-03,99231,100662,99231,100662,464
2015-01-04,100658,100855,100244,100336,465
2015-01-05,100339,100866,100148,100662,438
2015-01-06,100670,102016,100670,101936,509
2015-01-07,101916,101916,101320,101586,365
2015-01-08,101548,101548,100982,101116,284
2015-01-09,101124,101466,101121,101412,185
2015-01-10,101424,101770,101312,101597,355
2015-01-11,101594,101674,101209,101346,269
2015-01-12,101355,101546,100673,101482,396
2015-01-13,101488,101728,100854,100866,403
2015-01-14,100847,101358,100366,100935,521
2015-01-15,101020,101943,100708,101836,479
2015-01-16,101844,103228,101844,103220,258
2015-01-17,103212,104372,103212,103935,473
2015-01-18,103905,104630,103692,104521,437
2015-01-19,104491,105605,104367,105030,503
2015-01-20,104938,106054,104621,105768,493
2015-01-21,105861,106732,105861,106274,372
2015-01-22,106284,106547,105702,106542,415
2015-01-23,106492,106492,105868,105982,214
2015-01-24,105978,106080,105342,105388,295
2015-01-25,105382,106131,105313,106104,178
2015-01-26,106100,106100,105452,105521,342
