date,open,high,low,close,volume
1997-08-29,18.55,18.61,18.38,18.4,0
1997-09-02,18.5,18.55,18.4,18.43,0
1997-09-03,18.38,18.63,18.21,18.44,0
1997-09-04,18.6,18.6,18.34,18.37,0
1997-09-05,18.45,18.49,18.24,18.26,0
1997-09-09,18.55,18.56,18.32,18.33,0
1997-09-10,18.3,18.45,18.25,18.28,0
1997-09-11,18.43,18.48,18.28,18.3,0
1997-09-12,18.35,18.53,18.27,18.3,0
1997-09-16,18.2,18.3,18.16,18.23,0
1997-09-17,18.35,18.8,18.31,18.58,0
1997-09-18,18.59,18.67,18.4,18.41,0
1997-09-19,18.44,18.6,18.33,18.41,0
1997-09-23,18.53,18.74,18.48,18.63,0
1997-09-24,18.7,18.82,18.63,18.64,0
1997-09-25,18.55,18.84,18.53,18.8,0
1997-09-26,18.84,19.24,18.84,19.14,0
1997-09-30,19.54,19.97,19.43,19.95,0
1997-10-01,19.85,20.13,19.8,19.9,0
1997-10-02,19.82,19.95,19.75,19.82,0
1997-10-03,19.76,20.5,19.63,20.48,0
1997-10-07,21.63,21.75,20.5,20.64,0
1997-10-08,20.55,20.85,20.5,20.69,0
1997-10-09,20.55,21,20.45,20.82,0
1997-10-10,20.9,21.03,20.57,20.79,0
1997-10-14,20.42,20.62,20.03,20.14,0
1997-10-15,20.14,20.3,19.5,19.58,0
1997-10-16,19.7,19.84,19.49,19.51,0
1997-10-17,19.67,19.82,19.63,19.79,0
1997-10-21,19.85,19.88,19.63,19.77,0
1997-10-22,19.8,19.9,19.73,19.75,0
1997-10-23,19.94,20.39,19.91,20.34,0
1997-10-24,20.35,20.37,20,20.02,0
1997-10-29,20.1,20.32,19.97,19.99,0
1997-10-30,19.94,19.97,19.3,19.43,0
1997-10-31,19.55,19.93,19.5,19.64,0
1997-11-01,19.85,20.23,19.78,20.1,0
1997-11-05,20.45,20.45,19.9,19.95,0
1997-11-06,19.94,20.04,19.6,19.61,0
1997-11-07,19.61,19.73,19.35,19.38,0
1997-11-08,19.6,19.66,19.39,19.47,0
1997-11-12,20.08,20.08,19.44,19.45,0
1997-11-13,19.57,19.65,19.5,19.6,0
1997-11-14,19.65,19.68,19.5,19.52,0
1997-11-15,19.56,19.84,19.51,19.78,0
1997-11-19,19.71,19.78,19.25,19.38,0
1997-11-20,19.44,19.56,19.15,19.22,0
1997-11-21,19.22,19.3,19.03,19.18,0
1997-11-22,18.9,19.04,18.56,18.68,0
1997-11-26,18.84,19.1,18.81,19.09,0
1997-11-27,19.12,19.13,18.98,19.09,0
1997-11-28,18.87,18.89,18.36,18.56,0
1997-11-29,18.6,18.79,18.55,18.76,0
1997-12-03,18.44,18.48,17.95,18.16,0
1997-12-04,18.23,18.3,18.08,18.19,0
1997-12-05,18.05,18.2,17.87,18.17,0
1997-12-06,18.2,18.27,17.93,18,0
1997-12-10,18.27,18.34,18.14,18.15,0
1997-12-11,18.15,18.18,17.9,17.92,0
1997-12-12,17.99,18,17.4,17.42,0
1997-12-13,17.36,17.59,17.2,17.41,0
1997-12-17,17.25,17.49,17.25,17.26,0
1997-12-18,17.15,17.3,17.1,17.22,0
1997-12-19,17.2,17.55,17.2,17.4,0
1997-12-20,17.47,17.88,17.46,17.8,0
1997-12-24,17.35,17.49,17.28,17.28,0
1997-12-25,17.2,17.44,17.15,17.33,0
1997-12-26,17.4,17.4,17.3,17.33,0
1997-12-31,17.13,17.18,16.56,16.6,0
1998-01-01,16.8,16.8,16.56,16.67,0
1998-01-02,16.6,16.62,16.5,16.52,0
1998-01-07,16.27,16.29,15.78,15.79,0
1998-01-08,15.81,16.23,15.55,15.67,0
1998-01-09,15.5,15.85,15.49,15.61,0
1998-01-10,15.85,15.94,15.7,15.72,0
1998-01-14,15.1,15.5,15.1,15.33,0
1998-01-15,15.45,15.72,15.36,15.38,0
1998-01-16,15.4,15.57,15.33,15.35,0
1998-01-17,15.37,15.67,15.37,15.44,0
1998-01-21,15.69,15.88,15.69,15.83,0
1998-01-22,15.83,15.89,15.36,15.4,0
1998-01-23,15.38,15.44,15.18,15.26,0
1998-01-24,15.02,15.04,14.78,15,0
1998-01-28,14.9,16.2,14.86,15.77,0
1998-01-29,15.85,16.15,15.6,15.79,0
1998-01-30,15.9,16.15,15.85,16.08,0
1998-01-31,16.18,16.73,16.14,16.59,0
1998-02-04,15.95,15.95,15.45,15.68,0
1998-02-05,15.76,15.78,15.16,15.17,0
1998-02-06,15.25,15.29,14.96,15.05,0
1998-02-07,15.15,15.48,15.05,15.22,0
1998-02-11,15.3,15.37,15.2,15.24,0
1998-02-12,15.25,15.28,15.02,15.03,0
1998-02-13,15.12,15.2,14.55,14.59,0
1998-02-14,14.6,14.67,14.5,14.55,0
1998-02-18,14.85,14.86,14.45,14.48,0
1998-02-19,14.62,14.65,14.37,14.41,0
1998-02-20,14.42,15.1,14.22,14.94,0
