date,open,high,low,close,volume
2024-03-24,4.34e+06,4.39e+06,4.332e+06,4.36e+06,73878
2024-03-25,4.3904e+06,4.3904e+06,4.32002e+06,4.37e+06,1.18803e+06
2024-03-26,4.34e+06,4.3888e+06,4.253e+06,4.37155e+06,107614
2024-03-27,4.3849e+06,4.3849e+06,4.293e+06,4.3223e+06,150172
2024-03-28,4.38e+06,4.38e+06,4.33e+06,4.352e+06,150110
2024-03-30,4.4e+06,4.475e+06,4.3805e+06,4.394e+06,154374
2024-04-02,4.523e+06,4.61748e+06,4.421e+06,4.57003e+06,160631
2024-04-03,4.63999e+06,4.65299e+06,4.54211e+06,4.649e+06,153887
2024-04-04,4.73e+06,4.82599e+06,4.73e+06,4.811e+06,154764
2024-04-06,4.85e+06,4.89985e+06,4.749e+06,4.881e+06,107477
2024-04-07,4.978e+06,4.978e+06,4.76e+06,4.788e+06,119522
2024-04-08,4.70329e+06,4.79999e+06,4.64e+06,4.67019e+06,150865
2024-04-09,4.68e+06,4.84802e+06,4.68e+06,4.813e+06,120221
2024-04-13,4.97e+06,5.05191e+06,4.911e+06,5.05191e+06,222810
2024-04-14,5.08345e+06,5.08345e+06,4.98279e+06,4.98279e+06,147344
2024-04-15,4.88703e+06,4.99481e+06,4.80101e+06,4.89e+06,143749
2024-04-16,4.91e+06,5.0835e+06,4.907e+06,5e+06,611874
2024-04-17,4.991e+06,5.159e+06,4.9701e+06,5.15882e+06,221197
2024-04-18,5.07032e+06,5.2e+06,5.05e+06,5.2e+06,317124
2024-04-20,5.02511e+06,5.08996e+06,4.92e+06,4.92521e+06,432366
2024-04-21,4.99e+06,5.06982e+06,4.9e+06,4.96315e+06,369688
2024-04-22,4.96e+06,4.96999e+06,4.87152e+06,4.89012e+06,189039
2024-04-23,4.89994e+06,4.89994e+06,4.78122e+06,4.7922e+06,182942
2024-04-24,4.81e+06,4.88997e+06,4.74201e+06,4.773e+06,242277
2024-04-25,4.773e+06,4.8e+06,4.70001e+06,4.75505e+06,81926
2024-04-27,4.75001e+06,4.75001e+06,4.63e+06,4.67004e+06,102809
2024-04-28,4.58615e+06,4.67993e+06,4.58615e+06,4.65502e+06,262444
2024-04-29,4.64997e+06,4.83e+06,4.521e+06,4.7365e+06,142805
2024-04-30,4.77899e+06,4.86e+06,4.7e+06,4.82e+06,290442
2024-05-01,4.789e+06,4.84988e+06,4.69e+06,4.69e+06,180250
2024-05-02,4.72e+06,4.79775e+06,4.64503e+06,4.68878e+06,65003
2024-05-05,4.66299e+06,4.679e+06,4.5487e+06,4.5488e+06,729733
2024-05-06,4.65799e+06,4.737e+06,4.57e+06,4.7057e+06,175206
2024-05-07,4.69249e+06,4.69249e+06,4.61801e+06,4.62726e+06,364325
2024-05-08,4.6e+06,4.63998e+06,4.6e+06,4.61026e+06,597259
2024-05-09,4.65e+06,4.65e+06,4.58e+06,4.61e+06,211997
2024-05-11,4.69e+06,4.69e+06,4.60101e+06,4.61012e+06,329955
2024-05-12,4.666e+06,4.666e+06,4.54061e+06,4.5627e+06,324270
2024-05-13,4.58999e+06,4.58999e+06,4.46501e+06,4.51787e+06,260516
2024-05-14,4.51497e+06,4.61e+06,4.5e+06,4.5e+06,600392
2024-05-15,4.55e+06,4.59796e+06,4.51002e+06,4.53999e+06,557088
2024-05-16,4.5599e+06,4.5599e+06,4.51102e+06,4.51126e+06,252460
2024-05-18,4.54998e+06,4.54998e+06,4.4575e+06,4.49801e+06,307173
2024-05-19,4.45998e+06,4.517e+06,4.4202e+06,4.47e+06,294170
2024-05-21,4.49e+06,4.55799e+06,4.47342e+06,4.51087e+06,402647
2024-05-23,4.42482e+06,4.49999e+06,4.41e+06,4.41798e+06,287754
2024-05-25,4.42e+06,4.42e+06,4.34511e+06,4.34821e+06,165587
2024-05-26,4.369e+06,4.369e+06,4.30513e+06,4.35102e+06,294232
2024-05-27,4.40776e+06,4.47e+06,4.345e+06,4.46001e+06,279400
2024-05-28,4.35004e+06,4.6399e+06,4.35004e+06,4.615e+06,570540
2024-05-29,4.55511e+06,4.64e+06,4.50002e+06,4.50004e+06,435341
2024-05-30,4.53999e+06,4.53999e+06,4.47e+06,4.4955e+06,115507
2024-06-01,4.5e+06,4.5e+06,4.42013e+06,4.465e+06,204842
2024-06-02,4.5e+06,4.55597e+06,4.47912e+06,4.52799e+06,478172
2024-06-05,4.5204e+06,4.54199e+06,4.4686e+06,4.48625e+06,312176
2024-06-06,4.5399e+06,4.5399e+06,4.4719e+06,4.47599e+06,78256
2024-06-08,4.45e+06,4.456e+06,4.401e+06,4.44e+06,325698
2024-06-09,4.46485e+06,4.46485e+06,4.435e+06,4.44521e+06,501443
2024-06-10,4.45e+06,4.45588e+06,4.42001e+06,4.4222e+06,289740
2024-06-11,4.40105e+06,4.44856e+06,4.37107e+06,4.37998e+06,433022
2024-06-12,4.39026e+06,4.41e+06,4.38e+06,4.408e+06,351023
2024-06-13,4.382e+06,4.405e+06,4.382e+06,4.39411e+06,1419
2024-06-15,4.5e+06,4.5e+06,4.40029e+06,4.459e+06,188760
2024-06-16,4.487e+06,4.487e+06,4.44001e+06,4.44989e+06,205060
2024-06-18,4.45999e+06,4.45999e+06,4.41004e+06,4.4186e+06,498323
2024-06-19,4.49998e+06,4.49998e+06,4.41002e+06,4.44405e+06,447321
2024-06-20,4.467e+06,4.472e+06,4.45012e+06,4.45012e+06,3083
2024-06-22,4.50986e+06,4.50986e+06,4.44399e+06,4.46299e+06,573764
2024-06-23,4.49425e+06,4.49483e+06,4.474e+06,4.48806e+06,677456
2024-06-24,4.54758e+06,4.61499e+06,4.54757e+06,4.59888e+06,759469
2024-06-26,4.64999e+06,4.64999e+06,4.55202e+06,4.5852e+06,683521
2024-06-27,4.55876e+06,4.6499e+06,4.55876e+06,4.63e+06,101038
2024-06-29,4.65e+06,4.65e+06,4.59001e+06,4.62e+06,754673
