date,open,high,low,close,volume
2024-12-10,880500,920000,880500,895000,280165
2024-12-11,915000,932000,915000,929990,159393
2024-12-12,929900,930000,927120,929990,42378
2024-12-14,929700,940000,929700,940000,82857
2024-12-15,940000,940010,934000,936000,41001
2024-12-16,940000,940000,939750,939940,60646
2024-12-17,933510,960000,933510,957970,161592
2024-12-18,950000,950000,949450,950000,153951
2024-12-19,949990,950000,939880,950000,4361
2024-12-21,940000,950000,940000,950000,11223
2024-12-22,949980,949990,935000,949000,100928
2024-12-23,949990,950000,949000,949990,28736
2024-12-24,949980,949990,949000,949920,29344
2024-12-25,946400,954000,944120,954000,89504
2024-12-26,956000,956000,955940,956000,4154
2024-12-28,955000,970000,955000,970000,25245
2024-12-29,985000,985000,970000,985000,22380
2024-12-30,977600,985000,964000,985000,114138
2024-12-31,980000,984990,967500,980000,110530
2025-01-01,984890,984980,969000,969000,60144
2025-01-02,978990,979000,970000,971970,4319
2025-01-04,950260,969990,945000,949990,124794
2025-01-05,959990,959990,945600,945600,36057
2025-01-06,954000,954000,935000,940000,99091
2025-01-07,966900,967000,948000,955000,24713
2025-01-08,966920,966920,945000,947000,279048
2025-01-09,967000,967000,960000,960000,1306
2025-01-11,965000,969000,946500,957000,109947
2025-01-12,949000,962990,946000,953000,378724
2025-01-13,969970,970000,952000,963000,283685
2025-01-15,968980,968980,932000,941050,609354
2025-01-16,966850,966850,943000,944150,17486
2025-01-18,956980,956980,946040,949990,500047
2025-01-19,935140,950000,935140,950000,382840
2025-01-20,969990,969990,936510,936510,178702
2025-01-21,987990,987990,900000,900020,658236
2025-01-22,950000,950000,920000,936940,208380
2025-01-23,957000,957000,938000,938000,43376
2025-01-25,940000,945000,906550,910000,65236
2025-01-26,937800,937800,900000,905000,644755
2025-01-27,920000,920000,900000,909910,205323
2025-01-29,910000,910000,899000,900000,357707
2025-01-30,918000,918000,900010,904000,14224
2025-02-01,910000,920000,900000,900000,135514
2025-02-02,910000,910000,899010,901990,32087
2025-02-03,910000,910000,899000,901940,75107
2025-02-04,919850,919850,893000,899990,238763
2025-02-05,924990,924990,903140,916500,183863
2025-02-06,929990,929990,910010,919830,30335
2025-02-09,955000,961210,926000,961210,572623
2025-02-11,964110,980900,938500,958990,113956
2025-02-13,969900,969900,950000,960000,40534
2025-02-15,970000,970000,951010,963960,338708
2025-02-16,969000,971890,960500,970000,62937
2025-02-17,970000,982480,970000,980000,490208
2025-02-18,989980,1.0212e+06,984000,1.01699e+06,424334
2025-02-19,1.03499e+06,1.06494e+06,1e+06,1.00528e+06,157301
2025-02-20,1.0598e+06,1.07006e+06,1.055e+06,1.06001e+06,64067
2025-02-22,1.09e+06,1.10239e+06,1.06705e+06,1.06719e+06,206919
2025-02-23,1.0664e+06,1.0664e+06,1.027e+06,1.03998e+06,299310
2025-02-24,1.05595e+06,1.05595e+06,1.02647e+06,1.03296e+06,192673
2025-02-25,1.01997e+06,1.01997e+06,994560,1.00016e+06,192406
2025-02-26,1.01e+06,1.028e+06,1e+06,1.01198e+06,218125
2025-02-27,1.003e+06,1.01372e+06,993030,1.00098e+06,14251
2025-03-01,1.026e+06,1.026e+06,970050,978090,59596
