<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240324,033000,4340000,4390000,4332000,4360000,73878
20240325,033000,4390400,4390400,4320020,4370000,1188029
20240326,033000,4340000,4388800,4253000,4371550,107614
20240327,033000,4384900,4384900,4293000,4322300,150172
20240328,033000,4380000,4380000,4330000,4352000,150110
20240330,033000,4400000,4475000,4380500,4394000,154374
20240402,033000,4523000,4617480,4421000,4570030,160631
20240403,033000,4639990,4652990,4542110,4649000,153887
20240404,033000,4730000,4825990,4730000,4811000,154764
20240406,033000,4850000,4899850,4749000,4881000,107477
20240407,033000,4978000,4978000,4760000,4788000,119522
20240408,033000,4703290,4799990,4640000,4670190,150865
20240409,033000,4680000,4848020,4680000,4813000,120221
20240413,033000,4970000,5051910,4911000,5051910,222810
20240414,033000,5083450,5083450,4982790,4982790,147344
20240415,033000,4887030,4994810,4801010,4890000,143749
20240416,033000,4910000,5083500,4907000,5000000,611874
20240417,033000,4991000,5159000,4970100,5158820,221197
20240418,033000,5070320,5200000,5050000,5200000,317124
20240420,033000,5025110,5089960,4920000,4925210,432366
20240421,033000,4990000,5069820,4900000,4963150,369688
20240422,033000,4960000,4969990,4871520,4890120,189039
20240423,033000,4899940,4899940,4781220,4792200,182942
20240424,033000,4810000,4889970,4742010,4773000,242277
20240425,033000,4773000,4800000,4700010,4755050,81926
20240427,033000,4750010,4750010,4630000,4670040,102809
20240428,033000,4586150,4679930,4586150,4655020,262444
20240429,033000,4649970,4830000,4521000,4736500,142805
20240430,033000,4778990,4860000,4700000,4820000,290442
20240501,033000,4789000,4849880,4690000,4690000,180250
20240502,033000,4720000,4797750,4645030,4688780,65003
20240505,033000,4662990,4679000,4548700,4548800,729733
20240506,033000,4657990,4737000,4570000,4705700,175206
20240507,033000,4692490,4692490,4618010,4627260,364325
20240508,033000,4600000,4639980,4600000,4610260,597259
20240509,033000,4650000,4650000,4580000,4610000,211997
20240511,033000,4690000,4690000,4601010,4610120,329955
20240512,033000,4666000,4666000,4540610,4562700,324270
20240513,033000,4589990,4589990,4465010,4517870,260516
20240514,033000,4514970,4610000,4500000,4500000,600392
20240515,033000,4550000,4597960,4510020,4539990,557088
20240516,033000,4559900,4559900,4511020,4511260,252460
20240518,033000,4549980,4549980,4457500,4498010,307173
20240519,033000,4459980,4517000,4420200,4470000,294170
20240521,033000,4490000,4557990,4473420,4510870,402647
20240523,033000,4424820,4499990,4410000,4417980,287754
20240525,033000,4420000,4420000,4345110,4348210,165587
20240526,033000,4369000,4369000,4305130,4351020,294232
20240527,033000,4407760,4470000,4345000,4460010,279400
20240528,033000,4350040,4639900,4350040,4615000,570540
20240529,033000,4555110,4640000,4500020,4500040,435341
20240530,033000,4539990,4539990,4470000,4495500,115507
20240601,033000,4500000,4500000,4420130,4465000,204842
20240602,033000,4500000,4555970,4479120,4527990,478172
20240605,033000,4520400,4541990,4468600,4486250,312176
20240606,033000,4539900,4539900,4471900,4475990,78256
20240608,033000,4450000,4456000,4401000,4440000,325698
20240609,033000,4464850,4464850,4435000,4445210,501443
20240610,033000,4450000,4455880,4420010,4422200,289740
20240611,033000,4401050,4448560,4371070,4379980,433022
20240612,033000,4390260,4410000,4380000,4408000,351023
20240613,033000,4382000,4405000,4382000,4394110,1419
20240615,033000,4500000,4500000,4400290,4459000,188760
20240616,033000,4487000,4487000,4440010,4449890,205060
20240618,033000,4459990,4459990,4410040,4418600,498323
20240619,033000,4499980,4499980,4410020,4444050,447321
20240620,033000,4467000,4472000,4450120,4450120,3083
20240622,033000,4509860,4509860,4443990,4462990,573764
20240623,033000,4494250,4494830,4474000,4488060,677456
20240624,033000,4547580,4614990,4547570,4598880,759469
20240626,033000,4649990,4649990,4552020,4585200,683521
20240627,033000,4558760,4649900,4558760,4630000,101038
20240629,033000,4650000,4650000,4590010,4620000,754673
20240630,033000,4749860,4749860,4690000,4725000,719329
20240701,033000,4710510,4710510,4666000,4692080,391491
20240702,033000,4749980,4749980,4680000,4680000,476119
20240703,033000,4690000,4699950,4615000,4633620,353780
20240704,033000,4600120,4650000,4600120,4630070,26064
20240706,033000,4619000,4619000,4521000,4553000,200481
20240707,033000,4573300,4599000,4550000,4551200,227608
20240708,033000,4529000,4531000,4483050,4483050,36438
20240709,033000,4488010,4488010,4425000,4425010,201255
20240710,033000,4479960,4479960,4439650,4453490,275950
20240711,033000,4449000,4449000,4401020,4439860,1780
20240713,033000,4434000,4454550,4410010,4429990,145946
20240714,033000,4510000,4513000,4460660,4490000,174385
20240717,033000,4526010,4545000,4524000,4529990,210757
20240718,033000,4508000,4515000,4493000,4501000,35305
20240720,033000,4436000,4440000,4410010,4410010,511519
20240721,033000,4478000,4479980,4435510,4450000,465214
20240722,033000,4426010,4489070,4425000,4455910,266862
20240723,033000,4468000,4539000,4468000,4535000,451573
20240724,033000,4485010,4579810,4485010,4540090,443615
20240725,033000,4480630,4500000,4474000,4482510,100018
20240727,033000,4490000,4565000,4490000,4530230,344882
20240729,033000,4546000,4620000,4546000,4590090,409502
20240730,033000,4600010,4668920,4595000,4602040,537193
20240731,033000,4760010,4765480,4700000,4706500,333205
20240801,033000,4750500,4777000,4728000,4777000,128761
20240803,033000,4800000,4872500,4800000,4851000,662651
20240804,033000,4809120,4829770,4790470,4822460,586678
20240805,033000,4746500,4849990,4725090,4800090,278097
20240806,033000,4760010,4819990,4760010,4782540,931097
20240808,033000,4760010,4777990,4743100,4777090,298348
20240810,033000,4710020,4750000,4710020,4730830,444856
20240811,033000,4637000,4666630,4600000,4612020,740129
20240812,033000,4621010,4720000,4621010,4691990,211977
20240813,033000,4675020,4686510,4631000,4655500,654053
20240814,033000,4634010,4695000,4634010,4656130,406283
20240815,033000,4618020,4679460,4590900,4616000,127525
20240817,033000,4649020,4649020,4603510,4605290,159370
20240818,033000,4576020,4630700,4560100,4630000,418835
20240819,033000,4714950,4751010,4695010,4700010,499426
20240820,033000,4730000,4748000,4708000,4708600,345136
20240821,033000,4740040,4749980,4710000,4739990,304869
20240822,033000,4696100,4773980,4696100,4750000,1768
20240824,033000,4745500,4775000,4735100,4750000,490103
20240826,033000,4837990,4846000,4820650,4830080,771503
20240827,033000,4790000,4794990,4730150,4739990,508347
20240828,033000,4770000,4802990,4770000,4795950,860909
20240829,033000,4822000,4828000,4802000,4805000,14492
20240831,033000,4800010,4820000,4800010,4820000,241736
20240901,033000,4832110,4855500,4800000,4842000,476097
20240903,033000,4859000,4860000,4846010,4848010,200091
20240905,033000,4841000,4842000,4820000,4827010,4749
20240907,033000,4820000,4824990,4775000,4778000,422059
20240908,033000,4800000,4800000,4776070,4784790,164098
20240909,033000,4789000,4821000,4780000,4816000,194123
20240910,033000,4825990,4830000,4786000,4825000,125801
20240911,033000,4815020,4866000,4815020,4851100,202711
20240914,033000,4919990,4949000,4893950,4910030,127081
20240915,033000,4907500,4907500,4870000,4880980,192512
20240916,033000,4894000,4920000,4894000,4905020,510154
20240917,033000,4933000,4946000,4905110,4939000,402884
20240918,033000,4967500,4970000,4945320,4959100,351016
20240919,033000,4954990,4973000,4953670,4970000,62616
20240922,033000,5000000,5116000,4999990,5050000,215476
20240923,033000,5068000,5150000,5041040,5125500,573785
20240924,033000,5144010,5230000,5144010,5205990,529925
20240925,033000,5170000,5199980,5168500,5180100,212013
20240926,033000,5165000,5210000,5160000,5207000,42398
20240928,033000,5324990,5435090,5320000,5404580,162733
20240929,033000,5285040,5339990,5285000,5291000,367685
20240930,033000,5251050,5320000,5220010,5240000,324313
20241001,033000,5277020,5350000,5268540,5305010,480594
20241002,033000,5321000,5489780,5321000,5440990,1107403
20241003,033000,5441000,5499990,5431990,5450000,118386
20241005,033000,5344530,5482000,5340000,5420000,938715
20241006,033000,5457500,5559000,5457500,5525800,1104437
20241007,033000,5468000,5539980,5465000,5509000,1059520
20241008,033000,5400030,5520000,5400030,5470000,769044
20241009,033000,5395000,5440020,5370010,5400000,630058
20241010,033000,5440420,5541230,5431000,5462010,203335
20241012,033000,5415030,5514980,5400010,5418010,651344
20241013,033000,5402230,5511000,5402230,5506680,677362
20241014,033000,5498120,5616000,5498120,5520010,976952
20241015,033000,5473080,5574000,5459010,5510990,1057462
20241016,033000,5598500,5610000,5552000,5599900,1246833
20241017,033000,5570040,5630000,5570040,5581580,270181
20241019,033000,5630000,5718000,5630000,5718000,1088776
20241020,033000,5721000,5799980,5685020,5685040,1451295
20241021,033000,5740140,5859990,5740140,5816940,1512451
20241022,033000,5843730,5915000,5821050,5909850,1053314
20241023,033000,6058000,6125500,6016710,6035000,1007839
20241024,033000,6097000,6111000,6052000,6070000,81775
20241026,033000,5778840,5810000,5775830,5775830,310986
20241027,033000,5859990,5925970,5859990,5917010,190379
20241028,033000,5963990,6015000,5949000,5972030,297687
20241029,033000,6136990,6185000,6011220,6148570,801304
20241030,033000,6293000,6298000,6130000,6200000,430128
20241031,033000,6204000,6204000,6100000,6100020,65181
20241102,033000,6070000,6192000,6070000,6172000,282325
20241103,033000,6250200,6281800,6180060,6192110,650160
20241104,033000,6155990,6194960,6107000,6159000,141421
20241105,033000,6105000,6156000,6095020,6136000,218020
20241106,033000,6238000,6244000,6150090,6151400,513379
20241107,033000,6030130,6070000,5930010,6070000,119786
20241109,033000,6055000,6158880,6055000,6062090,288484
20241110,033000,6069750,6090000,5900000,5915000,274072
20241111,033000,5702000,5810290,5702000,5751000,321105
20241112,033000,5660000,5824000,5660000,5746990,705995
20241113,033000,5830000,5900000,5830000,5899910,433474
20241114,033000,5711070,5780000,5686990,5740530,126512
20241116,033000,5744150,5793000,5731100,5750020,389207
20241117,033000,5741020,5787600,5725520,5740020,721972
20241118,033000,5746000,5829490,5746000,5761060,414337
20241119,033000,5832000,6049900,5827000,5940000,529645
20241120,033000,6001120,6136000,6000100,6009960,571190
20241121,033000,6049000,6128790,6049000,6103280,37740
20241123,033000,6222110,6305000,6222110,6281900,729187
20241124,033000,6200000,6289390,6050010,6050010,493457
20241125,033000,6021060,6099970,6021060,6072150,562659
20241126,033000,5965000,6083000,5965000,6027960,614486
20241127,033000,6045200,6140000,6045200,6068090,497935
20241128,033000,5993070,6099920,5993070,6023000,143828
20241130,033000,6174990,6239950,6160010,6160020,506269
20241201,033000,6088000,6194960,6048100,6048100,618216
20241202,033000,6102020,6180000,6102020,6141010,664588
20241203,033000,6160000,6209000,6150000,6158000,1220019
20241204,033000,6203640,6330000,6203640,6250850,1251055
20241207,033000,6110000,6198900,6110000,6190000,1162381
20241208,033000,6233050,6300000,6230000,6280000,1488471
20241209,033000,6250030,6329990,6250030,6317050,995777
20241210,033000,6332010,6420000,6332010,6376000,1298779
20241211,033000,6431000,6568000,6431000,6455010,529528
20241212,033000,6436040,6509990,6436040,6500000,1182133
20241214,033000,6477000,6770000,6477000,6700600,1157573
20241215,033000,6630000,6675000,6577000,6580940,1344613
20241216,033000,6611060,6739950,6570060,6705000,912918
20241217,033000,6720010,6777610,6620000,6681080,936936
20241218,033000,6659000,6794980,6659000,6681320,1051903
20241219,033000,6538000,6640000,6538000,6553370,670597
20241221,033000,6554000,6681990,6554000,6620010,749101
20241222,033000,6530000,6600200,6510700,6588160,1014176
20241223,033000,6630080,6739990,6630080,6700010,546925
20241224,033000,6723000,6790000,6723000,6752020,1911844
20241225,033000,6670060,6769500,6670000,6740010,361888
20241226,033000,6796000,6821000,6785000,6813010,40818
20241228,033000,6910010,7040000,6910010,6941000,103001
20241229,033000,7010000,7014000,6750000,6783170,267885
20241230,033000,6803000,6900010,6780000,6900010,366063
20241231,033000,6900120,6990000,6900120,6950000,1072425
20250101,033000,6932000,6987970,6900000,6958000,780571
20250102,033000,6928000,6933000,6900000,6906000,20542
20250104,033000,6846000,6857000,6770000,6785000,299779
20250105,033000,6860000,6860000,6778770,6812000,241502
20250106,033000,6760010,6783990,6699920,6712000,910268
20250107,033000,6770100,6919890,6770100,6900060,357336
20250108,033000,6918000,6948000,6860030,6930010,542447
20250109,033000,7000000,7015000,6923190,7010050,31060
20250111,033000,7107000,7110000,7062110,7080000,574442
20250112,033000,7074000,7074000,7000000,7031940,463145
20250113,033000,7069000,7099900,7040400,7080460,353922
20250115,033000,7008950,7013000,6963130,6980010,665177
20250116,033000,6901000,6949000,6901000,6940000,46875
20250118,033000,6928430,7028700,6920020,7000050,340223
20250119,033000,7013000,7013000,6930000,6984900,949278
20250120,033000,7040000,7040000,6936000,6940020,468879
20250121,033000,7119990,7260000,7119990,7231610,955335
20250122,033000,7243670,7371500,7243670,7359840,1076845
20250123,033000,7334000,7510000,7330000,7390230,160934
20250125,033000,7424100,7550000,7424100,7430000,1056520
20250126,033000,7431000,7500000,7430000,7435500,1612283
20250127,033000,7400050,7540000,7391000,7490210,773418
20250129,033000,7438940,7509900,7370010,7390040,469240
20250130,033000,7371200,7430000,7371200,7410100,50979
20250201,033000,7535000,7594990,7532100,7555450,433226
20250202,033000,7527050,7620000,7527050,7588980,1100073
20250203,033000,7551050,7640000,7551050,7570850,1808742
20250204,033000,7605000,7605000,7588000,7595000,2401418
20250205,033000,7753000,7889890,7740060,7810000,1276566
20250206,033000,7872000,7927000,7868050,7916000,51650
20250209,033000,8280740,8280740,8280740,8280740,48445
20250211,033000,8694770,8694770,8362070,8460100,2841931
20250213,033000,8660000,8886790,8660000,8800010,58367
20250215,033000,8733000,8800010,8654010,8795020,1348551
20250216,033000,8646000,8800000,8646000,8759950,1439611
20250217,033000,8650010,8799910,8650010,8740000,801345
20250218,033000,8760070,8939980,8760070,8780050,1579264
20250219,033000,9000000,9265020,9000000,9136660,1614503
20250220,033000,9279010,9638940,9260010,9450000,187425
20250222,033000,9402020,9671990,9200010,9300020,1396490
20250223,033000,9020050,9249090,9020050,9050130,800244
20250224,033000,9050040,9144990,9041870,9080080,809940
20250225,033000,8780000,8988710,8780000,8820100,1498835
20250226,033000,9010000,9132900,8820700,9099990,948354
20250227,033000,8930000,9090810,8930000,8992200,127323
20250301,033000,8750020,8949990,8546290,8603400,1973759
20250302,033000,8730000,8878270,8560000,8684980,1766319
20250303,033000,8532030,8639880,8523000,8530000,972617
20250304,033000,8600000,8722000,8540000,8635000,1314334
20250305,033000,8568000,8600000,8500000,8504000,771563
20250306,033000,8491000,8593000,8448030,8505000,49959
20250308,033000,8881000,8888000,8712000,8750070,944308
20250309,033000,9162000,9190480,8850000,9000000,1507800
20250310,033000,9118000,9140000,9030000,9060000,1352036
20250311,033000,8945000,8999970,8820020,8835000,1767240
20250312,033000,8950000,9064000,8851030,8894900,1103418
20250313,033000,9040000,9040000,8975000,9018980,118239
20250315,033000,9000010,9000010,8805190,8929990,962647
20250316,033000,9120000,9239990,9030010,9198980,1139609
20250317,033000,9620000,9625490,9600000,9625490,605721
20250318,033000,10106670,10106670,10106670,10106670,10690
20250325,033000,10390990,10598970,10100050,10549900,344069
20250326,033000,10604000,10896960,10604000,10840000,484420
20250327,033000,10801000,10978880,10720030,10860040,97526
20250329,033000,11101110,11322110,11101110,11322110,362208
20250330,033000,11299000,11299000,11000110,11040000,263833
20250405,033000,10509580,10640000,10509580,10509580,223664
20250406,033000,10460000,10709990,10460000,10650000,383923
20250407,033000,10627000,10900000,10627000,10690010,1175737
20250408,033000,10227520,10227520,10227520,10227520,126262
20250409,033000,10202400,10202400,9780760,9881000,582682
20250410,033000,10220000,10220000,10081000,10198980,41920
20250412,033000,9999990,9999990,9674320,9674320,303722
20250413,033000,9292610,9292610,9292610,9292610,14454
20250414,033000,8828020,9050000,8827980,8853510,855203
20250415,033000,9349900,9349900,8905000,8943500,803581
20250416,033000,9299990,9299990,8950000,9010000,235722
20250417,033000,8937000,9040000,8937000,9000000,16835
20250419,033000,8999890,8999890,8543660,8564990,392352
20250420,033000,8299420,8363500,8298720,8298780,401460
20250421,033000,8723880,8723880,8580000,8723880,470188
20250422,033000,8599960,8599960,8320020,8343010,617303
20250423,033000,8200050,8539980,8200000,8482130,571034
20250426,033000,8270000,8619980,8270000,8540200,632667
20250427,033000,8820000,8848940,8750000,8750000,340452
20250428,033000,8510060,8540000,8382380,8432270,367204
20250429,033000,8455000,8480000,8260020,8439880,632408
20250430,033000,8550000,8550000,8370000,8420140,620334
20250501,033000,8399980,8449900,8351840,8377020,31376
20250503,033000,8833960,8833960,8800010,8833960,1018678
20250504,033000,9050000,9095990,8860000,9000000,410773
20250505,033000,9025990,9025990,8635120,8730000,284230
20250506,033000,8879090,8879090,8705010,8736010,726848
20250507,033000,8620100,8789990,8620100,8700000,672417
20250508,033000,8849990,8849990,8735000,8735000,56226
20250510,033000,8799900,8805000,8720000,8802990,363690
20250511,033000,9009920,9034000,8620030,8650210,616064
20250512,033000,8521000,8645000,8521000,8600010,266743
20250513,033000,8555050,8700000,8555050,8599990,279395
20250514,033000,8630000,8650000,8490000,8490020,201268
20250515,033000,8399990,8438000,8368000,8429420,20870
20250517,033000,8509960,8509960,8300000,8312600,318017
20250518,033000,8320000,8320000,7963080,7999870,392118
20250519,033000,8280000,8319990,8200010,8250000,380698
20250520,033000,8350020,8663160,8350020,8663160,498236
20250521,033000,8800000,8885000,8640000,8700000,264048
20250522,033000,8556000,8581000,8500360,8525040,45509
20250524,033000,8700000,8700000,8590000,8623000,364003
20250525,033000,8590000,8625000,8525000,8600100,311721
20250526,033000,8400000,8510000,8400000,8500010,206276
20250527,033000,8300190,8515000,8300190,8514990,181321
20250528,033000,8500000,8576000,8500000,8565000,312605
20250529,033000,8370000,8426000,8370000,8414990,56124
20250531,033000,8500000,8510000,8441050,8450000,482519
20250601,033000,8400010,8420000,8340100,8418000,169842
20250602,033000,8440000,8605900,8440000,8584000,128008
20250603,033000,8695000,8695000,8620150,8638000,184643
20250607,033000,8620000,8630000,8485000,8490000,135903
20250608,033000,8490000,8572990,8490000,8542020,137870
20250609,033000,8640000,8725000,8620000,8673000,121597
20250610,033000,8465040,8515000,8465040,8505000,128694
20250611,033000,8590000,8740000,8590000,8710000,213326
20250612,033000,8840000,8950000,8840000,8930000,54985
20250628,033000,8962010,9040000,8895010,8908000,522542
20250629,033000,9048000,9418290,9048000,9329980,473558
20250630,033000,9740000,9743900,9600070,9720000,1263215
20250701,033000,9950000,10010000,9800230,9910020,991049
20250702,033000,9700000,9930000,9640000,9850000,686232
20250707,033000,9511060,9540000,9484010,9485690,489960
20250708,033000,9290030,9385000,9290020,9373000,317411
20250709,033000,9282630,9360000,9240030,9305000,1171370
20250712,033000,9230000,9272030,9140720,9160000,729554
20250713,033000,9200060,9500000,9176020,9450000,1129776
20250714,033000,9351100,9640000,9351100,9485000,1970465
20250715,033000,9480080,9572000,9411100,9458000,973922
20250716,033000,9410000,9572000,9380000,9530040,604655
20250719,033000,9350070,9600000,9350060,9400130,737372
20250720,033000,9265000,9324000,9240000,9300000,1001552
20250721,033000,9360000,9460000,9335000,9426020,901463
20250722,033000,9530000,9618000,9530000,9600010,852551
20250723,033000,9600020,9639990,9600020,9607000,745632
20250726,033000,9455000,9490000,9400060,9415530,888784
20250727,033000,9300000,9370000,9280000,9320070,1204811
20250728,033000,9450020,9580000,9450020,9572390,1261841
20250729,033000,9520010,9630000,9520010,9600200,1415023
20250730,033000,9600000,9648000,9510000,9530010,1071088
20250802,033000,9720000,9935000,9720000,9923010,1314875
20250803,033000,10040070,10229990,10040070,10140080,1678599
20250804,033000,10140020,10310000,10140020,10303000,1522208
20250805,033000,10350000,10425000,10100010,10195040,2266256
20250806,033000,10190000,10309980,10190000,10251070,1760204
20250809,033000,10100000,10199870,9950000,10000000,1114217
20250810,033000,9900000,9980000,9849980,9918010,1115752
20250811,033000,10010030,10085010,10010030,10036000,1054162
20250812,033000,9985000,10010000,9920010,9920010,1200394
20250813,033000,10100000,10189980,10040010,10040010,1074602
20250816,033000,9950000,9960000,9850010,9910080,929790
20250817,033000,9995000,10041040,9995000,10010010,907448
20250818,033000,10040000,10085000,10030000,10065000,1254256
20250819,033000,10140000,10163000,10041100,10050000,1116870
20250820,033000,10220000,10249960,10107120,10150000,625928
20250823,033000,10190980,10312000,10190980,10305010,1533103
20250825,033000,10429010,10450000,10290000,10290000,940108
20250826,033000,10470000,10510000,10407000,10450010,2397735
20250827,033000,10770000,10916140,10759990,10900000,1202348
20250830,033000,11324270,11324270,11230040,11324270,190131
20250831,033000,11650000,11800000,11460000,11799970,1044600
20250902,033000,11700000,11700000,11470000,11490120,696250
20250903,033000,11574000,11600000,11360020,11500000,507958
20250906,033000,11489000,11548000,11450150,11548000,976222
20250907,033000,11579990,11735000,11560000,11710000,822827
20250908,033000,11840000,11860000,11680060,11700000,1373145
20250909,033000,11614000,11760000,11598050,11686020,875549
20250913,033000,11370000,11378000,11260050,11260060,874176
20250914,033000,11243940,11325000,11215030,11215030,655151
20250915,033000,11450000,11532000,11405010,11500000,1176381
20250916,033000,11696000,11728000,11600000,11670000,1653191
20250917,033000,11700000,11799990,11700000,11780000,1346150
20250920,033000,12340740,12340740,12270760,12324040,1241168
20250921,033000,12548000,12689990,12548000,12656030,965633
20250922,033000,12500010,12640000,12450090,12518000,1327001
20250923,033000,12400000,12930000,12400000,12855130,2129744
20250924,033000,13230000,13239780,13151790,13239780,1487455
20250927,033000,13600060,13880000,13600000,13745000,3465877
20250928,033000,13700000,13700000,13250170,13262060,896168
20250929,033000,13450000,13770020,13450000,13759990,417160
20250930,033000,13960000,14169000,13806000,14060000,689716
20251001,033000,14300000,14450000,14280300,14291100,1274583
20251004,033000,14379970,14500000,14100000,14206000,915087
20251005,033000,14040040,14280820,14000000,14100000,383619
20251006,033000,14102000,14102000,13731010,13731010,415473
20251007,033000,14100000,14419000,13900000,14400000,639873
20251008,033000,14823210,14823210,14823210,14823210,182362
20251011,033000,14770000,14770000,14450200,14498980,530840
20251012,033000,14089900,14420000,13950270,14400000,445929
20251013,033000,14500000,14589990,14300000,14370000,560913
20251014,033000,14200050,14499940,14200050,14270990,304980
20251015,033000,14650000,14750000,14450000,14538910,249635
20251018,033000,14410000,14450000,14160380,14218000,189641
20251019,033000,14634920,14685850,14500000,14650000,282542
20251020,033000,14460000,14476000,14250060,14438000,248249
20251021,033000,14399980,14599980,14399980,14400090,473462
20251022,033000,14200000,14299690,13975700,14100000,196177
20251025,033000,13929990,14150000,13730160,14110720,346591
20251026,033000,14380000,14435970,14220060,14310000,728438
20251027,033000,14130000,14199000,14044000,14050000,630999
20251028,033000,13670000,13760000,13510080,13702010,644924
20251029,033000,13900000,14019990,13900000,13949000,603962
20251101,033000,13890000,14100000,13890000,14070020,350580
20251102,033000,13960000,14058000,13930000,13990010,552784
20251103,033000,13930000,14060000,13904290,14001080,538284
20251104,033000,14000040,14093990,14000000,14011080,1403651
20251105,033000,13980000,14040000,13980000,14030000,1080507
20251108,033000,13920000,13999990,13900000,13972010,1089038
20251109,033000,13940000,13990000,13940000,13982000,1004849
20251110,033000,14080000,14190000,14080000,14142010,1136420
20251111,033000,14550000,14811940,14550000,14751170,1213405
20251112,033000,15150000,15297950,14800320,15200000,1623165
20251115,033000,15170000,15170000,14950000,15000000,1195232
20251116,033000,14999980,14999980,14788740,14790270,544374
