<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19790318,033000,100,140,100,140,1
19800318,033000,140,200,140,200,1
19810318,033000,200,270,200,270,1
19820318,033000,270,350,270,350,1
19830318,033000,350,450,350,450,1
19840318,033000,450,580,450,580,1
19850318,033000,580,610,580,610,1
19860318,033000,610,740,610,740,1
19870318,033000,740,960,740,960,1
19880318,033000,990,990,960,960,1
19890318,033000,960,1200,960,1200,1
19900318,033000,1200,1410,1200,1410,1
19910318,033000,1410,1420,1410,1420,1
19920318,033000,1420,1490,1420,1490,1
19930318,033000,1490,1800,1490,1800,1
19940318,033000,1800,2630,1800,2630,1
19950318,033000,2630,4030,2630,4030,1
19960318,033000,4030,4440,4030,4440,1
19970319,033000,4440,4780,4440,4780,1
19980319,033000,4780,6460,4780,6460,1
19990319,033000,6460,8630,6460,8630,1
20000318,033000,8630,8630,8130,8130,1
20010319,033000,8130,8130,7990,7990,1
20020319,033000,7920,7990,7920,7990,1
20030319,033000,7990,8320,7990,8320,1
20040319,033000,8320,8740,8320,8740,1
20050319,033000,8740,9040,8740,9040,1
20060319,033000,9040,9220,9040,9220,1
20070319,033000,9220,9430,9220,9430,1
20071212,033000,9400,9430,9400,9430,1
20071215,033000,9470,9500,9470,9500,1
20071222,033000,9500,9500,9470,9470,1
20071229,033000,9480,9480,9340,9340,1
20080105,033000,9330,9350,9330,9350,1
20080112,033000,9310,9400,9300,9400,1
20080119,033000,9390,9470,9370,9370,1
20080126,033000,9370,9370,9300,9340,1
20080202,033000,9350,9470,9350,9470,1
20080209,033000,9460,9460,9400,9400,1
20080216,033000,9410,9430,9360,9360,1
20080223,033000,9360,9380,9260,9260,1
20080301,033000,9250,9320,9250,9250,1
20080308,033000,9250,9250,9150,9150,1
20080315,033000,9150,9150,9070,9110,1
20080323,043000,9300,9300,9180,9210,1
20080329,043000,9210,9250,9200,9200,1
20080405,043000,9150,9150,9070,9070,1
20080412,043000,9070,9140,9050,9100,1
20080419,043000,9200,9340,9150,9340,1
20080426,043000,9300,9370,9270,9370,1
20080503,043000,9350,9450,9330,9350,1
20080510,043000,9370,9380,9320,9350,1
20080517,043000,9350,9370,9210,9220,1
20080524,043000,9220,9340,9210,9340,1
20080531,043000,9380,9400,9380,9400,1
20080607,043000,9280,9470,9280,9470,1
20080614,043000,9450,9450,9380,9380,1
20080621,043000,9380,9400,9310,9310,1
20080628,043000,9310,9350,9250,9350,1
20080705,043000,9350,9380,9260,9260,1
20080712,043000,9260,9300,9260,9300,1
20080719,043000,9300,9350,9250,9330,1
