<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20001028,033000,229605,230388,228100,228940,4233775.884905723
20080201,033000,228050,231688,227601,229605,5960716.504546229
20180413,043000,5276,5276,5276,5276,20
20180414,043000,5449,5449,5449,5449,27.53
20180415,043000,5449,5449,5449,5449,0
20180416,043000,5449,5449,5449,5449,0
20180417,043000,5480,5480,5480,5480,2737.2262
20180418,043000,5480,5480,5480,5480,0
20180419,043000,5580,5600,5580,5600,189.78
20180420,043000,5555,5555,5555,5555,1980
20180421,043000,5555,5555,5555,5555,0
20180422,043000,5555,5555,5555,5555,0
20180423,043000,5540,5540,5540,5540,92.5
20180424,043000,5540,5540,5450,5450,316.2
20180425,043000,5450,5450,5450,5450,0
20180426,043000,5540,5560,5540,5560,460.21
20180427,043000,5560,5560,5560,5560,359.71
20180428,043000,5560,5560,5560,5560,0
20180429,043000,5560,5560,5560,5560,0
20180430,043000,5565,5565,5565,5565,431.27
20180501,043000,5550,5550,5550,5550,44.8
20180502,043000,5550,5550,5550,5550,0
20180503,043000,5550,5550,5550,5550,0
20180504,043000,5550,5550,5550,5550,0
20180505,043000,5550,5550,5550,5550,0
20180506,043000,5550,5550,5550,5550,0
20180507,043000,5550,5550,5550,5550,0
20180508,043000,5550,5550,5550,5550,0
20180509,043000,6260,6260,6260,6260,330
20180510,043000,6260,6260,6260,6260,0
20180511,043000,7388,7388,6798,6798,1487
20180512,043000,6800,6800,6800,6800,735
20180513,043000,6800,6800,6800,6800,0
20180514,043000,6786,6786,6780,6780,1612.72
20180515,043000,6730,6730,6730,6730,100
20180516,043000,6730,6730,6730,6730,0
20180517,043000,6730,6730,6730,6730,0
20180518,043000,6730,6730,6730,6730,0
20180519,043000,6500,6500,6500,6500,3076
20180520,043000,6500,6500,6500,6500,0
20180521,043000,6500,6500,6500,6500,0
20180522,043000,6300,6348,6300,6348,5528
20180523,043000,6400,6400,6246,6248,7697.0763
20180524,043000,6248,6248,6248,6248,0
20180525,043000,6248,6248,6248,6248,0
20180526,043000,6248,6248,6248,6248,0
20180527,043000,6248,6248,6248,6248,0
20180528,043000,6248,6248,6248,6248,0
20180529,043000,6248,6248,6248,6248,0
20180530,043000,6248,6248,6248,6248,0
20180531,043000,6248,6248,6248,6248,0
20180601,043000,6677,6677,6677,6677,14.97
20180602,043000,6770,6770,6535,6535,180.8
20180603,043000,6535,6535,6535,6535,0
20180604,043000,6500,6630,6500,6630,3720.1808
20180605,043000,6630,6630,6630,6630,0
20180606,043000,6630,6630,6630,6630,0
20180607,043000,6699,6699,6699,6699,447
20180608,043000,6699,6699,6699,6699,0
20180609,043000,6699,6699,6699,6699,0
20180610,043000,6699,6699,6699,6699,0
20180611,043000,6690,6690,6690,6690,4483
20180612,043000,6850,6850,6850,6850,87.23
20180613,043000,7100,7150,7100,7150,8500
20180614,043000,7150,7320,7150,7320,17500
20180615,043000,7320,7320,7320,7320,0
20180616,043000,7250,7250,7250,7250,13.92
20180617,043000,7200,7200,7200,7200,6000
20180618,043000,7200,7200,7200,7200,0
20180619,043000,7200,7200,7200,7200,0
20180620,043000,7200,7309,7114,7309,69
20180621,043000,7368,7368,7368,7368,2200
20180622,043000,7440,7440,7298,7298,3420
20180623,043000,7448,7490,7399,7399,1947.8
20180624,043000,7850,7950,7750,7950,1405.873
20180625,043000,8300,8600,8300,8600,1602.79
20180626,043000,8350,8500,8200,8200,4247
20180627,043000,8096,8096,7948,7948,5040
20180628,043000,8096,8098,7943,7948,1530.9
20180629,043000,8100,8350,8100,8350,4612.64
20180630,043000,8342,8342,8342,8342,164
20180701,043000,8129,8180,8094,8094,9651
20180702,043000,8200,8220,8012,8012,1108.67
20180703,043000,8012,8012,8012,8012,0
20180704,043000,8012,8012,8012,8012,0
20180705,043000,8192,8202,8068,8073,10328.6085
20180706,043000,8078,8098,7998,8027,8060.9791
20180707,043000,8031,8095,8002,8095,3641.1
20180708,043000,8042,8042,8042,8042,3108
20180709,043000,8042,8042,8042,8042,0
20180710,043000,8042,8042,8042,8042,0
20180711,043000,8042,8042,8042,8042,0
20180712,043000,8042,8042,8042,8042,0
20180713,043000,8042,8042,8042,8042,0
20180714,043000,8042,8042,8042,8042,0
20180715,043000,8042,8042,8042,8042,0
20180716,043000,8042,8042,8042,8042,0
20180717,043000,7900,8042,7900,8042,458.15
20180718,043000,7980,7980,7948,7948,920.9
20180719,043000,8068,8068,8068,8068,1000
20180720,043000,8068,8068,8068,8068,0
20180721,043000,8068,8068,8068,8068,0
20180722,043000,8314,8314,8314,8314,120.27
20180723,043000,8325,8688,8325,8688,1364.56
20180724,043000,8699,9295,8536,9295,1921.33
20180725,043000,8980,9399,8980,9399,5879
20180726,043000,9135,9299,9135,9149,35.93
20180727,043000,9149,9339,9149,9339,3214.12
20180728,043000,9339,9339,9339,9339,0
20180729,043000,9440,9488,9440,9488,2343.5
20180730,043000,9584,10994,9584,10994,2178.5
20180731,043000,10640,11640,10500,11640,4950.8272
20180801,043000,11640,11640,11640,11640,0
20180802,043000,10867,11181,10867,11019,2280.89
20180803,043000,11019,11019,11019,11019,0
20180804,043000,10405,10405,10404,10404,114.95
20180805,043000,10730,10730,10203,10372,10647.4654
20180806,043000,10230,10230,9900,9900,970.97
20180807,043000,9542,9544,9542,9544,2422.6758
20180808,043000,9680,9770,9400,9400,11462.15
20180809,043000,9400,10098,9400,10098,7162.17
20180810,043000,9839,10300,9839,10300,2207.82
20180811,043000,10400,10400,10349,10349,500
20180812,043000,10946,10946,10946,10946,175.5
20180813,043000,10796,10816,10769,10769,307.25
20180814,043000,10722,10784,10722,10784,237.11
20180815,043000,10995,10995,10720,10720,1384.29
20180816,043000,10800,10800,10800,10800,27.8
20180817,043000,10600,10600,10600,10600,270.1
20180818,043000,10821,10821,10821,10821,300
20180819,043000,10418,10418,10418,10418,500.33
20180820,043000,10418,10418,10418,10418,0
20180821,043000,10520,10540,10520,10540,1897.96
20180822,043000,10520,10586,10520,10586,5055
20180823,043000,10586,10586,10586,10586,0
20180824,043000,10649,10649,10587,10587,330.1
20180825,043000,10597,10597,10597,10597,226.7
20180826,043000,10465,10482,10445,10482,6694
20180827,043000,10468,10516,10468,10516,2377
20180828,043000,10509,10661,10456,10661,2894.8128
20180829,043000,10717,11089,10717,10850,6036.12
20180830,043000,10919,10919,10850,10850,4474
20180831,043000,10986,10986,10950,10950,12220
20180901,043000,10950,10950,10950,10950,0
20180902,043000,11192,11192,11192,11192,31
20180903,043000,11864,11990,11864,11990,1276.54
20180904,043000,11600,12731,11600,12727,1629.83
20180905,043000,12667,13838,12667,13516,3752.6586
20180906,043000,13649,14998,13511,13511,7223.4431
20180907,043000,13484,13800,13484,13650,1463.23
20180908,043000,13523,13523,13280,13280,1453.8
20180909,043000,13384,13384,12781,12781,2565.78
20180910,043000,12414,13033,12414,13033,2458.94
20180911,043000,13535,13950,13466,13950,476.8
20180912,043000,14271,14271,13658,13658,838
20180913,043000,13658,13658,13658,13658,0
20180914,043000,13936,13936,13936,13936,504.7
20180915,043000,13685,13779,13599,13599,6151.7915
20180916,043000,13842,13842,13535,13535,781.3
20180917,043000,14284,14284,13900,13900,618
20180918,043000,14175,14190,13983,13983,1118.7897
20180919,043000,14072,14283,14072,14283,422
20180920,043000,14300,14449,14300,14449,112.79
20180921,043000,14449,14449,14449,14449,0
20180922,033000,14330,14330,14300,14300,1400.5
20180923,033000,14299,14398,14278,14371,3161.304
20180924,033000,14299,14691,14299,14691,439.27
20180925,033000,14500,15630,14500,15630,3158.3667
20180926,033000,15577,16578,15577,16578,5645.21
20180927,033000,16600,18591,15990,17786,7391.4235
20180928,033000,18463,18463,16963,16963,7689.87
20180929,033000,17456,17456,17000,17000,1423
20180930,033000,16800,17301,16626,17301,4127.63
20181001,033000,17300,17300,16600,16636,2528.3154
20181002,033000,16877,16887,14782,14782,7322.2915
20181003,033000,14329,14329,13000,14071,14348.4842
20181004,033000,13731,14567,13537,14244,11402.4985
20181005,033000,14184,14187,14184,14187,2140.9074
20181006,033000,13792,13850,13792,13792,230.81
20181007,033000,13705,13705,13023,13023,696.35
20181008,033000,13195,13214,12721,13114,11029.98
20181009,033000,13419,13908,13219,13831,17447.5313
20181010,033000,13793,14800,13793,14650,7094.76
20181011,033000,14670,14850,14500,14850,6013.89
20181012,033000,14450,14600,14350,14600,3863.33
20181013,033000,14600,14600,14600,14600,4109.0445
20181014,033000,14450,14450,14400,14400,370.41
20181015,033000,14300,14300,13600,13600,8086.05
20181016,033000,13600,13600,13300,13600,4940.54
20181017,033000,13600,13700,13600,13700,3373.7748
20181018,033000,13600,13600,13600,13600,1293.27
20181019,033000,13600,13600,13600,13600,0
20181020,033000,13300,13300,13300,13300,50
20181021,033000,13500,13550,13250,13430,194.92
20181022,033000,13200,13210,13100,13200,5104.3
20181023,033000,13350,13350,13200,13200,614.34
20181024,033000,13400,13400,13400,13400,400
20181025,033000,13230,13230,13230,13230,256
20181026,033000,13100,13100,13100,13100,140
20181027,033000,13250,13250,13250,13250,704.4
20181028,033000,13200,13350,13200,13350,208.13
20181029,033000,13600,13900,13600,13900,4832.6
20181030,033000,14280,14350,14280,14350,1451
20181031,033000,14550,14550,14550,14550,687
20181101,033000,14550,15000,14550,15000,2093.5628
20181102,033000,14550,14550,14550,14550,29.3
20181103,033000,14550,14550,14550,14550,0
20181104,033000,14250,14250,14250,14250,2100
20181105,033000,14350,14350,14350,14350,228.36
20181106,033000,14400,14440,14300,14400,496.84
20181107,033000,14300,14300,14300,14300,63.35
20181108,033000,14350,14350,14150,14150,2442.73
20181109,033000,14150,14150,14150,14150,269.84
