نماد,insCode,نام
اهرم,17914401175772326,صندوق اهرم
موج,67141987086032267,صندوق موج
دوایکس,58108537439201620,صندوق دوایکس
نارنج اهرم,35831329532779850,صندوق نارنج اهرم
توان,41927452991671109,صندوق توان
بیدار,44604318643489231,صندوق بیدار
عیار,34144395039913458,صندوق عیار طلا
کهربا,25559236668122210,صندوق کهربا طلا
نهال,12913156843322499,صندوق نهال
نقران,41483334879559487,صندوق نقران نقره
سینرژی,15001802434062073,صندوق سینرژی
سمازن,33808206014018431,سیمان مازندران
شاراک,7711282667602555,پتروشیمی اراک
سقاین,60654872678917533,سیمان قاین
فباهنر,66772024744156373,مس شهید باهنر
شاخص کل,32097828799138957,شاخص کل
هم وزن,67130298613737946,شاخص کل هم‌وزن
