date,open,high,low,close,volume
2025-11-16,15420,15420,15420,15420,330
2025-11-17,15450,15450,15450,15450,10000000
2025-11-18,15530,15530,15490,15490,947
2025-11-19,15630,15640,15630,15640,80480
2025-11-22,15790,15830,15720,15720,3946
2025-11-23,15890,15900,15890,15900,3054
2025-11-25,16175,16195,16175,16195,736
2025-11-26,16220,16270,16220,16270,15865
2025-11-29,16170,16275,16170,16275,9910
2025-11-30,16110,16210,16110,16180,14390
2025-12-01,16310,16490,16310,16330,2320132
2025-12-02,16460,16480,16440,16480,1165551
2025-12-03,16420,16600,16380,16600,1293925
2025-12-06,16895,16907,16895,16907,5121598
2025-12-07,17200,17210,16940,16940,5132163
2025-12-08,16900,17079,16900,17079,30186
2025-12-09,17080,17080,17080,17080,1000
2025-12-10,17260,17260,17260,17260,1000
2025-12-13,17380,17600,17380,17570,2430920
2025-12-14,17710,17790,17561,17750,1600662
2025-12-15,17850,18100,17850,18100,3103001
2025-12-16,18140,18355,17990,17990,3627708
2025-12-17,18000,18000,18000,18000,200
2025-12-20,18170,18440,18170,18440,528065
2025-12-21,18390,18440,18390,18420,12501000
2025-12-22,18440,18470,18290,18290,65309
2025-12-23,18460,18845,18460,18845,1040000
2025-12-24,18760,19350,18760,19210,3442386
2025-12-27,19320,19358,19265,19357,4211008
2025-12-28,19410,19800,19400,19580,239295
2025-12-29,19180,19350,19180,19190,11483
2025-12-30,18631,18822,18631,18631,122959
2025-12-31,18610,18805,18450,18805,43727
2026-01-04,18290,18350,18290,18350,2787
2026-01-05,18650,18830,18650,18660,954933
2026-01-06,19180,19237,19100,19237,5024412
2026-01-07,19560,19570,19390,19390,1787098
2026-01-10,19349,19349,18930,18980,2700249
2026-01-11,18850,18850,18470,18470,1701
2026-01-12,19240,19240,18950,18950,4872
2026-01-13,19100,19100,19100,19100,1785
2026-01-14,18849,18849,18849,18849,240
2026-01-18,18750,18750,18730,18730,512085
2026-01-19,19000,19000,19000,19000,755
2026-01-20,19050,19050,19050,19050,109000
2026-01-21,19000,19000,19000,19000,31700
2026-01-24,19010,19010,19010,19010,265
2026-01-25,18500,18500,18500,18500,26404
2026-01-26,18550,18550,18250,18410,6216
2026-01-27,18051,18051,18051,18051,1311
2026-01-28,18050,18050,18050,18050,17882
2026-01-31,18205,18205,17950,17950,1020
2026-02-01,17780,17780,17780,17780,100000
2026-02-02,17800,17800,17800,17800,3000
2026-02-03,17850,17850,17850,17850,70
2026-02-07,17920,18100,17920,18040,603000
2026-02-08,18300,18300,18300,18300,100000
2026-02-09,17805,17805,17805,17805,133
2026-02-10,17550,17990,17550,17990,776
2026-02-14,18195,18195,17675,17675,50060
2026-02-15,17470,17470,17470,17470,1000
2026-02-16,17460,17460,17460,17460,121
2026-02-17,17625,17625,17625,17625,1109
2026-02-18,17385,17385,17385,17385,585
2026-02-21,17110,17110,17110,17110,1000
2026-02-22,16850,16930,16840,16930,156873
2026-02-23,16970,17105,16970,17105,10331
2026-02-24,17000,17000,17000,17000,30000
2026-02-25,17201,17201,17201,17201,1000
2026-05-19,17270,17270,16685,16685,106326
2026-05-20,16217,16990,16217,16790,70503
2026-05-23,17200,17222,17200,17222,6684
2026-05-24,17716,17716,17174,17706,768755
2026-05-25,17503,17699,17431,17648,138439
2026-05-26,17715,17980,17405,17950,764927
2026-05-30,18352,18352,18350,18352,5045525
2026-05-31,18500,18902,18500,18902,4041759
2026-06-01,19219,19351,18794,19275,2134029
2026-06-02,19400,19569,19190,19569,488550
2026-06-03,19523,19640,19500,19591,1717114
2026-06-06,19551,20087,19550,19700,373382
2026-06-07,19921,20149,19920,20149,159227
2026-06-08,19801,20149,19801,19812,953781
2026-06-09,20100,20399,20000,20270,109302639
2026-06-10,20600,20607,20299,20607,8161537
2026-06-13,21215,21215,21215,21215,5400000
2026-06-14,21851,21851,21830,21851,10008325
2026-06-15,22506,22506,22505,22506,6721914
2026-06-16,23181,23181,22050,22112,118241079
2026-06-17,22002,22648,21933,22300,8788616
2026-06-20,22500,22500,21500,21940,15252798
2026-06-21,22297,22499,21514,21581,7631698
2026-06-22,21958,21958,21790,21790,655373
2026-06-23,21882,22208,21882,22208,247632
2026-06-27,21850,22090,21787,21788,1538799
2026-06-28,21900,22050,21800,21934,445593
2026-06-29,22222,22222,21900,22100,53285
2026-06-30,22350,22397,22280,22290,272326
2026-07-01,22356,22660,22319,22660,173578
2026-07-07,22000,23096,22000,23096,504659
2026-07-08,22970,23400,22900,23202,823482
2026-07-11,22990,23000,22860,22860,78928
2026-07-12,22300,22440,22300,22420,66248
2026-07-13,21920,21950,21910,21950,4708
2026-07-14,21690,21700,21650,21650,50157
2026-07-15,21740,21740,21445,21445,190634
2026-07-18,21321,21361,21321,21361,42221
2026-07-19,21329,21329,21296,21320,132427
2026-07-20,21200,21500,21200,21461,1732489
2026-07-21,21680,21691,21650,21691,21224
2026-07-22,21750,21844,21700,21844,195098
2026-07-25,21901,21901,21900,21900,14956
2026-07-26,22300,22530,22100,22530,332073
2026-07-27,22661,22800,22501,22800,22140568
2026-07-28,22700,23010,22700,23010,214405
2026-07-29,23000,23000,22840,23000,17711
2026-08-01,23200,23228,23200,23200,23330
2026-08-02,23450,23680,23450,23680,221042
2026-08-03,24100,24280,24100,24210,907308
2026-08-05,24935,24935,24851,24851,632799
2026-08-08,25330,25590,25330,25541,2101803
2026-08-09,25950,26210,25500,25800,25994114
2026-08-10,25972,26542,25550,26510,1896605
2026-08-11,26830,26850,26500,26750,650899
2026-08-15,26980,27200,26890,27010,1019407
2026-08-16,27050,27358,26800,27358,360597
2026-08-17,27270,27693,27220,27570,3269788
2026-08-18,27480,27550,27450,27450,350671
2026-08-19,27250,27700,27250,27700,95716
2026-08-22,28050,28367,28050,28367,2787466
2026-08-23,28700,28900,28520,28600,1458569
2026-08-24,28800,29099,28790,29099,1832945
2026-08-25,29300,29638,29300,29638,550934
2026-08-26,30050,30280,29790,30258,3180005
2026-08-29,30550,30899,30420,30899,909569
2026-08-31,30700,31230,30650,31229,239280
2026-09-01,31619,31822,30950,30950,1869685
2026-09-02,30770,31240,30770,30770,5193998
2026-09-05,31290,31719,31050,31600,1106406
2026-09-06,31790,31859,31540,31830,1055587
2026-09-07,31752,32710,31752,32710,1616109
2026-09-08,33000,33310,32950,33310,1011530
2026-09-09,33300,33600,33300,33500,387771
2026-09-12,33800,34300,33800,34200,3368099
2026-09-13,34850,34850,34400,34600,1526203
2026-09-14,34560,34610,34200,34480,4125592
2026-09-15,34550,35280,34549,35180,3485456
2026-09-16,35700,35840,34654,35000,3329874
2026-09-19,35101,35101,34201,34390,2756083
2026-09-20,34300,34300,33780,34090,155293
