date,open,high,low,close,volume
2025-11-16,452906,456120,452900,456120,1109
2025-11-17,464999,465294,464999,465294,215000
2025-11-18,457211,457722,456834,456834,212
2025-11-19,459541,465100,459541,465000,128
2025-11-22,473665,473665,472585,472585,333
2025-11-23,463862,478193,463862,478000,256
2025-11-25,480990,486219,478566,485498,2094
2025-11-26,479251,479252,478100,478100,366
2025-11-29,486008,486008,473478,481580,1197
2025-11-30,482013,485998,480000,480000,1179
2025-12-01,487650,487990,484345,486500,3469
2025-12-02,494999,494999,494999,494999,3
2025-12-03,500000,500000,495131,499000,181
2025-12-06,510000,511509,501566,502410,1532
2025-12-07,511095,518351,499755,499850,13188
2025-12-08,509575,510000,508000,510000,2701
2025-12-09,510000,510000,508220,508220,156
2025-12-10,515391,517263,512515,513500,19
2025-12-13,524329,528999,524329,528800,409
2025-12-14,522219,528101,522219,528000,339
2025-12-15,531183,541701,531183,541701,5262
2025-12-16,540324,547850,532910,535130,2560
2025-12-17,541000,544618,540000,540000,653
2025-12-20,549532,558475,549530,557000,17043
2025-12-21,568300,568300,553073,554131,3028
2025-12-22,559737,569909,559737,566030,770
2025-12-23,562039,571698,560610,571698,2295
2025-12-24,581783,581783,576666,581783,33004
2025-12-27,589972,598997,588800,588904,25090
2025-12-28,600000,606753,596593,606000,11711
2025-12-29,609177,609177,588907,594185,9641
2025-12-30,585177,596999,579927,579927,25832
2025-12-31,578548,595530,578548,595530,26945
2026-01-04,600999,600999,574000,580293,3291
2026-01-05,594120,597618,592000,597618,62050
2026-01-06,608752,615202,600200,615202,170571
2026-01-07,626922,631990,625703,631980,33375
2026-01-10,648964,648964,611201,611201,131072
2026-01-11,595325,624999,595325,616000,16990
2026-01-12,613244,631640,613243,631640,21399
2026-01-13,649990,649990,620000,620000,18595
2026-01-14,629159,629159,610395,610395,122908
2026-01-18,611400,623000,611400,620500,3296
2026-01-19,630353,630353,604000,619000,9369
2026-01-20,630990,630990,606000,611810,8334
2026-01-21,628940,628940,610000,619587,3496
2026-01-24,615377,615377,597078,598000,19653
2026-01-25,592816,592816,579317,585000,5411
2026-01-26,563931,579000,563930,563950,4760
2026-01-27,547038,580874,547038,563958,864531
2026-01-28,563366,585065,563365,571100,435230
2026-01-31,600000,600000,570000,570000,435188
2026-02-01,591851,591851,557381,571004,10738
2026-02-02,607714,607715,600001,607608,1241
2026-02-03,607715,620000,607608,612402,5713
2026-02-07,619999,619999,615000,617500,8829
2026-02-08,629980,629980,599584,599584,3367
2026-02-09,585659,610000,585659,593595,7976
2026-02-10,586383,596581,568913,578000,670
2026-02-14,578000,586263,563506,563506,4680
2026-02-15,555320,555323,555319,555319,1108
2026-02-16,571981,571981,548884,548908,3157
2026-02-17,565308,565308,550009,552300,2245
2026-02-18,564994,565000,553193,554540,4489
2026-02-21,548360,548360,547787,547787,13291
2026-02-22,547787,547787,531357,531358,415
2026-02-23,549945,549945,540000,542000,1325
2026-02-24,547297,547297,535600,545995,339
2026-02-25,560890,560890,544126,553999,400
2026-05-19,571954,571954,538638,538638,104403
2026-05-20,532259,551000,532259,550000,31854
2026-05-23,552758,560356,542001,556999,129465
2026-05-24,572437,572437,563030,572437,31848
2026-05-25,589587,589587,589587,589587,7468
2026-05-26,607274,607274,578510,590617,53408
2026-05-30,599999,610580,595101,610580,136421
2026-05-31,625060,625060,625060,625060,85395
2026-06-01,643811,643811,606309,606320,128147
2026-06-02,613999,613999,594749,599510,42525
2026-06-03,579656,596000,579656,580110,42598
2026-06-06,596500,599146,580001,599146,20785
2026-06-07,606561,612979,595259,612979,117733
2026-06-08,593956,618340,593939,614843,74978
2026-06-09,620421,620421,617751,620421,103126
2026-06-10,639033,639033,620425,639033,152029
2026-06-13,657940,657940,657940,657940,101875
2026-06-14,677678,677678,677678,677678,670204
2026-06-15,698008,698008,698008,698008,1204238
2026-06-16,718948,718948,718948,718948,1980805
2026-06-17,735500,735500,697380,716990,664275
2026-06-20,723397,723397,681259,681276,232628
2026-06-21,673950,684035,673930,673930,361699
2026-06-22,695342,695342,674957,689430,69326
2026-06-23,706250,706250,702878,706250,94123
2026-06-27,727285,727285,711984,712160,104255
2026-06-28,698409,720872,698409,706767,64695
2026-06-29,717939,728900,710329,728000,26217
2026-06-30,740000,740000,729957,736500,4501
2026-07-01,730646,746990,730646,746990,34827
2026-07-07,762170,766224,755611,766224,95210
2026-07-08,760297,775800,748217,748555,87445
2026-07-11,750063,778009,749644,777806,31630
2026-07-12,748382,756590,736807,737120,75927
2026-07-13,735919,743166,725271,726099,12457
2026-07-14,750398,750398,730002,732469,6417
2026-07-15,718403,740691,709849,712025,44731
2026-07-18,733486,733486,700609,703897,51607
2026-07-19,703615,717568,700213,706988,13055
2026-07-20,723000,723021,705500,723021,11808
2026-07-21,733480,741696,733480,741696,107548
2026-07-22,754000,754000,719376,724080,25522
2026-07-25,745990,745990,727165,732004,21796
2026-07-26,757000,761861,757000,761861,74176
2026-07-27,766230,766230,750484,753961,40960
2026-07-28,751546,770000,749666,758248,56851
2026-07-29,757579,769890,750631,754611,12733
2026-08-01,754780,769999,745658,750000,5131
2026-08-02,768852,773181,757552,767500,19089
2026-08-03,784259,789202,777500,789202,144852
2026-08-05,812837,812837,812837,812837,134611
2026-08-08,837222,837222,837222,837222,102717
2026-08-09,862330,862330,812106,814129,147042
2026-08-10,813665,838874,813665,838490,16005
2026-08-11,833010,849990,831000,831000,126126
2026-08-15,857170,857170,828309,828822,66270
2026-08-16,828518,846760,828517,828611,132213
2026-08-17,844540,859235,844540,859235,97281
2026-08-18,859209,871110,844854,858318,29921
2026-08-19,871588,871588,842842,869790,29628
2026-08-22,877996,883798,860000,883798,31620
2026-08-23,887549,887886,860840,862352,25038
2026-08-24,861869,888088,861869,872990,46190
2026-08-25,899188,899188,887602,898290,21424
2026-08-26,909999,915759,905430,912400,62617
2026-08-29,934490,935467,919858,935465,38709
2026-08-31,920069,953937,918711,953900,40557
2026-09-01,954524,968164,930001,934814,57068
2026-09-02,920420,949450,920420,939000,15102
2026-09-05,963223,963242,943981,963230,38007
2026-09-06,955632,970680,942001,969595,52551
2026-09-07,970182,994943,970182,994943,133672
2026-09-08,989730,1017737,970001,1017729,93543
2026-09-09,1009955,1016961,989000,1014008,1678351
2026-09-12,1015912,1016600,1007048,1016471,99112
2026-09-13,1036670,1046598,1013102,1032900,45635
2026-09-14,1040989,1040989,1008199,1010945,92640
2026-09-15,1021918,1043883,1019208,1043880,27246
2026-09-16,1055000,1060005,1017756,1044430,32142
2026-09-19,1035501,1052510,1015849,1016323,26819
2026-09-20,1048064,1048064,994612,1004800,112532
