date,open,high,low,close,volume
2025-11-16,21010,21350,20960,21250,5439554
2025-11-17,21590,21590,21000,21130,6092318
2025-11-18,21030,21570,21030,21230,7379620
2025-11-19,21400,21530,21270,21350,4432158
2025-11-22,21600,21750,21440,21640,5650245
2025-11-23,21650,22210,21650,22210,8137488
2025-11-25,22330,22600,22150,22460,3302917
2025-11-26,22460,22510,21920,22030,3143086
2025-11-29,22600,22600,21770,21820,3473971
2025-11-30,21510,22160,21510,22140,3607970
2025-12-01,22290,22640,22290,22430,3139231
2025-12-02,22540,22600,22390,22540,2761478
2025-12-03,22800,23000,22630,23000,28923733
2025-12-06,23070,23570,23070,23500,18342979
2025-12-07,23750,23800,23040,23280,6828693
2025-12-08,23240,23850,23240,23700,1399122
2025-12-09,23690,24150,23690,23900,1097518
2025-12-10,24150,24620,23860,24620,9528933
2025-12-13,25280,25280,24840,24920,10185589
2025-12-14,25190,25220,24360,25030,8194697
2025-12-15,25190,25640,25000,25600,14329073
2025-12-16,25700,26200,25000,25110,7317880
2025-12-17,25530,25860,25480,25710,6551480
2025-12-20,26330,26350,26100,26350,17770715
2025-12-21,27090,27090,26330,26420,14243186
2025-12-22,26820,26930,26270,26470,11914316
2025-12-23,26730,27100,26530,26930,6721875
2025-12-24,27100,27600,27100,27600,13275059
2025-12-27,28300,28380,27850,28380,12073144
2025-12-28,28800,28980,28260,28980,15817760
2025-12-29,29110,29120,27820,27830,13124342
2025-12-30,27270,27270,27270,27270,4683145
2025-12-31,26510,28040,26510,28000,12625679
2026-01-04,27020,27970,26710,27800,12033025
2026-01-05,28210,28240,28190,28240,3829027
2026-01-06,29070,29070,29070,29070,1975729
2026-01-07,29940,29940,29540,29940,16796437
2026-01-10,29040,30140,29040,29040,10129175
2026-01-11,28700,30210,28700,30000,4707249
2026-01-12,30720,30730,30650,30730,7246969
2026-01-13,31610,31610,30140,30380,6818534
2026-01-14,29750,29800,29750,29750,3640728
2026-01-18,29340,30630,29340,30630,9766836
2026-01-19,30650,31200,30630,30740,7719146
2026-01-20,30930,31080,30310,30660,2296198
2026-01-21,30660,30780,30130,30450,3153964
2026-01-24,30180,30300,29540,29540,3559427
2026-01-25,28710,28890,28710,28710,1826097
2026-01-26,27850,27850,27850,27850,1381629
2026-01-27,27020,27020,27020,27020,7530115
2026-01-28,26210,26530,26210,26210,44118360
2026-01-31,25740,26600,25430,25430,22383236
2026-02-01,25110,26380,25110,26380,7055805
2026-02-02,26700,26700,26520,26700,1578240
2026-02-03,27500,27500,27470,27500,3427592
2026-02-07,28320,28320,28320,28320,3103810
2026-02-08,29160,29160,28470,28700,36028093
2026-02-09,28460,28460,28140,28140,5189502
2026-02-10,27350,28380,27350,28120,2270239
2026-02-14,28000,28690,27160,27160,28391839
2026-02-15,26500,27000,26400,26610,2491198
2026-02-16,25780,27000,25780,26560,2982531
2026-02-17,26400,26800,26210,26700,2420540
2026-02-18,26600,27110,26040,26040,762966
2026-02-21,25730,25780,25700,25700,2106247
2026-02-22,24929,24929,24929,24929,3584984
2026-02-23,24929,25575,24929,25540,3578724
2026-02-24,25214,25214,24815,25000,3521608
2026-02-25,24270,25620,24200,25498,3721338
2026-05-19,24239,24239,24239,24239,1350302
2026-05-20,23512,24966,23512,23512,7341206
2026-05-23,24200,24302,24200,24302,8201690
2026-05-24,25031,25031,25031,25031,5208327
2026-05-25,25781,25781,25500,25781,18044346
2026-05-26,26411,26552,25098,26552,18093253
2026-05-30,27190,27239,27185,27239,10481031
2026-05-31,28047,28047,28047,28047,7076601
2026-06-01,28888,28888,28048,28680,29784423
2026-06-02,27845,28706,27845,27905,26875106
2026-06-03,27407,28150,27370,27371,27247722
2026-06-06,27750,28390,27480,28380,12115401
2026-06-07,28697,28923,28483,28923,6726073
