date,open,high,low,close,volume
2025-11-05,12765,12765,12565,12565,1200
2025-11-08,12783,12783,12658,12658,354057
2025-11-09,12404,12562,12385,12562,1528962
2025-11-10,12390,12390,12200,12380,50052
2025-11-11,12321,12370,11953,11953,96866
2025-11-12,12690,12690,12321,12321,21451
2025-11-15,12300,12600,12300,12600,42855
2025-11-17,12781,12781,12674,12674,302927
2025-11-18,12584,12584,12584,12584,118
2025-11-19,12584,12584,12584,12584,140084
2025-11-22,12830,12830,12217,12584,27502
2025-11-23,12808,12808,12707,12807,62126
2025-11-25,12850,13050,12850,13000,299230
2025-11-26,12856,12856,12472,12850,55070
2025-11-29,12800,13090,12800,13090,9508
2025-11-30,12850,12860,12850,12860,7193
2025-12-01,13234,13235,13180,13180,61177
2025-12-02,13180,13350,13180,13230,216690
2025-12-03,13450,13455,13450,13455,76235
2025-12-06,13840,13840,13725,13725,573988
2025-12-07,14142,14142,13320,13449,231473
2025-12-08,13441,13550,13400,13410,93460
2025-12-09,13546,13590,13546,13550,452334
2025-12-10,13660,13800,13660,13800,172711
2025-12-13,13989,13990,13930,13930,253481
2025-12-14,13970,14050,13970,14050,1358362
2025-12-15,14190,14202,14190,14202,17278
2025-12-16,14450,14450,14320,14320,29296
2025-12-17,14120,14300,14100,14100,1128877
2025-12-20,14550,14550,14520,14520,350070
2025-12-21,14521,14521,14521,14521,2909
2025-12-22,14521,14521,14521,14521,1000
2025-12-23,14521,14521,14440,14440,26399
2025-12-24,14850,14850,14730,14730,1343
2025-12-27,15248,15248,15245,15245,1272
2025-12-28,15120,15120,15120,15120,100
2025-12-29,15175,15180,15000,15000,1685054
2025-12-30,14630,14630,14571,14571,27006
2025-12-31,14337,14629,14337,14629,2098
2026-01-04,14190,14190,14190,14190,7298
2026-01-05,14394,14394,14394,14394,2
2026-01-06,14661,14825,14660,14825,165865
2026-01-07,14930,14930,14660,14660,12955
2026-01-10,14740,14740,14335,14335,85424
2026-01-11,14690,15108,14228,14228,359288
2026-01-12,14201,14789,14201,14789,54100
2026-01-13,14515,14699,14372,14699,59056
2026-01-14,14590,14590,14157,14590,111913
2026-01-18,14703,14703,14360,14360,124238
2026-01-20,14491,14491,14490,14490,490
2026-01-21,14924,14924,14580,14580,42343
2026-01-24,14430,14430,14430,14430,12000
2026-01-25,14360,14360,13998,13998,74775
2026-01-26,13579,13579,13579,13579,133829
2026-01-27,13368,13368,13368,13368,56873
2026-01-28,13190,13190,13190,13190,5000
2026-01-31,13190,13380,12795,12795,100266
2026-02-02,13135,13135,13100,13100,100000
2026-02-03,12890,12890,12890,12890,25000
2026-02-07,13276,13276,13276,13276,200
2026-02-08,13130,13130,13000,13000,31055
2026-02-09,12890,12890,12712,12880,75000
2026-02-10,12827,12827,12827,12827,25000
2026-02-14,12827,13211,12827,13211,58100
2026-02-15,12446,12446,12446,12446,25000
2026-02-16,12446,12446,12197,12446,76400
2026-02-17,12550,12550,12550,12550,30000
2026-02-21,12500,12500,12500,12500,25000
2026-02-22,12125,12125,12125,12125,48000
2026-02-24,12025,12025,11900,11900,75000
2026-02-25,12084,12084,12084,12084,25000
2026-05-19,11722,11722,11722,11722,1000
2026-05-20,11371,11371,11371,11371,175000
2026-05-23,11500,11712,11500,11712,1903236
2026-05-24,11907,11907,11907,11907,3355261
2026-05-25,12264,12264,12264,12264,60447
2026-05-26,12505,12505,12190,12470,101706
2026-05-30,12600,12643,12599,12643,3245482
2026-05-31,13022,13022,12905,13022,4182230
2026-06-01,13300,13300,12550,13000,463347
2026-06-02,13000,13100,12889,12889,1985330
2026-06-03,12890,13019,12629,12629,385569
2026-06-06,13142,13142,12413,13100,336715
2026-06-07,12715,13442,12715,13118,1747392
2026-06-08,12665,13199,12664,12664,45419
2026-06-09,13105,13144,13104,13144,1518446
2026-06-10,13538,13538,13538,13538,125900
2026-06-13,13944,13944,13944,13944,75231
2026-06-14,14362,14362,14362,14362,224542
2026-06-15,14792,14792,14792,14792,403000
2026-06-16,15235,15235,15200,15235,1403079
2026-06-17,15691,15691,15500,15691,1581519
2026-06-20,16153,16153,15900,15900,4421165
2026-06-21,15950,16100,15656,15656,162679
2026-06-22,15375,16324,15375,16324,1600498
2026-06-23,15836,15836,15836,15836,229017
2026-06-27,16100,16311,16100,16290,91162
2026-06-28,16325,16500,15774,15774,55663
2026-06-29,16050,16050,15670,15700,62990
2026-06-30,16200,16321,15380,16071,380720
2026-07-01,16100,16100,16000,16100,36050
2026-07-07,16460,16577,16400,16569,136220
2026-07-08,16750,16750,16050,16050,23339
2026-07-11,16350,16350,16028,16028,8064
2026-07-13,15689,15800,15689,15800,2103082
2026-07-14,15219,15219,15219,15219,85530
2026-07-15,14763,14763,14763,14763,3600
2026-07-18,14600,14600,14500,14600,2417
2026-07-19,14559,14559,14400,14400,1633
2026-07-20,14410,14410,14400,14410,1800
2026-07-21,14410,14836,14410,14836,4795
2026-07-22,14600,14600,14600,14600,1625
2026-07-25,14610,14610,14162,14162,30000
2026-07-26,14652,14653,14652,14653,14059
2026-07-27,15086,15086,14990,15000,52813
2026-07-28,15478,15478,14900,14952,13435
2026-08-01,15200,15450,15200,15450,11104
2026-08-02,15887,15887,15887,15887,14976
2026-08-03,16362,16363,15800,15949,637068
2026-08-05,16607,16607,15642,16260,2097540
2026-08-08,16590,16691,16335,16691,832188
2026-08-09,16670,17169,16670,16893,430163
2026-08-10,16790,16800,16500,16660,181164
2026-08-11,16600,16900,16503,16767,924176
2026-08-15,16800,17000,16163,17000,625638
2026-08-16,16500,17334,16500,17300,12418
2026-08-17,17730,17730,17100,17122,904812
2026-08-18,17100,17300,17100,17100,20735
2026-08-19,17498,17498,17104,17104,663396
2026-08-22,17221,17798,17221,17680,148118
2026-08-23,17680,17798,17221,17232,25620
2026-08-24,17789,17980,17571,17571,211586
2026-08-25,17555,18387,17555,18050,82457
2026-08-26,18500,18500,17781,18389,695515
2026-08-29,18000,18678,18000,18431,197701
2026-08-31,18800,18800,18004,18160,31438
