date,open,high,low,close,volume
2025-11-16,56700,57000,56000,57000,313714
2025-11-17,57260,57260,56514,56514,331116
2025-11-18,56753,57125,56621,56755,213859
2025-11-19,56870,57230,56870,57198,442858
2025-11-22,57200,57490,57181,57383,282083
2025-11-23,57335,58290,57334,57800,1652708
2025-11-25,58380,58940,57817,58400,1108450
2025-11-26,58680,58689,57700,57926,835651
2025-11-29,58300,58640,58010,58027,408268
2025-11-30,58194,59145,58102,58888,15814531
2025-12-01,58711,60200,58711,59072,689944
2025-12-02,59800,59800,59201,59326,327808
2025-12-03,59080,59400,59080,59319,1770836
2025-12-06,59301,60400,59301,60220,5725158
2025-12-07,60490,60505,59750,60000,1140223
2025-12-08,60498,60500,60001,60349,138026
2025-12-09,61000,61000,60002,60367,189526
2025-12-10,60300,61670,60300,61104,394917
2025-12-13,61160,62300,61160,61609,510938
2025-12-14,62000,62100,61351,62001,459041
2025-12-15,61890,63400,61890,62950,663792
2025-12-16,63450,63829,61500,61500,1014258
2025-12-17,61602,63400,61602,62521,450021
2025-12-20,63389,64200,62800,64050,1842736
2025-12-21,64670,64670,63401,63983,1671797
2025-12-22,63863,64305,62850,62900,3068551
2025-12-23,63221,64348,63205,64348,1533418
2025-12-24,64999,65768,64760,65768,5388515
2025-12-27,67399,67399,66510,67335,8517275
2025-12-28,67990,68540,66753,68225,3006482
2025-12-29,68478,68478,66700,66860,5163791
2025-12-30,66890,66890,65076,65320,3180417
2025-12-31,64301,67348,64301,67297,623534
2026-01-04,66000,67299,65020,65500,821516
2026-01-05,65700,67646,65700,67646,3284286
2026-01-06,69657,69657,69007,69657,53118103
2026-01-07,70800,70800,68000,68340,19059165
2026-01-10,66609,66609,66609,66609,7575836
2026-01-11,65051,67140,65051,66624,8864870
2026-01-12,66570,68118,66419,67040,3436487
2026-01-13,67298,67609,66800,66800,6311126
2026-01-14,66800,66800,65033,65033,4418667
2026-01-18,65254,67048,65254,66578,1339528
2026-01-19,66574,67950,66574,66700,1969243
2026-01-20,67338,67974,66600,67500,2032769
2026-01-21,68000,69000,67377,69000,917195
2026-01-24,68409,68411,67000,67220,4241978
2026-01-25,66254,66254,65694,65694,2572406
2026-01-26,63760,63770,63760,63760,2100471
2026-01-27,61848,62925,61848,61849,8650467
2026-01-28,60207,62975,60207,62500,2231509
2026-01-31,61688,63320,61200,63320,1788430
2026-02-01,60800,63344,60800,63101,701857
2026-02-02,63433,64000,62600,63880,609808
2026-02-03,63880,63880,62800,63000,777039
2026-02-07,64210,64839,64210,64839,1949956
2026-02-08,64840,66128,64122,64250,1243980
2026-02-09,64200,64700,63248,63300,1717668
2026-02-10,63000,63380,62100,62811,1119115
2026-02-14,63379,64548,60924,61760,1409351
2026-02-15,61300,61585,60772,60772,934411
2026-02-16,60800,61080,60347,61000,464767
2026-02-17,61500,62090,61191,61850,1880598
2026-02-18,62999,62999,60800,61090,471986
2026-02-21,61000,61000,59484,59484,1706971
2026-02-22,59200,59840,58153,58679,1011988
2026-02-23,58550,59990,58550,59180,1382072
2026-02-24,59300,59500,58600,58900,1342176
2026-02-25,58850,60576,58850,60576,147063
2026-05-19,57774,57774,57774,57774,490297
2026-05-20,56041,57497,56041,57051,4200944
2026-05-23,57792,57792,57792,57792,185221
2026-05-24,59525,59525,59525,59525,27427
2026-05-25,61310,61310,61310,61310,83070
2026-05-26,63148,63149,62890,63149,4924630
2026-05-30,65043,65043,65043,65043,1436482
2026-05-31,66994,66994,66994,66994,8559339
2026-06-01,69003,69003,69003,69003,1531139
2026-06-02,71073,71073,69600,70710,12612799
2026-06-03,70962,71388,69500,70401,7576203
2026-06-06,70363,72448,70363,72448,14920752
2026-06-07,73995,74516,72734,74516,13522660
2026-06-08,72157,72157,72157,72157,7901199
2026-06-09,74321,74321,73600,74321,7760480
2026-06-10,76350,76550,74110,76550,11223084
2026-06-13,78491,78491,78491,78491,1537985
2026-06-14,80845,80845,80845,80845,1658542
2026-06-15,83270,83270,83270,83270,1498981
2026-06-16,85768,85768,81040,81720,18053649
2026-06-17,81343,82849,81343,82388,11003127
2026-06-20,84200,84200,80997,82187,17886829
2026-06-21,82000,82169,81200,81300,8593060
2026-06-22,80500,81348,80000,81348,4827965
2026-06-23,82159,82615,81814,82615,2817505
2026-06-27,84981,84981,81001,82124,2896641
2026-06-28,81900,82000,80000,81000,5979034
2026-06-29,81158,82128,81101,81702,636489
2026-06-30,82500,83500,82257,82800,603705
2026-07-01,82692,83800,82692,83700,1182117
2026-07-07,85830,85869,85778,85869,8493904
2026-07-08,85500,86200,84736,85000,11175522
2026-07-11,85000,86500,84601,84847,2550596
2026-07-12,84000,84000,82259,82259,3540300
2026-07-13,80501,81998,80470,81566,7324369
2026-07-14,81500,83197,81450,82848,236990
2026-07-15,82002,82800,82002,82501,247986
2026-07-18,80026,81200,80026,81000,1698084
2026-07-19,78777,82150,78508,81890,709538
2026-07-20,82156,83270,82156,83270,7529304
2026-07-21,83651,85459,83651,85200,2268292
2026-07-22,85700,85700,83649,84000,7874873
2026-07-25,86509,86509,84001,85130,478057
2026-07-26,86886,86886,86481,86886,9297595
2026-07-27,88700,88700,86000,87100,6127084
2026-07-28,87999,88937,86801,88600,1791107
2026-07-29,88999,90554,88700,90397,1837868
2026-08-01,89325,90554,89325,90000,1447414
2026-08-02,92529,92537,91638,92537,5598820
2026-08-03,95100,95307,93110,95307,4653866
2026-08-05,98060,98060,98059,98060,7506724
2026-08-08,101001,101001,100116,101001,6725693
2026-08-09,99002,100996,97969,97972,10050695
2026-08-10,98138,100500,97000,100500,2210086
2026-08-11,100497,100497,98500,98700,1969838
2026-08-15,96710,99880,96710,98829,4242925
2026-08-16,98900,100800,98900,100790,1552689
2026-08-17,101997,103170,101997,102950,1963396
2026-08-18,103885,103885,101100,101500,1793961
2026-08-19,101447,102950,101446,102947,686934
2026-08-22,103100,105411,103100,105411,761573
2026-08-23,105650,107690,105105,105801,615227
2026-08-24,106875,108886,106456,107600,944532
2026-08-25,108881,110000,107058,109889,1204935
2026-08-26,111898,112185,109700,112185,3320856
2026-08-29,113952,113952,110900,111000,1207438
2026-08-31,110300,110603,109000,109728,2366204
2026-09-01,109775,112500,108000,108700,2011575
2026-09-02,106215,109470,106215,107750,1210718
2026-09-05,107007,110111,107007,110111,1429280
2026-09-06,110000,111918,109994,111918,795447
2026-09-07,114701,114702,112600,114702,3173902
2026-09-08,116556,116556,114001,115749,2284142
2026-09-09,114501,115487,113650,115450,1678808
2026-09-12,115720,118244,115720,118244,1488926
2026-09-13,119500,121000,117000,118899,3677703
2026-09-14,121500,121500,116100,116100,4788483
2026-09-15,116100,118779,116100,118630,1462364
2026-09-16,121500,121500,116000,116700,5897345
2026-09-19,116707,117990,115000,115800,3748882
2026-09-20,115000,115600,113500,114800,2773299
