date,open,high,low,close,volume
2025-11-16,39270,39275,39251,39252,128168
2025-11-17,39315,39318,39309,39309,82646
2025-11-18,39360,39366,39360,39360,309151
2025-11-19,39418,40000,39418,39418,7921668
2025-11-22,40171,40171,39473,39473,84188
2025-11-23,39545,39548,39524,39545,219967
2025-11-25,40000,40000,39578,39600,351950
2025-11-26,39638,39640,39637,39638,282518
2025-11-29,39690,39693,39690,39693,1412824
2025-11-30,39746,39746,39742,39746,1387259
2025-12-01,39792,39809,39792,39802,691392
2025-12-02,39864,40000,39861,40000,693357
2025-12-03,39931,39937,39929,39930,7257544
2025-12-06,39965,39997,39958,39997,652502
2025-12-07,40039,40055,40039,40055,2595703
2025-12-08,40101,40101,40088,40088,1532455
2025-12-09,40141,40148,40141,40148,65825
2025-12-10,40193,40209,40193,40202,779523
2025-12-13,40253,40273,40253,40272,175804
2025-12-14,40313,40320,40313,40314,138602
2025-12-15,40365,40379,40365,40371,187609
2025-12-16,40437,40460,40437,40437,1377689
2025-12-17,40497,40518,40496,40518,1252031
2025-12-20,40562,40575,40555,40575,1048332
2025-12-21,40622,40640,40615,40640,2873707
2025-12-22,40676,40708,40676,40707,4170306
2025-12-23,40795,40806,40795,40795,2414951
2025-12-24,40866,40931,40866,40931,1594164
2025-12-27,41116,41140,41116,41117,1662860
2025-12-28,41948,42113,41947,42113,2682651
2025-12-29,42123,42244,42117,42244,2899194
2025-12-30,42308,42312,42288,42289,1218112
2025-12-31,42376,42377,42361,42361,951788
2026-01-04,42425,42436,42424,42426,6044655
2026-01-05,42483,42533,42483,42512,22607435
2026-01-06,42589,42616,42578,42595,1634834
2026-01-07,42677,42677,42661,42661,2636378
2026-01-10,42716,42723,42716,42717,3580231
2026-01-11,42774,42775,42768,42768,8269639
2026-01-12,42844,42844,42832,42832,10055651
2026-01-13,42890,42899,42890,42899,11860395
2026-01-14,42952,42952,42943,42950,2553360
2026-01-18,43019,43019,43005,43017,4764106
2026-01-19,43092,43123,43092,43123,10288629
2026-01-20,43188,43189,43176,43178,15315599
2026-01-21,43226,43234,43226,43226,1144549
2026-01-24,43295,43307,43295,43307,1324283
2026-01-25,43344,43352,43344,43344,3756419
2026-01-26,43418,43419,43411,43411,477149
2026-01-27,43476,43484,43475,43476,4482522
2026-01-28,43542,43542,43535,43535,1623229
2026-01-31,43585,43593,43584,43593,3609817
2026-02-01,43630,43638,43630,43638,4795717
2026-02-02,43683,43691,43682,43683,9097483
2026-02-03,43745,43745,43737,43737,727917
2026-02-07,43815,43830,43814,43814,682210
2026-02-08,43871,43879,43871,43878,898634
2026-02-09,43932,43939,43931,43932,4790976
2026-02-10,43971,43996,43971,43989,5009153
2026-02-14,44065,44068,44055,44067,1120683
2026-02-15,44119,44127,44119,44119,212231
2026-02-16,44167,44174,44167,44167,552307
2026-02-17,44222,44223,44215,44216,200877
2026-02-18,44278,44286,44278,44286,78547
2026-02-21,44344,44346,44338,44342,1733912
2026-02-22,44401,44409,44401,44409,759097
2026-02-23,44473,44473,44464,44470,543797
2026-02-24,44524,44532,44523,44532,3710991
2026-02-25,44589,44594,44582,44586,7007080
2026-05-19,43247,43581,43247,43575,3493951
2026-05-20,43373,43579,43373,43373,336349
2026-05-23,43461,44660,43461,44659,800156
2026-05-24,44517,45681,44517,45681,1948773
2026-05-25,46929,46929,45605,46401,8175957
2026-05-26,47000,47000,46201,46288,14536034
2026-05-30,48339,48339,47000,47850,776873
2026-05-31,49022,49259,48158,48990,1947297
2026-06-01,48131,48899,48082,48520,2565662
2026-06-02,49435,49435,48598,49080,1892952
2026-06-03,47420,49009,47420,48521,425682
2026-06-06,49399,49399,48500,49390,12674041
2026-06-07,49101,50000,49100,49615,221369
2026-06-08,48521,48950,48300,48730,1142524
2026-06-09,49940,49940,49311,49940,896564
2026-06-10,50020,50020,49501,49739,274186
2026-06-13,51121,51121,51097,51121,1896554
2026-06-14,51188,52500,51188,51999,951260
2026-06-15,53772,53772,52710,53754,2383698
2026-06-16,54300,54500,51488,51491,1398688
2026-06-17,50703,51000,50700,50748,587509
2026-06-20,50750,51056,50600,50999,341031
2026-06-21,50800,51087,50550,50550,280381
2026-06-22,50601,51499,49901,51498,360277
2026-06-23,50502,50970,50500,50894,13582
2026-06-27,50894,51020,50500,51000,696574
2026-06-28,50951,51990,50505,51040,57543
2026-06-29,51250,51950,51120,51597,53308
2026-06-30,52000,52100,51310,52000,119393
2026-07-01,52990,52990,52157,52200,136931
2026-07-07,52200,52890,52116,52839,83578
2026-07-08,52022,52900,51902,51904,54183
2026-07-11,51205,52499,51205,52389,48619
2026-07-12,51000,51000,50157,50157,338636
2026-07-13,50300,51199,50300,51199,482655
2026-07-14,50271,51230,50245,50799,324311
2026-07-15,50300,50999,50200,50985,362580
2026-07-18,49250,50098,49220,49220,104262
2026-07-19,49235,49980,49221,49799,326911
2026-07-20,50003,50797,49950,50491,591772
2026-07-21,50126,51096,50125,50988,73240
2026-07-22,51105,51500,50300,50900,101691
2026-07-25,50611,50611,50523,50600,98008
2026-07-26,51100,51901,50600,51900,183508
2026-07-27,52001,52850,51827,52499,74238
2026-07-28,51901,52800,51901,52031,73886
2026-07-29,53499,53500,51502,51502,57298
2026-08-01,51710,52495,51710,52180,33759
2026-08-02,51900,52873,51900,52700,5137750
2026-08-03,52707,53440,52706,52876,142172
2026-08-05,53203,54465,53203,53800,44726
2026-08-08,54667,54803,54500,54803,201821
2026-08-09,54800,54800,54200,54730,104889
2026-08-10,54796,54796,54101,54697,27283
2026-08-11,54787,55459,54704,54899,99391
2026-08-15,56363,56363,55003,55294,125438
2026-08-16,56199,56199,55250,55799,377194
2026-08-17,55950,56470,55650,56200,83957
2026-08-18,56050,56978,55800,56647,89374
2026-08-19,56075,56699,56075,56400,97107
2026-08-22,57160,57798,57150,57260,190995
2026-08-23,58240,58240,56800,57000,1637154
2026-08-24,57000,57939,56920,57549,424398
2026-08-25,57801,58900,57800,58032,890694
2026-08-26,59469,59500,58603,59100,495815
2026-08-29,59200,59589,59200,59537,103296
2026-08-31,59000,60300,59000,60199,200474
2026-09-01,60999,61200,60450,60450,1223917
2026-09-02,59301,60799,59301,59540,118388
2026-09-05,60600,60950,60002,60250,293351
2026-09-06,62200,62209,60410,61999,3360166
2026-09-07,62899,62899,62550,62790,230711
2026-09-08,62897,64588,62570,63299,544112
2026-09-09,63500,64550,63000,64495,6169703
2026-09-12,63489,64800,63489,64700,1328195
2026-09-13,65768,65768,64338,64608,542418
2026-09-14,65999,65999,63800,64666,324340
2026-09-15,65890,65890,64350,64390,182566
2026-09-16,64215,65980,64000,64789,469829
2026-09-19,63600,63602,62750,62752,242754
2026-09-20,64400,64400,62250,62280,329083
