date,open,high,low,close,volume
2025-10-28,12910,13200,12910,13140,1901608
2025-10-29,13150,13280,13150,13280,2150
2025-11-01,13450,13450,13290,13290,98252
2025-11-02,13390,13390,13350,13350,14790
2025-11-03,13430,13430,13300,13300,210018
2025-11-04,13450,13450,13300,13300,97375
2025-11-09,13150,13150,12920,12920,48256
2025-11-10,12950,12950,12950,12950,1895
2025-11-15,12570,13000,12570,13000,11434
2025-11-16,13170,13170,13170,13170,463
2025-11-17,13200,13200,13100,13150,1596216
2025-11-18,13190,13200,13190,13200,1000
2025-11-22,13110,13110,13110,13110,384
2025-11-23,13100,13210,13100,13200,2119
2025-11-25,13250,13250,13250,13250,100
2025-11-26,13400,13400,13400,13400,160
2025-11-29,13400,13400,13180,13180,21101
2025-11-30,13150,13150,13150,13150,18720
2025-12-01,13200,13200,13200,13200,11
2025-12-03,13320,13500,12810,13500,22000920
2025-12-06,13450,13450,13450,13450,92
2025-12-07,13120,13450,13120,13450,4159
2025-12-08,13500,13580,13500,13580,49000
2025-12-09,13620,13620,13580,13580,96000
2025-12-10,13610,13610,13610,13610,96000
2025-12-13,13650,13660,13650,13660,291623
2025-12-14,13270,13770,13270,13770,83464
2025-12-15,13760,13900,13760,13890,3766
2025-12-16,13910,13910,13810,13910,55265
2025-12-17,13840,13900,13810,13900,128855
2025-12-20,13860,13910,13860,13910,2153781
2025-12-21,13800,13840,13800,13820,86679
2025-12-22,13900,13900,13850,13850,5732
2025-12-23,13830,13900,13480,13900,584560
2025-12-24,13890,14000,13890,13950,477310
2025-12-27,13960,14050,13950,13960,25039
2025-12-28,14150,14160,14020,14100,158179
2025-12-29,14040,14100,13800,14100,49187
2025-12-30,14050,14090,13930,13930,1209555
2025-12-31,14070,14070,14050,14050,593546
2026-01-04,14090,14090,14000,14000,35911
2026-01-05,14100,14100,14000,14000,10731
2026-01-06,14200,14200,14000,14000,21927
2026-01-07,14040,14080,14040,14040,6856
2026-01-10,14050,14050,14050,14050,32000
2026-01-12,14080,14090,14080,14080,1779
2026-01-13,14100,14100,14050,14050,5873
