date,open,high,low,close,volume
2025-11-16,12760,12760,12760,12760,17436
2025-11-17,12965,12965,12860,12860,135600
2025-11-18,12890,12890,12880,12880,15935
2025-11-19,12940,12945,12940,12945,3352
2025-11-22,13030,13030,13030,13030,300
2025-11-23,13190,13280,13190,13280,11569
2025-11-25,13490,13595,13490,13595,1195
2025-11-26,13780,13780,13420,13420,10925
2025-11-29,13575,13575,13420,13420,71050
2025-11-30,13530,13600,13530,13600,91610
2025-12-01,13610,13790,13610,13740,53203
2025-12-02,13840,13988,13840,13988,36298
2025-12-03,13980,14030,13980,14030,20800
2025-12-06,14280,14370,14280,14291,51278
2025-12-07,14570,14695,14280,14280,5003692
2025-12-08,14325,14330,14320,14330,35992
2025-12-09,14450,14630,14450,14630,6440
2025-12-10,14560,14611,14560,14585,1032480
2025-12-13,14792,14880,14790,14860,225635
2025-12-14,14960,15010,14890,15000,3506275
2025-12-15,15120,15240,15120,15240,305040
2025-12-16,15242,15617,15140,15140,175578
2025-12-17,15760,15760,15500,15760,3220166
2025-12-20,15600,15800,15600,15799,121491
2025-12-21,15920,16262,15710,16262,6409430
2025-12-22,16070,16091,16041,16041,357807
2025-12-23,16085,16298,16080,16280,1873970
2025-12-24,16500,16657,16480,16657,19593424
2025-12-27,16820,16993,16820,16992,265756
2025-12-28,17345,17346,16864,17346,632799
2025-12-29,17400,17400,16980,17367,326089
2025-12-30,17560,17560,16680,16690,225122
2025-12-31,16910,17101,16900,17100,9989935
2026-01-04,17065,17499,16582,17265,20959899
2026-01-05,17520,17726,17480,17726,267992
2026-01-06,18233,18233,18005,18233,1393568
2026-01-07,18715,18715,18220,18715,571476
2026-01-10,18029,18715,18029,18328,103773
2026-01-11,18310,18360,18240,18330,11733602
2026-01-12,18361,18834,18361,18751,3431973
2026-01-13,18675,18935,18550,18835,762213
2026-01-14,18517,18867,18222,18400,1550080
2026-01-18,18622,18712,18510,18580,6898101
2026-01-19,18895,19091,18885,18960,1079586
2026-01-20,18770,19382,18770,19132,398961
2026-01-21,19000,19319,19000,19319,1150862
2026-01-24,19319,19319,18592,18592,124075
2026-01-25,18352,18352,18039,18039,129727
2026-01-26,17916,17916,17505,17505,2055670
2026-01-27,16981,16981,16981,16981,4286209
2026-01-28,17050,17235,16472,17040,3413217
2026-01-31,17070,17070,16531,16531,1745701
2026-02-01,16531,16713,16423,16578,927637
2026-02-02,16760,16785,16730,16785,123302
2026-02-03,16630,16630,16480,16590,5113190
2026-02-07,16969,17086,16969,17086,111345
2026-02-08,17183,17338,16710,16740,838899
2026-02-09,16635,16640,16620,16620,61772
2026-02-10,16700,16800,16550,16800,54081
2026-02-14,16280,16280,16160,16160,60221
2026-02-15,15980,15990,15940,15940,3996722
2026-02-16,15980,16140,15980,16140,13059
2026-02-17,15800,15930,15800,15930,5752
2026-02-18,16354,16354,15590,15610,11920913
2026-02-21,15622,15622,15372,15372,301108
2026-02-22,15012,15445,15012,15445,5547
2026-02-23,15220,15220,15120,15130,457390
2026-02-24,15173,15303,15000,15303,100824
2026-02-25,15344,15344,15280,15280,282
2026-05-19,14840,15260,14840,15000,452285
2026-05-20,15290,15290,15290,15290,2592
2026-05-23,15747,15748,15740,15748,209863
2026-05-24,15846,16214,15846,16214,2610019
2026-05-25,16700,16700,16700,16700,182567
2026-05-26,17187,17201,17112,17201,2293894
