date,open,high,low,close,volume
2025-11-16,21200,21200,20801,21075,63453
2025-11-17,21154,21301,21154,21259,21814
2025-11-18,21003,21100,21000,21000,19959
2025-11-19,21300,21300,21055,21200,1874
2025-11-22,21100,21400,21100,21140,4750
2025-11-23,21290,21527,21290,21498,8329
2025-11-25,21999,22003,21951,22003,64752
2025-11-26,21622,21722,21622,21718,6048
2025-11-29,22000,22000,21402,21402,10034548
2025-11-30,21282,21600,21280,21499,29911
2025-12-01,21404,22000,21404,21801,13113383
2025-12-02,21800,22299,21800,22000,37095
2025-12-03,21870,22246,21823,22050,24584
2025-12-06,21904,22398,21904,22398,17068
2025-12-07,22499,22499,22003,22460,30513
2025-12-08,22499,22500,22171,22171,24825
2025-12-09,22430,22580,22430,22450,12911
2025-12-10,22480,22900,22480,22720,18021
2025-12-13,22230,23313,22230,23190,1483
2025-12-14,22905,23110,22795,23110,880463
2025-12-15,23232,23600,23202,23390,35534
2025-12-16,23554,23764,23338,23600,831645
2025-12-17,23074,23899,23043,23899,3741695
2025-12-20,23892,23980,23750,23800,2844989
2025-12-21,23899,24040,23602,23602,150756
2025-12-22,23880,24107,23552,23650,66057
2025-12-23,23684,23999,23684,23990,68576
2025-12-24,23999,24633,23999,24633,171659
2025-12-27,24633,25033,24601,24602,118291
2025-12-28,25036,25227,24800,25020,321970
2025-12-29,25300,25300,24523,24600,2110772
2025-12-30,24309,24310,24305,24309,95731
2025-12-31,23950,24309,23950,24020,411730
2026-01-04,24176,24310,23451,23585,392838
2026-01-05,24186,24186,23651,24169,3217046
2026-01-06,24640,24647,24523,24647,2755071
2026-01-07,24805,24902,24001,24400,656000
2026-01-10,23861,23863,23861,23861,437847
2026-01-11,23854,24200,23500,23651,228043
2026-01-12,23651,24100,23651,23900,207008
2026-01-13,24200,24500,23930,23930,485736
2026-01-14,23914,24000,23485,23485,418730
2026-01-18,23704,24051,23702,23981,60759
2026-01-19,24100,24489,23981,24310,96836
2026-01-20,24166,24699,23540,24350,217601
2026-01-21,24376,24790,24344,24780,40456
2026-01-24,24854,24854,24261,24300,48745
2026-01-25,24286,24500,23727,23731,96294
2026-01-26,23724,23724,23253,23253,10207
2026-01-27,22960,23490,22960,23330,6862
2026-01-28,22890,23150,22885,22950,321583
2026-01-31,22854,22904,22605,22605,7090
2026-02-01,22464,22999,22460,22999,42445
2026-02-02,23127,23127,22701,22710,13043
2026-02-03,23120,23138,22603,22603,30544
2026-02-07,22970,23518,22970,23518,175901
2026-02-08,23005,23430,22904,23430,33843
2026-02-09,23380,23380,22830,23100,17129
2026-02-10,23395,23395,22804,22870,57079
2026-02-14,23399,23417,22991,22991,48424
2026-02-15,22605,22607,22539,22600,75715
2026-02-16,21910,21921,21910,21915,18500
2026-02-17,21931,22394,21930,22394,84994
2026-02-18,22999,23037,22000,22000,26413
2026-02-21,22499,22500,22221,22222,68415
2026-02-22,21590,21990,21586,21587,126508
2026-02-23,21500,21504,21000,21052,60967
2026-02-24,20980,20980,20900,20900,22700
2026-02-25,21050,21050,20971,20971,14000
2026-05-19,20403,20404,20403,20403,79496
2026-05-20,19793,20600,19793,20500,3276
2026-05-23,21151,21151,21151,21151,499053
2026-05-24,21785,21785,21785,21785,46036
2026-05-25,22438,22438,22187,22250,793530
2026-05-26,23047,23047,23000,23047,608549
2026-05-30,23737,23737,23737,23737,1295232
2026-05-31,24449,24449,24449,24449,1134107
2026-06-01,24451,24501,23716,23716,877054
2026-06-02,23400,23970,23079,23500,1469671
2026-06-03,23895,23895,22708,22708,1034051
2026-06-06,22278,23448,22278,23100,499664
2026-06-07,23245,23250,23239,23250,61523
2026-06-08,22550,22800,22550,22550,71461
2026-06-09,23239,23240,22930,23240,102196
2026-06-10,23232,23927,23232,23927,344465
2026-06-13,24621,24621,24621,24621,852297
2026-06-14,25359,25359,25359,25359,1233925
2026-06-15,26119,26119,26119,26119,14544243
2026-06-16,26902,26902,25810,25920,5474173
2026-06-17,25520,26542,25520,26541,1584373
2026-06-20,26880,26900,25800,26390,1127389
2026-06-21,26150,26549,26100,26150,397485
2026-06-22,26000,26000,25700,26000,219171
2026-06-23,26649,26649,26100,26181,107158
2026-06-27,26225,26500,26100,26180,110442
2026-06-28,25406,26356,25406,26199,3432
2026-06-29,25250,26198,25250,26198,19929
2026-06-30,26392,26392,26000,26389,263644
2026-07-01,26700,26998,26700,26800,5022657
2026-07-07,26800,27553,26800,27553,233900
2026-07-08,28333,28333,27100,27100,243070
2026-07-11,26480,28089,26480,27150,3625906
2026-07-12,26676,26676,26674,26674,31162
2026-07-13,27474,27474,25883,25889,12230
2026-07-14,25881,25999,25876,25920,444596
