date,open,high,low,close,volume
2026-06-07,43004,44000,42950,43300,33264005
2026-06-08,41778,42999,41778,41778,13433826
2026-06-09,43038,43038,43038,43038,15271731
2026-06-10,44329,44329,44329,44329,9383947
2026-06-13,45658,45658,45658,45658,739569
2026-06-14,47027,47027,47027,47027,7260920
2026-06-15,48437,48437,48437,48437,2443647
2026-06-16,49890,49890,48500,49890,27065690
2026-06-17,50000,51100,48155,50125,5316940
2026-06-20,50550,50550,47610,47610,8183718
2026-06-21,47003,49150,46467,46467,4013021
2026-06-22,45140,46400,45140,45990,2041851
2026-06-23,46788,46799,46778,46799,2208453
2026-06-27,48202,48202,46807,47135,633446
2026-06-28,46100,48900,46090,46307,2160298
2026-06-29,44900,47590,44900,47200,2413675
2026-06-30,45553,48011,45553,48011,2666243
2026-07-01,48940,49299,47000,49161,8218511
2026-07-07,50551,50551,48800,50230,12139725
2026-07-08,48501,49969,48492,48492,6452772
2026-07-11,47683,49200,47683,48990,2182799
2026-07-12,46372,46889,46372,46748,1636002
2026-07-13,45002,46768,44983,46003,2409597
2026-07-14,46289,47674,46284,46978,7422252
2026-07-15,46200,48000,46200,47200,431231
2026-07-18,46000,47000,45866,45940,2878646
2026-07-19,45000,46997,44985,46630,525366
2026-07-20,46627,47765,46627,47765,1370108
2026-07-21,49101,49102,48000,49102,192178
2026-07-22,50534,50534,49065,49987,8258626
2026-07-25,50000,51099,49067,49777,299285
2026-07-26,50500,51463,50500,51463,4756590
2026-07-27,53006,53006,50502,51080,13349944
2026-07-28,51755,51999,50500,51557,602561
2026-07-29,49924,51300,49919,51075,2684683
2026-08-01,50882,52350,50030,51000,1147210
2026-08-02,52388,52388,51300,52388,2069680
2026-08-03,53791,53791,52389,53791,4941194
2026-08-05,55398,55398,55398,55398,2691086
2026-08-08,57059,57059,55413,57059,1994960
2026-08-09,58763,58763,55342,56200,2714618
2026-08-10,54710,57400,54710,57000,7627508
2026-08-11,57001,57964,56280,57100,521221
2026-08-15,57100,57100,56101,56796,3716168
2026-08-16,54752,57495,54752,56912,1358171
2026-08-17,56915,58416,56915,58399,2316733
2026-08-18,58416,58440,57500,58000,673566
2026-08-19,57550,58735,56438,58735,229525
2026-08-22,58402,60153,58402,59860,561916
2026-08-23,59911,61690,58401,59800,5169721
2026-08-24,58770,61665,58770,60170,766960
2026-08-25,62100,62100,60302,61788,4373344
2026-08-26,61788,63308,61610,63308,8222551
2026-08-29,63120,64218,63120,63315,3621231
2026-08-31,62010,63720,62010,63231,1479168
2026-09-01,64799,65000,61390,62200,2997092
2026-09-02,61601,62500,61600,62200,2053572
2026-09-05,60702,63742,60702,63740,1489086
2026-09-06,63760,64800,63759,64574,1189441
2026-09-07,65001,66233,65001,66233,1424111
2026-09-08,68137,68141,67200,68141,3134356
2026-09-09,67201,68250,66233,67809,2553113
2026-09-12,67814,69839,67814,69839,2118608
2026-09-13,69931,71695,68000,71499,5764854
2026-09-14,72800,72800,68965,70334,931038
2026-09-15,70000,72457,69601,72457,3154056
2026-09-16,74000,74000,70650,72100,1263022
2026-09-19,73800,73800,69558,69558,1199043
2026-09-20,67760,69849,67758,69274,1200680
