date,open,high,low,close,volume
2026-05-23,9825,9826,9824,9825,884758
2026-05-24,9858,10119,9857,10119,2571867
2026-05-25,10245,10245,10227,10245,12315671
2026-05-26,10549,10551,10488,10551,10851421
2026-05-30,10860,10860,10859,10860,1171878
2026-05-31,10926,11185,10926,11185,1235763
2026-06-01,11511,11511,10850,11339,2512881
2026-06-02,11418,11638,11390,11464,576782
2026-06-03,11530,11750,11530,11530,377698
2026-06-06,11583,11878,11572,11656,904994
2026-06-07,11961,11961,11879,11887,138710
2026-06-08,11526,11776,11526,11700,2004561
2026-06-09,11702,11958,11702,11958,9407630
2026-06-10,12303,12303,12026,12229,3691205
2026-06-13,12594,12594,12430,12594,4298523
2026-06-14,12949,12954,12949,12954,3386616
2026-06-15,13342,13342,13342,13342,1324899
2026-06-16,13741,13742,13032,13100,3548976
2026-06-17,13442,13569,13060,13310,2420900
2026-06-20,13716,13799,13160,13500,2790323
2026-06-21,13560,13560,13278,13278,2673450
2026-06-22,13410,13410,12979,13222,745607
2026-06-23,13602,13602,13355,13510,678877
2026-06-27,13626,13626,13482,13482,1386128
2026-06-28,13425,13425,13217,13217,721812
2026-06-29,13221,13500,13221,13500,415100
2026-06-30,13272,13599,13272,13390,1241357
2026-07-01,13465,13791,13465,13790,207572
2026-07-07,13700,13952,13700,13952,915836
2026-07-08,13854,14200,13788,14097,1014507
2026-07-12,13610,13610,13610,13610,150000
2026-07-13,14018,14018,14018,14018,1169
2026-07-14,13599,13599,13598,13598,91435
2026-07-15,13200,13201,13198,13198,1051993
2026-07-18,12807,12807,12805,12805,900000
2026-07-19,12700,12810,12670,12810,378251
2026-07-20,13000,13028,13000,13028,214000
2026-07-21,13030,13305,13030,13305,224646
2026-07-22,13451,13451,13448,13451,26436091
2026-07-25,13585,13770,13585,13770,369867
2026-07-26,13750,14095,13686,13771,1614139
2026-07-27,13933,14230,13933,14230,318964
2026-07-28,14330,14330,14330,14330,116505
2026-07-29,14331,14340,14250,14339,694019
2026-08-01,14009,14010,14009,14009,218906
2026-08-02,14200,14220,14130,14220,586969
2026-08-03,14550,14583,14550,14583,318261
2026-08-05,14935,15013,14888,15011,488903
2026-08-08,15368,15368,15366,15366,1541211
2026-08-09,15741,15741,15450,15590,1719770
2026-08-10,15360,15799,15360,15581,421197
2026-08-11,15835,15856,15835,15856,122246
2026-08-15,16045,16119,16007,16007,403691
2026-08-16,15613,15800,15612,15800,4591800
2026-08-17,16030,16155,16020,16153,2722285
2026-08-18,16400,16400,16100,16100,2588884
2026-08-19,16039,16210,16031,16210,982384
2026-08-22,16250,16558,16250,16558,447224
2026-08-23,16900,17010,16764,16780,318046
2026-08-24,16520,16862,16520,16862,677466
2026-08-25,17163,17163,17160,17162,201732
2026-08-26,17424,17676,17424,17572,293312
2026-08-29,17610,17770,17610,17621,89339
2026-08-31,17850,18100,17850,18100,339551
2026-09-01,18190,18370,17590,17590,1179306
2026-09-02,17281,17410,17280,17410,1219827
2026-09-05,17760,17854,17580,17583,965236
2026-09-06,18098,18195,18080,18098,312771
2026-09-07,18416,18660,18416,18660,16810579
2026-09-08,19101,19117,19051,19097,1543351
2026-09-09,19241,19660,19241,19660,520876
2026-09-12,19800,19900,19620,19800,1374087
2026-09-13,20392,20392,20101,20392,6134753
2026-09-14,20401,20401,20011,20265,674454
2026-09-15,20400,20600,20400,20600,222179
2026-09-16,20600,20898,20220,20220,6738036
2026-09-19,20390,20390,19673,19673,685270
2026-09-20,19450,19450,19420,19420,1181895
