date,open,high,low,close,volume
2025-11-16,216990,222390,215004,222170,974892
2025-11-17,222555,223245,220001,220879,1490002
2025-11-18,218000,222200,218000,219922,288318
2025-11-19,219940,220500,218103,219900,420367
2025-11-22,219929,221900,216505,220700,474530
2025-11-23,222070,225980,218514,225955,966186
2025-11-25,226530,230500,224900,228377,1453502
2025-11-26,228377,229797,223725,224400,895149
2025-11-29,223860,226498,223005,223978,1000889
2025-11-30,223005,226998,222000,226995,472862
2025-12-01,224990,231498,224990,229500,1040624
2025-12-02,229649,231300,226871,229400,667764
2025-12-03,231150,234950,228373,233399,1598646
2025-12-06,234999,239865,234998,239865,1543545
2025-12-07,244590,244590,235000,237000,1683288
2025-12-08,237990,240945,236363,240886,2034519
2025-12-09,241495,243999,240890,241402,695508
2025-12-10,240200,248500,240199,247260,1388240
2025-12-13,248952,252100,248952,251997,2182178
2025-12-14,253000,253849,246724,252791,2431033
2025-12-15,253852,259780,252506,257190,5275473
2025-12-16,257070,260700,250100,251000,1612521
2025-12-17,251012,255900,250984,255540,1303999
2025-12-20,258850,261428,258833,261428,2861884
2025-12-21,269199,269199,263000,264299,3906139
2025-12-22,267640,267640,259736,262002,1288788
2025-12-23,263290,268000,260002,267736,1973699
2025-12-24,269000,273185,269000,273185,1448656
2025-12-27,280992,280992,277690,280992,5030883
2025-12-28,287999,287999,280897,286000,4501902
2025-12-29,288125,288125,276190,279050,4269943
2025-12-30,271458,275000,271458,271458,2415704
2025-12-31,263325,279613,263325,279613,3371278
2026-01-04,279907,282728,270025,275001,3338209
2026-01-05,282173,282173,275100,282173,1710822
2026-01-06,290512,290512,290512,290512,950226
2026-01-07,299227,299227,293333,299227,14721411
2026-01-10,288350,297611,288350,288350,2909504
2026-01-11,283510,293590,283510,292500,2593707
2026-01-12,295823,298516,290620,298516,4327215
2026-01-13,306000,306000,289493,289804,2977791
2026-01-14,283530,285000,283513,283513,1937221
2026-01-18,283550,291798,283550,290389,2310513
2026-01-19,290880,293634,283514,289200,2053141
2026-01-20,289200,293389,285000,289100,1489856
2026-01-21,290000,294887,288012,294400,1269144
2026-01-24,284021,290000,283835,283835,3100402
2026-01-25,276216,276216,276216,276216,1169230
2026-01-26,267930,267930,267930,267930,165291
2026-01-27,259893,259893,259893,259893,1972795
2026-01-28,252097,256999,252097,252103,7622583
2026-01-31,252790,257892,245198,245198,4207534
2026-02-01,245790,258645,245790,257221,5002032
2026-02-02,259893,263751,256500,263751,2183184
2026-02-03,269720,269720,260528,265989,3131729
2026-02-07,273092,273092,269010,273092,1571753
2026-02-08,279546,279579,271002,271057,5689266
2026-02-09,270000,271057,265597,265597,3072341
2026-02-10,258851,268998,258851,267210,3516389
2026-02-14,268005,272578,263510,263530,1032974
2026-02-15,267000,267000,259090,260690,586039
2026-02-16,262410,264900,254876,264900,922381
2026-02-17,268480,268480,261640,264200,579506
2026-02-18,265999,271000,261000,266900,2407719
2026-02-21,257957,257957,257957,257957,688678
2026-02-22,250221,251996,250219,251111,1196217
2026-02-23,255374,258039,253000,258036,1886103
2026-02-24,252010,257217,251100,253880,341336
2026-02-25,257900,260000,249302,259950,958946
2026-05-19,250986,250986,250986,250986,1078826
2026-05-20,243457,249788,243457,247830,9044744
2026-05-23,251548,251548,247000,251548,4793690
2026-05-24,259035,259035,259035,259035,3097338
2026-05-25,266806,266806,266806,266806,5489603
2026-05-26,274800,274810,265000,274810,11135705
2026-05-30,282560,282560,282560,282560,2240807
2026-05-31,291036,291036,291036,291036,2169558
2026-06-01,299767,299767,292007,299767,12638966
2026-06-02,299000,308397,290433,307481,14045771
2026-06-03,311000,311000,293894,298000,5578505
2026-06-06,299900,309261,294785,309261,7788427
2026-06-07,314041,314041,314041,314041,2925354
2026-06-08,304620,307000,304620,304620,6165105
2026-06-09,313761,313761,313761,313761,3661968
2026-06-10,323173,323173,323173,323173,7548864
2026-06-13,332868,332868,332868,332868,1195121
2026-06-14,342854,342854,342854,342854,1188922
2026-06-15,353139,353139,353139,353139,875131
2026-06-16,363733,363733,363733,363733,11871114
2026-06-17,373500,374644,352822,374644,12069023
2026-06-20,380000,380000,359339,359339,4411296
2026-06-21,353640,358000,353630,353630,4217275
2026-06-22,343029,347020,343029,345960,4988262
2026-06-23,344369,353636,344369,353636,7794992
2026-06-27,353404,354904,343338,347501,3340112
2026-06-28,339006,345000,339006,339006,3658941
2026-06-29,330001,344904,330001,343298,2863202
2026-06-30,344870,351064,340001,351064,2792725
2026-07-01,351050,359899,345001,359100,1389839
2026-07-07,367151,367151,363600,367151,1780875
2026-07-08,357000,369100,356128,356128,3904611
2026-07-11,353198,356128,353198,353327,3469615
2026-07-12,342637,342637,342637,342637,1524494
2026-07-13,332358,336548,332358,334380,4385310
2026-07-14,322716,337947,322716,337299,5404929
2026-07-15,337299,341340,337299,338500,2021340
2026-07-18,329006,334000,329005,331775,4154292
2026-07-19,321888,340938,321888,340938,1086420
2026-07-20,345117,345117,341219,345117,2424211
2026-07-21,354998,355253,350005,355253,260005
2026-07-22,365745,365745,355090,359200,2318116
2026-07-25,367300,367300,356783,361988,1694809
2026-07-26,372016,372016,372016,372016,2777457
2026-07-27,383176,383176,372201,376498,11392282
2026-07-28,374000,378986,369608,369608,12625730
2026-07-29,363440,371899,363440,369003,4287486
2026-08-01,358194,367000,358194,358501,2506196
2026-08-02,373766,373766,370016,373766,3734709
2026-08-03,384689,384689,384689,384689,680764
2026-08-05,396229,396229,396229,396229,2247648
2026-08-08,408115,408115,408115,408115,361424
2026-08-09,420358,420358,407250,415600,5836820
2026-08-10,415870,424242,407557,424100,5107722
2026-08-11,424200,424200,416653,417475,2990393
2026-08-15,417000,419990,412001,415140,4816027
2026-08-16,415140,425000,413500,424799,2160059
2026-08-17,427141,433061,426006,433061,2725394
2026-08-18,432000,439988,426900,426912,2255132
2026-08-19,420600,435052,420600,432234,1671486
2026-08-22,435200,444000,435200,444000,2115197
2026-08-23,449000,451637,435001,440401,2749783
2026-08-24,440888,449990,435020,443499,1473466
2026-08-25,448000,458467,443224,458467,1773754
2026-08-26,468500,469693,464005,469693,7110759
2026-08-29,471145,474800,469693,472506,2472246
2026-08-31,459500,470000,459500,459743,2364101
2026-09-01,465000,477469,449657,449657,3688100
2026-09-02,452548,456899,452548,452548,3395451
2026-09-05,456817,466164,446688,466164,1818863
2026-09-06,469000,474063,462400,474063,1642226
2026-09-07,480540,484646,480540,484646,639032
2026-09-08,498887,498887,495020,498887,4454941
2026-09-09,496888,510000,490028,500596,2965730
2026-09-12,509980,516839,508000,516839,2674855
2026-09-13,529521,529521,517314,524900,5109251
2026-09-14,516838,528999,510180,511900,2612962
2026-09-15,511901,528749,511901,528749,2676286
2026-09-16,538000,538000,516738,523480,2926132
2026-09-19,534700,534700,507328,507328,2048594
2026-09-20,495196,498000,495196,495201,3502317
