date,open,high,low,close,volume
2025-11-16,11070,11070,10800,10849,2009095
2025-11-17,11130,11130,10950,10970,43965
2025-11-18,10970,10970,10850,10939,40920
2025-11-19,10950,10950,10900,10900,35302
2025-11-22,11190,11190,10801,10901,1249895
2025-11-23,10899,11320,10801,11200,447422
2025-11-25,11350,11450,11300,11350,298953
2025-11-26,11600,11600,11400,11500,129245
2025-11-29,11600,11600,11400,11401,35800
2025-11-30,11522,11780,11203,11450,129409
2025-12-01,11734,11735,11650,11700,11499
2025-12-02,11875,11875,11700,11717,166518
2025-12-03,11800,12100,11800,12090,49560
2025-12-06,11980,12180,11970,12077,10335
2025-12-07,12100,12140,12098,12098,170890
2025-12-08,12098,12300,11990,12300,1151355
2025-12-09,12170,12240,12000,12150,1025358
2025-12-10,12390,12550,12330,12452,969535
2025-12-13,12450,12732,12450,12600,1124648
2025-12-14,12650,12700,12510,12690,535377
2025-12-15,12850,13018,12700,12800,1157280
2025-12-16,12950,13169,12700,12868,1194797
2025-12-17,12900,13318,12761,12900,1580473
2025-12-20,12990,13229,12990,13159,1302895
2025-12-21,13200,13518,13150,13360,17980490
2025-12-22,13599,13599,13310,13400,3034285
2025-12-23,13450,13817,13450,13817,7718241
2025-12-24,13785,14080,13785,14080,15392206
2025-12-27,14280,14370,14045,14370,11680371
2025-12-28,14672,14692,14265,14304,9067244
2025-12-29,14310,14700,14050,14200,13280517
2025-12-30,14000,14197,13798,13798,25167578
2025-12-31,14000,14319,13896,14319,32028252
2026-01-04,14200,14217,13644,14040,12947062
2026-01-05,14300,14390,13972,14249,46286747
2026-01-06,14532,14565,14313,14565,17103614
2026-01-07,14864,14864,14300,14499,17209902
2026-01-10,14350,14549,14090,14090,19152946
2026-01-11,14100,14590,14100,14451,9633455
2026-01-12,14401,14825,14270,14820,13518846
2026-01-13,14701,15000,14190,14400,23877709
2026-01-14,14400,14400,14148,14240,8727258
2026-01-18,14180,14603,14178,14603,37337877
2026-01-19,14738,14739,14600,14735,3445126
2026-01-20,15058,15163,14780,15001,11530088
2026-01-21,14890,15165,14850,14990,12190950
2026-01-24,14990,14990,14501,14501,4126596
2026-01-25,14356,14490,14356,14356,16760388
2026-01-26,13926,13926,13926,13926,165948
2026-01-27,13509,13509,13509,13509,2138456
2026-01-28,13105,13189,13104,13105,7010332
2026-01-31,13454,13454,13050,13050,1492888
2026-02-01,12860,13310,12860,13310,8798311
2026-02-02,13312,13540,13200,13540,11711890
2026-02-03,13500,13610,13300,13400,4094266
2026-02-07,13854,13854,13800,13854,6674248
2026-02-08,14264,14266,13740,13740,7490834
2026-02-09,13700,13700,13633,13633,682463
2026-02-10,13233,13640,13232,13232,4672433
2026-02-14,13321,13400,12950,12950,2208714
2026-02-15,13239,13239,12842,12842,5461697
2026-02-16,12797,13000,12797,12797,660285
2026-02-17,12550,13000,12550,13000,20932106
2026-02-18,12950,12950,12340,12445,8987977
2026-02-21,12300,12300,12199,12199,4937844
2026-02-22,11844,11844,11844,11844,32311722
2026-02-23,11489,12080,11489,11940,15851735
2026-02-24,11989,12000,11750,11800,1872510
2026-02-25,11782,12060,11780,12060,5649784
2026-05-19,11564,11564,11564,11564,870013
2026-05-20,11218,11793,11218,11570,13149593
2026-05-23,11799,11868,11650,11868,4823562
2026-05-24,12040,12040,12040,12040,18651
2026-05-25,12401,12401,12399,12401,6216776
2026-05-26,12773,12773,12773,12773,250853
2026-05-30,13156,13156,13156,13156,6005619
2026-05-31,13550,13550,13550,13550,2023834
2026-06-01,13956,13956,13955,13956,9756317
2026-06-02,14350,14374,14100,14374,4502944
2026-06-03,14720,14755,14100,14430,15364540
2026-06-06,14500,14755,14480,14750,13448419
2026-06-07,14986,14986,14985,14986,1320242
2026-06-08,14537,14537,14537,14537,2272400
2026-06-09,14973,14973,14973,14973,6629213
2026-06-10,15422,15422,15422,15422,14222015
2026-06-13,15884,15884,15884,15884,3350324
2026-06-14,16360,16360,16360,16360,16437614
2026-06-15,16850,16850,16850,16850,1066020
2026-06-16,17355,17355,16870,17350,29693590
2026-06-17,17800,17800,16807,17610,11326565
2026-06-20,17630,17911,16870,17070,19928155
2026-06-21,17128,17128,16551,16551,18198755
2026-06-22,16121,16690,16121,16132,32817306
2026-06-23,16647,16647,16520,16647,10924928
2026-06-27,17094,17095,16610,16850,13787952
2026-06-28,16507,16507,16507,16507,11058655
2026-06-29,16022,16947,16022,16800,1552892
2026-06-30,17020,17020,17020,17020,8992444
2026-07-01,17530,17530,17200,17530,11368886
2026-07-07,17902,17902,17901,17902,12596258
2026-07-08,18350,18435,17365,17600,19074884
2026-07-11,17970,17970,17277,17277,1041428
2026-07-12,16846,16846,16846,16846,150056
2026-07-13,16341,17200,16341,17144,6236749
2026-07-14,16215,16911,16215,16910,1692166
2026-07-15,17109,17109,17002,17109,3861231
2026-07-18,16566,16567,16566,16566,4773810
2026-07-19,16070,16670,16070,16630,10763273
2026-07-20,17056,17057,16562,17057,9963820
2026-07-21,17494,17494,17325,17494,7126879
2026-07-22,17931,17931,17931,17931,2626841
2026-07-25,18468,18468,17780,18000,9353133
2026-07-26,18736,18736,18192,18736,50785475
2026-07-27,19120,19120,18057,18600,7269866
2026-07-28,18790,18790,18024,18410,9272446
2026-07-29,17828,18797,17828,18207,7389787
2026-08-01,18608,18608,17720,18186,9510873
2026-08-02,18939,18939,18402,18865,7911586
2026-08-03,19211,19211,19020,19211,23027106
2026-08-05,19753,19753,19753,19753,331505
2026-08-08,20345,20345,20345,20345,778857
2026-08-09,20955,20955,20227,20580,34537597
2026-08-10,20593,21238,20350,21235,11647552
2026-08-11,21390,21390,20810,20999,10015562
2026-08-15,21000,21040,20415,20700,9040576
2026-08-16,20415,21204,20110,21204,8913515
2026-08-17,21430,21687,21204,21687,10901103
2026-08-18,21703,22336,21500,21889,11350209
2026-08-19,21889,22765,21889,22743,1053596
2026-08-22,22010,23024,22010,22800,5632504
2026-08-23,23024,23546,22215,22437,9823627
2026-08-24,22437,23524,22437,23518,7304931
2026-08-25,22734,23970,22734,23738,4061339
2026-08-26,23584,24470,23584,24470,9505021
2026-08-29,24870,24870,24210,24428,6307261
2026-08-31,23833,25273,23833,24227,4175571
