date,open,high,low,close,volume
2025-11-16,25890,25970,25400,25970,224677
2025-11-17,26370,26370,25730,25910,141969
2025-11-18,25230,26140,25230,25860,87407
2025-11-19,25800,26340,25800,26340,592414
2025-11-22,26390,26590,25950,26590,1189514
2025-11-23,26300,27040,26260,27040,16722588
2025-11-25,27650,27650,26880,27120,3157769
2025-11-26,27490,27490,26730,26940,592723
2025-11-29,26580,27370,26580,26710,372481
2025-11-30,26700,27200,26450,27010,3541670
2025-12-01,27300,27600,27020,27380,1707702
2025-12-02,27300,27740,27300,27410,1660870
2025-12-03,27710,27900,27320,27560,1805960
2025-12-06,27560,28520,27560,28520,17081449
2025-12-07,28500,28990,27850,28200,1758984
2025-12-08,27800,28570,27800,28240,1460994
2025-12-09,28500,28780,28250,28740,194391
2025-12-10,29090,29150,28600,28900,129663
2025-12-13,29220,29620,29220,29510,688311
2025-12-14,29050,30250,28980,30100,10105668
2025-12-15,30440,30700,30170,30490,746432
2025-12-16,30320,31140,29960,29960,1998406
2025-12-17,30000,30910,29700,30850,2772924
2025-12-20,31420,31420,31400,31420,14354398
2025-12-21,31600,31900,30800,31370,8499112
2025-12-22,31200,31800,31010,31210,3430016
2025-12-23,31050,32080,31050,31740,2268342
2025-12-24,32140,32660,32140,32660,2200121
2025-12-27,33510,33530,32480,33530,28044364
2025-12-28,34470,34470,32820,33210,1054672
2025-12-29,33000,33300,32550,32750,3315898
2025-12-30,32010,33070,32000,32000,5595851
2025-12-31,32080,32950,31800,32950,3106177
2026-01-04,32030,33090,31900,32460,8636889
2026-01-05,32520,33390,32520,33390,2330689
2026-01-06,33960,34310,33660,34310,26796552
2026-01-07,34900,34900,33730,34130,5792947
2026-01-10,33120,34610,33120,33200,36881629
2026-01-11,33600,34490,33500,33830,866873
2026-01-12,34100,34800,34100,34800,792359
2026-01-13,35520,35530,34060,34490,11927392
2026-01-14,34280,34280,33920,33920,7648242
2026-01-18,34600,34880,34300,34880,226224
2026-01-19,35690,35690,33910,34700,401099
2026-01-20,34800,35000,34360,34530,854037
2026-01-21,35050,35400,34500,35400,3091644
2026-01-24,34400,34400,33950,33950,3668064
2026-01-25,32980,33670,32980,32980,4583700
2026-01-26,32300,33650,32210,32210,4504942
2026-01-27,31760,32550,31590,31910,12768080
2026-01-28,31810,32470,31810,31820,5810989
2026-01-31,31550,33110,31230,31230,16142998
2026-02-01,31320,32500,31320,32050,116618
2026-02-02,32230,33070,32230,33070,313723
2026-02-03,32800,33000,32360,32420,151673
2026-02-07,32730,33620,32730,33620,1716824
2026-02-08,33730,34500,32980,33430,19086921
2026-02-09,33000,33300,32950,32950,8275984
2026-02-10,33800,33800,32690,32750,17312
2026-02-14,33390,33650,32200,32200,406948
2026-02-15,31860,32270,31800,31800,123374
2026-02-16,31240,31990,31240,31990,183495
2026-02-17,32100,32440,31500,32430,5321105
2026-02-18,33330,33330,31640,31980,1556350
2026-02-21,31550,31550,31380,31380,3621937
2026-02-22,30447,30448,30439,30440,568263
2026-02-23,29735,31230,29735,30674,54597
2026-02-24,30515,31289,30510,30512,57823
2026-02-25,29910,31433,29910,31136,893810
2026-05-19,30455,31499,30455,31499,40222007
2026-05-20,29553,31348,29553,31310,264550
2026-05-23,31162,31163,31160,31163,57813
2026-05-24,32096,32096,32096,32096,20010738
2026-05-25,33000,33000,32200,32200,9718932
2026-05-26,31597,33480,31597,33461,3793022
2026-05-30,33980,33980,33980,33980,15024617
2026-05-31,34999,34999,34999,34999,7148054
2026-06-01,36048,36048,35212,35384,11915671
2026-06-02,36785,36785,34759,35230,5348707
2026-06-03,34770,35239,34180,34500,4276514
2026-06-06,34010,35672,34010,35650,12144842
2026-06-07,36260,36353,36000,36353,13864188
2026-06-08,35242,35242,35242,35242,8026454
2026-06-09,36299,36299,36299,36299,37469935
2026-06-10,36575,37387,36000,37387,31078736
2026-06-13,38093,38093,38093,38093,45106006
2026-06-14,39235,39235,39235,39235,17786
2026-06-15,40412,40412,40412,40412,13680295
2026-06-16,41624,41624,39401,40000,49428583
2026-06-17,40130,41200,39878,40300,25237839
2026-06-20,41410,41550,39350,39700,23758974
2026-06-21,40600,40701,38727,38727,43881044
2026-06-22,38901,40150,38821,39230,30343021
2026-06-23,38493,40000,38493,39899,4150551
2026-06-27,38893,39770,38603,39291,5002457
2026-06-28,39200,39200,38140,38140,1734851
2026-06-29,38499,39000,37900,38470,4533292
2026-06-30,39150,39515,39000,39515,1445370
2026-07-01,39300,40467,39300,40467,4658651
2026-07-07,41550,41583,41500,41583,2790421
2026-07-08,41120,42366,40332,40332,5881296
2026-07-11,41300,41900,40373,40373,4471282
2026-07-12,39453,39453,39453,39453,2208704
2026-07-13,38280,39237,38270,38611,540308
2026-07-14,37256,38876,37256,38394,998020
2026-07-15,39214,39214,38200,38523,520934
2026-07-18,38150,38400,37700,38200,2526101
2026-07-19,37261,39239,37261,39239,1663351
2026-07-20,39936,39936,39067,39936,547519
2026-07-21,40680,40894,40123,40894,1707712
2026-07-22,40912,41500,40500,41400,1022330
2026-07-25,41839,41839,41250,41253,142991
2026-07-26,42170,42715,42000,42401,6218148
2026-07-27,42630,43500,42200,42817,1935479
2026-07-28,43800,43800,42360,42470,1201709
2026-07-29,41900,42837,41460,42150,11777540
2026-08-01,42998,42998,41550,41986,1002310
2026-08-02,42600,43182,41975,43176,4964160
2026-08-03,43112,43773,43112,43773,11406364
2026-08-05,45070,45076,45070,45076,6176768
2026-08-08,46419,46428,46300,46428,12652147
2026-08-09,47799,47799,45031,45031,4918003
2026-08-10,45400,47133,45200,47133,28742344
2026-08-11,47813,47813,46600,46852,1442673
2026-08-15,46920,48000,46701,46707,21324698
2026-08-16,46800,48630,46800,48040,7687214
2026-08-17,48989,49014,48410,49014,7953306
2026-08-18,48545,49018,48200,48200,10832097
2026-08-19,47900,49400,47900,49395,2142236
2026-08-22,48500,50430,48500,49800,461482
2026-08-23,50440,50733,48902,48959,197446
2026-08-24,49001,51000,49001,50010,3379517
2026-08-25,50151,51550,50151,51483,359562
2026-08-26,51800,52530,51800,52500,348956
2026-08-29,51500,53060,51500,52300,9145574
2026-08-31,51900,52800,51393,51393,928739
2026-09-01,51310,53299,50650,50650,1028745
2026-09-02,49907,51899,49903,50151,9233571
2026-09-05,50024,52470,50024,52393,204562
2026-09-06,52393,53175,51365,52810,1066358
2026-09-07,52311,53909,52311,53909,6776933
2026-09-08,54450,55499,54450,55170,20978216
2026-09-09,55162,56199,54500,55850,6897595
2026-09-12,57000,57000,56024,56805,1364124
2026-09-13,58200,58200,56855,57419,31076233
2026-09-14,58484,58484,56510,57000,12245826
2026-09-15,57944,59408,57890,58942,5027083
2026-09-16,59050,59376,57319,57975,2022043
2026-09-19,59600,59600,56500,56500,2056066
2026-09-20,55382,56450,55382,55390,20243102
