date,open,high,low,close,volume
2025-12-06,20345,20499,20340,20393,13893359
2025-12-07,20410,20410,20161,20178,8045906
2025-12-08,20222,20248,20110,20190,6445407
2025-12-09,20190,20795,20137,20795,16983730
2025-12-10,21058,21058,21058,21058,1569454
2025-12-13,21689,21689,21540,21689,34238363
2025-12-14,22000,22339,21751,22339,14304602
2025-12-15,22840,22840,22840,22840,2303516
2025-12-16,23525,23525,23130,23525,27184852
2025-12-17,24206,24206,24206,24206,3108032
2025-12-20,24932,24932,24932,24932,1113806
2025-12-21,25679,25679,25679,25679,484722
2025-12-22,26449,26449,26449,26449,2061231
2025-12-23,27242,27242,27242,27242,720161
2025-12-24,28059,28059,28059,28059,690616
2025-12-27,28900,28900,28900,28900,2022780
2025-12-28,29767,29767,28150,29767,80069904
2025-12-29,30287,30287,28561,28561,39601100
2025-12-30,28152,28152,28152,28152,1125639
2025-12-31,27308,28852,27308,28400,64152085
2026-01-04,27610,28279,27095,27095,28501621
2026-01-05,27320,28004,27320,28004,24824144
2026-01-06,28500,28725,28150,28725,13288821
2026-01-07,28990,28990,27796,27796,38387120
2026-01-10,27227,27450,27227,27227,12795763
2026-01-11,26484,27120,26433,26536,45006734
2026-01-12,26840,27300,26750,27111,44600853
2026-01-13,27360,27439,26295,26295,21878502
2026-01-14,25903,25903,25903,25903,835409
2026-01-18,25500,26500,25500,26149,52921088
2026-01-19,26100,26440,25297,25410,35393212
2026-01-20,25500,25740,24969,25420,23780490
2026-01-21,25600,26116,25589,26116,7609355
2026-01-24,26000,26000,25166,25166,12492547
2026-01-25,24622,24622,24622,24622,2068482
2026-01-26,23884,23884,23884,23884,1195841
2026-01-27,23168,24549,23168,24140,48527011
2026-01-28,24252,24350,23305,23425,25313982
2026-01-31,23860,24100,23217,23217,5896238
2026-02-01,0,23910,22724,23592,34840553
2026-02-02,23890,23986,23520,23986,18162648
2026-02-03,24000,24423,23180,23913,20756173
2026-02-07,24544,24544,24544,24544,1882467
2026-02-08,25280,25280,23831,23867,25146041
2026-02-09,23880,23956,23721,23721,3135631
2026-02-10,23157,24398,23117,23920,20435062
2026-02-14,23920,24418,23797,24418,19707305
2026-02-15,25000,25000,24509,25000,13529121
2026-02-16,25738,25738,25738,25738,3813344
2026-02-17,26510,26510,26510,26510,2338702
2026-02-18,27305,27305,27305,27305,4294219
2026-02-21,26486,26486,26486,26486,5245348
2026-02-22,25692,25692,25692,25692,2350085
2026-02-23,25691,26250,24922,24952,64053760
2026-02-24,24788,24800,24581,24581,4431661
2026-02-25,23878,24581,23878,23909,49123110
2026-05-02,24895,24895,24895,24895,1961313
2026-05-03,25641,25641,25641,25641,1009256
2026-05-04,26410,26410,26410,26410,2356287
2026-05-05,27202,27202,27202,27202,11875109
2026-05-06,28018,28018,28018,28018,2123585
2026-05-09,28858,28858,28858,28858,1709150
2026-05-10,29723,29723,29723,29723,999017
2026-05-11,30614,30614,30614,30614,2354385
2026-05-12,31532,31532,31532,31532,1866572
2026-05-13,32477,32477,30857,31979,83468419
2026-05-16,32286,33066,32011,33066,34093534
2026-05-17,33634,33634,33555,33634,8724898
2026-05-18,34643,34643,32625,32625,52846042
2026-05-19,32925,32925,32925,32925,918888
2026-05-20,31938,31938,31938,31938,1341068
2026-05-23,30980,32896,30980,32660,60561070
2026-05-24,33230,33230,31304,31399,38231173
2026-05-25,31810,31810,31005,31005,11566669
2026-05-26,30298,31868,30298,31389,49554297
2026-05-30,32050,32093,31550,32093,12757983
2026-05-31,32400,32943,32170,32231,30446611
2026-06-01,32440,32440,31517,31517,26814316
2026-06-02,31489,31718,30702,30913,17798992
2026-06-03,30400,30936,30247,30247,16973729
2026-06-06,30789,31207,29500,31207,21957804
2026-06-07,31886,31886,31886,31886,1798636
2026-06-08,30930,31850,30930,31225,19024550
2026-06-09,31887,31887,31887,31887,2092152
2026-06-10,32180,32843,31403,32617,31572449
2026-06-13,33424,33424,33424,33424,1246075
2026-06-14,34426,34426,33817,33940,24160175
2026-06-15,35371,35371,35371,35371,2171409
2026-06-16,36432,36432,34310,34310,22282772
2026-06-17,33992,33992,33992,33992,2053047
2026-06-20,33122,34480,32973,32973,24766769
2026-06-21,32480,32997,32210,32210,4566551
2026-06-22,31300,33236,31300,33236,46275340
2026-06-23,33000,33369,31712,31712,46593921
2026-06-27,31200,32674,31140,31427,58056008
2026-06-28,30800,32049,30753,31390,39347153
2026-06-29,31800,31800,30817,31170,29140907
2026-06-30,31300,31699,30800,31018,26711379
2026-07-01,31011,31131,30601,30650,25956084
2026-07-07,31000,31780,31000,31571,25788957
2026-07-08,30830,31490,30535,30535,17881452
2026-07-11,29850,31380,29793,31003,43023578
2026-07-12,30456,31622,29792,30743,40956827
2026-07-13,30790,31453,30400,30964,27593820
2026-07-14,31100,31149,30800,30850,20421336
2026-07-15,30860,30998,29993,30024,15862993
2026-07-18,29850,29850,29433,29433,7547832
2026-07-19,28601,29451,28601,28982,20411633
2026-07-20,29155,29920,28950,29600,29755673
