date,open,high,low,close,volume
2025-11-16,71255,71987,71020,71700,4827159
2025-11-17,71880,72490,71500,71610,2769315
2025-11-18,70940,72800,70940,71555,3033040
2025-11-19,71613,72401,71613,72100,16802282
2025-11-22,71900,72800,71900,72501,2467165
2025-11-23,72726,74065,72590,74035,4272209
2025-11-25,74167,75675,74167,74781,6798609
2025-11-26,75116,75120,73706,74036,3729359
2025-11-29,73700,74553,73210,73357,4312466
2025-11-30,73296,74100,73100,74000,3387218
2025-12-01,74443,75500,74210,74553,4500270
2025-12-02,75450,75450,74560,75016,2285994
2025-12-03,75699,76242,75101,76044,3304769
2025-12-06,76950,78210,76642,77960,10934416
2025-12-07,78010,78970,76449,77679,4685382
2025-12-08,77235,78416,77235,77960,8011059
2025-12-09,78250,79490,77825,78003,5572184
2025-12-10,78273,80391,77389,80239,13281953
2025-12-13,80120,81319,80120,81025,5976710
2025-12-14,81500,81932,80007,81481,4222853
2025-12-15,81799,83350,81799,83000,19617132
2025-12-16,83100,84386,81150,81201,11008388
2025-12-17,83150,83150,81500,82954,9580725
2025-12-20,84100,85079,83400,85079,7930134
2025-12-21,87539,87539,85561,86200,12576072
2025-12-22,87300,87932,85502,86600,12874897
2025-12-23,88888,88888,87000,88600,9403651
2025-12-24,88887,90751,88552,90751,20556482
2025-12-27,92850,93085,91501,92975,24142464
2025-12-28,94000,94210,91533,92490,27524675
2025-12-29,92500,92500,90130,90800,24710827
2025-12-30,88429,89740,88429,88429,11182285
2025-12-31,85806,90710,85806,90361,19952408
2026-01-04,87800,90008,87263,88950,9360543
2026-01-05,90000,91210,90000,91210,5684334
2026-01-06,93859,93859,93859,93859,7627658
2026-01-07,96674,96674,94805,95870,35180500
2026-01-10,93364,96670,93364,93364,20415034
2026-01-11,91600,94289,91600,94000,14199525
2026-01-12,94950,96124,94529,95624,35436994
2026-01-13,97470,97480,92793,93394,10766545
2026-01-14,91330,92440,91225,91225,5902722
2026-01-18,91220,93921,91220,93899,23549453
2026-01-19,93930,95815,93103,94800,11643153
2026-01-20,95445,96497,94216,95450,7795508
2026-01-21,96867,97547,95680,97530,5440765
2026-01-24,97350,97490,94014,94014,14733789
2026-01-25,91977,91977,91977,91977,4619064
2026-01-26,89218,89218,89218,89218,3819055
2026-01-27,86542,86542,86542,86542,15558503
2026-01-28,83946,85931,83946,84551,39978317
2026-01-31,84800,85815,81616,82298,15860387
2026-02-01,83000,85593,83000,85593,13705803
2026-02-02,86980,87314,86020,87314,2508923
2026-02-03,89863,89863,88081,89863,11693315
2026-02-07,92263,92263,92263,92263,4030258
2026-02-08,95030,95030,92298,92800,34308346
2026-02-09,91510,92779,91416,91416,10708353
2026-02-10,88752,90500,88752,90400,7966889
2026-02-14,92569,92571,87494,87501,29467334
2026-02-15,88490,88999,85220,85854,4590919
2026-02-16,85510,86997,85438,86400,3881391
2026-02-17,86000,87163,85875,86680,3492615
2026-02-18,88390,88400,85186,85512,2601875
2026-02-21,83850,85000,83822,83822,4954659
2026-02-22,81309,82499,81309,81650,8802908
2026-02-23,82956,83500,81700,83290,4815458
2026-02-24,85100,85100,81400,81750,3758025
2026-02-25,82400,83992,80823,83857,2939968
2026-05-19,80551,80551,80551,80551,3591736
2026-05-20,78135,80600,78135,80553,18664805
2026-05-23,81184,81184,81184,81184,4848636
2026-05-24,83619,83619,83619,83619,6672784
2026-05-25,86127,86127,86127,86127,6588100
2026-05-26,88710,88710,88710,88710,23553265
2026-05-30,91371,91371,91371,91371,7337082
2026-05-31,94112,94112,94112,94112,3739456
2026-06-01,96935,96935,96935,96935,10626423
2026-06-02,99843,99843,96944,99843,41875296
2026-06-03,100000,100804,98000,98981,19312180
2026-06-06,97527,102406,97527,102406,19455960
2026-06-07,104017,104017,104016,104017,8037129
2026-06-08,100897,102480,100897,100897,19006528
2026-06-09,103950,103950,103950,103950,9225792
2026-06-10,107068,107068,107068,107068,30924572
2026-06-13,110280,110280,110280,110280,4714396
2026-06-14,113588,113588,113588,113588,300917
2026-06-15,116995,116995,116995,116995,355529
2026-06-16,120504,120504,120504,120504,31491776
2026-06-17,124119,124119,116889,124119,34341004
2026-06-20,126867,126867,119477,119481,46978365
2026-06-21,118104,119480,118030,118030,13948101
2026-06-22,114637,116978,114637,115197,21169086
2026-06-23,118299,118299,115673,118299,14559620
2026-06-27,119000,120919,115319,118085,13199207
2026-06-28,115076,116500,115075,115075,9918792
2026-06-29,112550,117200,112511,117000,10288207
2026-06-30,118000,118991,117000,118991,15255966
2026-07-01,120500,122419,119091,122419,10508478
2026-07-07,125796,125802,123983,125802,11160038
2026-07-08,125900,128499,122023,122023,18131936
2026-07-11,121574,122980,121574,121574,10739100
2026-07-12,117929,117929,117929,117929,4742612
2026-07-13,114392,114392,114392,114392,8396049
2026-07-14,110961,114324,110961,113061,28117123
2026-07-15,114350,114729,111000,112550,9181640
2026-07-18,109665,111907,109665,109665,12032216
2026-07-19,106510,111880,106510,111000,11179072
2026-07-20,112989,113113,111476,113113,10391896
2026-07-21,116367,116367,116367,116367,5328742
2026-07-22,119858,119858,112876,119690,22436371
2026-07-25,121650,121650,117675,119834,19864527
2026-07-26,123174,123174,123174,123174,10216579
2026-07-27,126869,126869,124639,126869,38767490
2026-07-28,128000,129000,125503,126889,8529843
2026-07-29,123011,126776,123011,125380,6292803
2026-08-01,122301,125000,122301,123299,7555019
2026-08-02,127373,127373,125580,127373,29190067
2026-08-03,130919,130919,129648,130919,7334135
2026-08-05,134790,134790,134790,134790,8475455
2026-08-08,138833,138833,138833,138833,13180298
2026-08-09,142997,142997,136001,138930,39550016
2026-08-10,141499,141499,136641,140564,26711256
2026-08-11,141999,141999,137550,138300,17913253
2026-08-15,136400,138009,135114,135114,16702120
2026-08-16,132900,137999,132900,137599,16870089
2026-08-17,140599,140633,138105,140633,18687289
2026-08-18,140549,140900,136334,137551,13430318
2026-08-19,136500,141111,135100,139173,11679414
2026-08-22,141990,143302,141100,143001,12240025
2026-08-23,146958,146958,139976,142435,10797926
2026-08-24,140400,145533,140400,143451,10106103
2026-08-25,146000,147000,143589,146492,11181688
2026-08-26,149995,150000,148005,149196,32597133
2026-08-29,152400,152400,148915,149799,33215610
2026-08-31,145398,148000,145380,146388,17637026
2026-09-01,147500,151000,142436,143995,16567881
2026-09-02,142782,145000,142782,142897,29302456
2026-09-05,144886,147323,144668,147065,13973827
2026-09-06,147300,150495,147217,150495,15628575
2026-09-07,153000,154429,152162,154429,13225861
2026-09-08,158874,158874,157393,158874,19863695
2026-09-09,160999,161800,155000,158525,13738619
2026-09-12,160500,163397,159300,162998,22806562
2026-09-13,167079,167088,164022,166000,18568424
2026-09-14,167687,167687,161584,161808,12822468
2026-09-15,162799,167044,162799,165724,13680201
2026-09-16,167040,167372,160990,163290,12874547
2026-09-19,164200,164200,159135,159135,10401126
2026-09-20,155469,157800,155469,155600,14569872
