date,open,high,low,close,volume
2025-11-16,288850,295000,288050,295000,906
2025-11-17,289770,298460,289770,298460,1358
2025-11-18,295000,303850,295000,303850,3980
2025-11-19,296300,310000,296300,300000,120
2025-11-22,311520,311540,311520,311530,2219
2025-11-23,302200,310000,302200,310000,4115
2025-11-25,308460,316170,308460,308520,3836
2025-11-26,300010,306000,299350,299350,3531
2025-11-29,300710,301980,300000,300710,827
2025-11-30,301030,301030,296000,298790,767
2025-12-01,298770,302800,298770,302800,1384
2025-12-02,299110,299210,299110,299120,4654
2025-12-03,304840,304840,291000,300000,10135
2025-12-06,303510,306290,299000,305850,8155
2025-12-07,312900,312900,303500,303520,4374
2025-12-08,316990,316990,308000,313300,242
2025-12-09,311300,314000,309020,312960,6285
2025-12-10,311870,321220,311870,321220,14237
2025-12-13,326120,328550,326120,328550,4079
2025-12-14,327380,327560,327380,327380,12093
2025-12-15,327610,337240,327430,337230,13853
2025-12-16,346000,346000,336330,336330,5006
2025-12-17,336520,336520,336520,336520,120
2025-12-20,336580,346610,336580,346600,8255
2025-12-21,346610,356000,346610,351220,1965
2025-12-22,353000,361910,350100,352900,3831
2025-12-23,356000,360000,356000,360000,389
2025-12-24,360000,369300,359900,367000,1190
2025-12-27,363450,374340,363450,374340,8011
2025-12-28,372550,381000,372550,379000,20379
2025-12-29,379000,379000,367620,377500,10910
2025-12-30,367620,367620,360000,360000,7489
2025-12-31,365100,370640,365000,370640,540
2026-01-04,368460,379500,368500,368500,2180
2026-01-05,377690,380070,377690,380070,36145
2026-01-06,390340,391400,390340,391400,16160
2026-01-07,403120,403120,385130,388010,36015
2026-01-10,380000,380000,374980,375000,8950
2026-01-11,366580,382000,366570,380000,4195
2026-01-12,382000,391870,382000,388600,7823
2026-01-13,392500,392500,385000,385000,6904
2026-01-14,385000,385000,379910,379910,1365
2026-01-18,382010,385000,382000,382000,1099
2026-01-19,385010,390000,379000,390000,460
2026-01-20,379000,380010,379000,379500,1330
2026-01-21,390000,390000,386000,386000,2650
2026-01-24,397750,397750,374590,374590,25780
2026-01-25,364870,365000,364870,364900,18063
2026-01-26,364900,364900,359000,360000,313
2026-01-27,349750,349750,349740,349740,13890
2026-01-28,347500,349000,347500,349000,647
2026-01-31,349900,349900,342500,342500,998
2026-02-01,350000,350000,340500,346000,9288
2026-02-02,350000,350000,342310,343400,935
2026-02-03,345000,345000,345000,345000,637
2026-02-07,345000,355350,345000,355350,2162
2026-02-08,355350,365540,354950,354950,1947
2026-02-09,350000,350000,349900,350000,5381
2026-02-10,350000,360000,350000,360000,189
2026-02-14,360000,360000,350160,350160,22
2026-02-15,343570,343570,343570,343570,4247
2026-02-16,333270,340000,333270,333330,1352
2026-02-17,335000,340690,335000,340690,131372
2026-02-18,345000,345000,339000,339000,171
