date,open,high,low,close,volume
2025-11-10,22784,22784,22744,22744,12110
2025-11-11,22797,22801,22519,22519,1004
2025-11-12,22673,22874,22633,22874,40512
2025-11-15,22874,23118,22874,23118,81121
2025-11-16,23183,23183,23183,23183,2000
2025-11-18,23094,23430,23094,23347,20660
2025-11-19,23061,23200,23061,23190,32486
2025-11-22,23355,23663,23355,23378,12503
2025-11-23,23623,23939,23623,23814,48092
2025-11-26,23814,23941,23711,23711,26180
2025-11-29,23925,24070,23924,24070,60894
2025-11-30,24640,24640,24147,24203,5959
2025-12-01,24329,24497,24249,24249,4525
2025-12-02,24278,24390,24278,24360,168865
2025-12-03,24505,24843,24504,24659,109135
2025-12-06,24664,25293,24664,25283,125301
2025-12-07,25117,25117,24671,24671,18440
2025-12-08,24884,24884,24884,24884,4513
2025-12-09,25280,25280,24141,24983,109723
2025-12-10,24182,25367,24182,25367,43420
2025-12-13,25896,25916,25646,25646,3043
2025-12-14,25781,25783,25559,25783,807
2025-12-15,26307,26307,26001,26001,34591
2025-12-16,26138,26139,26138,26139,47940
2025-12-17,26100,26100,25854,26052,52747
2025-12-20,26424,26751,26424,26744,96132
2025-12-21,26883,27108,26883,26883,37187
2025-12-22,26801,27140,26565,26645,25234
2025-12-23,27400,27400,26918,27144,18545
2025-12-24,27785,27875,27566,27875,28210
2025-12-27,28430,28432,27835,28056,627061
2025-12-28,28450,28768,28226,28748,329411
2025-12-29,29449,29449,28079,28194,21165
2025-12-30,27862,28014,27861,27861,222375
2025-12-31,28228,28263,27906,28241,20935
2026-01-04,28221,28221,27384,27592,4509
2026-01-05,28000,28323,28000,28323,223017
2026-01-06,29142,29168,28875,29168,461719
2026-01-07,29535,29535,28917,28968,208388
2026-01-10,28172,28995,28172,28994,125768
2026-01-11,29118,29118,28915,28915,2943
2026-01-12,28824,29837,28824,29837,10676
2026-01-13,29784,29786,28925,29199,11751
2026-01-14,28563,28701,28563,28563,31547
2026-01-18,28798,28842,28798,28842,37330
2026-01-19,28840,29309,28840,29060,100602
2026-01-20,29064,29431,29064,29272,53084
2026-01-21,29451,29900,29397,29900,51435
2026-01-24,29299,29669,29005,29236,110562
2026-01-25,28893,28893,28516,28518,2582
2026-01-26,27671,27671,27671,27671,55680
2026-01-27,27671,27986,27537,27844,128345
2026-01-28,27844,27844,27624,27844,58555
2026-01-31,27871,27871,27218,27218,3850
2026-02-01,27203,27395,27203,27395,7978
2026-02-02,27750,28097,27750,27981,9986
2026-02-03,27503,27877,27502,27877,962
2026-02-07,27999,28430,27998,28310,1010906
2026-02-08,28541,28541,27863,27868,82148
2026-02-09,27975,27975,27290,27591,1028207
2026-02-10,27620,28062,27620,28062,21000
2026-02-14,27871,27871,27301,27301,1501
2026-02-15,27000,27054,26990,26990,4221
2026-02-16,26820,26990,26820,26990,607
2026-02-17,27150,27524,27098,27524,450759
2026-02-18,27188,27250,26866,27250,1571
2026-02-21,27036,27036,26530,26616,9293
2026-02-22,25876,26516,25876,26310,14317
2026-02-23,26535,26830,26397,26787,34513
2026-02-24,26319,26319,26319,26319,4468
2026-02-25,25530,25912,25530,25912,2079
2026-05-19,24772,24772,24772,24772,12135
2026-05-20,25515,25515,25515,25515,212557
2026-05-23,26280,26280,26280,26280,1479
2026-05-24,27068,27068,27068,27068,407074
2026-05-25,27880,27880,27880,27880,6675
2026-05-26,28716,28716,28616,28716,2877
2026-05-30,29318,29558,29318,29558,9299
2026-05-31,30444,30444,30444,30444,674555
2026-06-01,31357,31357,31357,31357,74489
2026-06-02,32295,32297,32295,32297,4279
2026-06-03,33264,33264,32298,32299,48034
2026-06-06,34085,34085,32103,32120,70867
2026-06-07,33327,33345,32351,32626,1331714
2026-06-08,31525,32778,31525,31555,1088873
2026-06-09,33090,33433,33082,33433,1118397
2026-06-10,33271,34138,33271,34138,191270
2026-06-13,35001,35001,35001,35001,397337
2026-06-14,36051,36051,36000,36050,272316
2026-06-15,37132,37132,37132,37132,4032266
2026-06-16,38245,38245,37500,38240,1354615
2026-06-17,39373,39373,37081,37500,680946
2026-06-20,37151,37400,36237,36750,713918
2026-06-21,36195,36219,35753,35883,537406
2026-06-22,35026,36000,35026,35727,78782
2026-06-23,35912,36138,35855,36075,465340
2026-06-27,36102,36118,35905,35982,167920
2026-06-28,35655,35690,35579,35642,12360
2026-06-29,35642,36046,35465,36046,50680
2026-06-30,36402,36402,36272,36291,4609
2026-07-01,36370,36862,36370,36812,22993
2026-07-07,37347,37590,37347,37589,152499
2026-07-08,36459,37589,36459,37290,126476
2026-07-11,36711,36859,36711,36859,14121
2026-07-12,36145,36145,35634,35634,36027
2026-07-13,35635,35802,35635,35802,345
2026-07-14,35676,35676,35676,35676,285
2026-07-15,36208,36208,35500,35500,218
2026-07-19,35799,35799,35799,35799,28
2026-07-21,36171,36699,36171,36600,35146
2026-07-22,36099,36099,36099,36099,8780
2026-07-25,36844,36855,36736,36855,999
2026-07-26,37550,37550,37360,37360,28812
2026-07-27,37335,37836,37252,37836,180848
2026-07-28,37552,38414,37552,38328,1343
2026-07-29,38269,38317,38269,38307,1421
2026-08-01,38362,38362,37933,37962,2893
2026-08-02,38974,38974,38590,38890,287487
2026-08-03,38672,39729,38672,39700,204922
2026-08-05,40555,40555,40138,40555,77245
2026-08-08,40602,41738,40602,41738,1089759
2026-08-09,41690,41723,40085,41092,5395216
2026-08-10,41181,42100,41181,42090,27440
2026-08-11,42697,42697,41851,41878,89286
2026-08-15,42043,42043,41587,41850,66643
2026-08-16,41900,42250,41886,42250,296678
2026-08-17,42350,43315,42350,42735,4658653
2026-08-18,42256,42870,42256,42300,132665
2026-08-19,42544,43127,42544,42990,104609
2026-08-22,43104,43735,43104,43480,132423
2026-08-23,43592,44445,43558,43601,75101
2026-08-24,43672,44403,43605,43852,163061
2026-08-25,43802,44702,43609,44653,541920
2026-08-26,45367,45500,45310,45436,276344
2026-08-29,45449,46169,45449,46136,649656
2026-08-31,45911,46157,44500,45831,975867
2026-09-01,46852,47158,45950,45950,1033283
2026-09-02,45237,45815,45237,45239,253159
2026-09-05,46250,46500,45803,46120,3410
2026-09-06,46423,47212,46423,47190,165349
2026-09-07,48035,48269,47900,48220,288503
2026-09-08,49640,49641,48895,49641,6451973
2026-09-09,49417,49913,48987,49264,87862
2026-09-12,50640,50640,49512,50640,69614
2026-09-13,51126,51467,51126,51392,10419959
2026-09-14,51130,51468,50402,50675,53876
2026-09-15,51282,52167,51282,52154,16779
2026-09-16,51594,52798,50830,50985,986444
2026-09-19,50484,50484,49908,49915,1982250
