date,open,high,low,close,volume
2026-01-13,10000,10000,10000,10000,63415003
2026-01-14,10000,10000,10000,10000,29235977
2026-01-18,10000,10000,10000,10000,6436174
2026-01-19,10000,10000,10000,10000,61499339
2026-01-20,10000,10000,10000,10000,136413507
2026-02-18,10078,10078,10000,10000,3395679
2026-02-21,10050,10050,9713,9960,8748378
2026-02-22,9501,9760,9471,9760,2250907
2026-02-23,9785,9798,9460,9750,3114031
2026-02-24,10030,10031,9650,9700,1778412
2026-02-25,9421,9973,9421,9973,1104228
2026-05-19,9490,9490,9490,9490,1525510
2026-05-20,9206,9206,9206,9206,1945614
2026-05-23,8930,9400,8930,9250,5415478
2026-05-24,9022,9292,9022,9292,13720429
2026-05-25,9570,9570,9299,9500,10714437
2026-05-26,9400,9808,9358,9700,2452756
2026-05-30,9789,9826,9605,9826,1193153
2026-05-31,10076,10101,9903,10101,4808743
2026-06-01,10100,10122,9770,10076,6330589
2026-06-02,10096,10100,9801,9988,5239252
2026-06-03,10000,10000,9750,9925,6929291
2026-06-06,9995,10171,9890,10171,4619073
2026-06-07,10200,10210,10011,10210,6810292
2026-06-08,9904,10513,9904,10150,10338651
2026-06-09,10489,10489,10489,10489,3875844
2026-06-10,10803,10803,10803,10803,6147857
2026-06-13,11127,11127,11127,11127,22519803
2026-06-14,11460,11460,11460,11460,1516150
2026-06-15,11803,11803,11803,11803,1528757
2026-06-16,12157,12157,11450,12157,41107999
2026-06-17,12500,12505,11777,12505,25459040
2026-06-20,12838,12838,12150,12584,11687632
2026-06-21,12600,12600,12196,12196,18792359
2026-06-22,12255,12620,11901,12291,5046318
2026-06-23,12450,12477,11920,12114,2486170
2026-06-27,12400,12506,12142,12149,4360841
2026-06-28,11909,12395,11909,11909,9413576
2026-06-29,12267,12267,11941,12149,3044563
2026-06-30,12420,12420,12059,12390,3497354
2026-07-01,12320,12660,12320,12640,2760038
2026-07-07,12870,12927,12750,12926,12723895
2026-07-08,13000,13233,12467,12467,7044496
2026-07-11,12700,12822,12341,12342,7256326
2026-07-12,12015,12399,12015,12399,1172658
2026-07-13,11656,12375,11656,12365,1444099
2026-07-14,11976,12334,11976,12205,279840
2026-07-15,12283,12500,12283,12500,1402243
2026-07-18,12450,12450,11931,11931,4257645
2026-07-19,11709,12430,11709,12100,1258842
2026-07-20,12150,12350,12100,12340,949715
2026-07-21,12570,12572,12420,12572,2652423
2026-07-22,12600,12800,12400,12800,1743030
2026-07-25,12550,12550,12400,12540,1311682
2026-07-26,12550,12860,12550,12860,3032387
2026-07-27,13189,13189,12700,12963,1609320
2026-07-28,13180,13219,12800,13219,12188347
2026-07-29,13400,13590,12854,13259,5821125
2026-08-01,13250,13250,13100,13200,1072269
2026-08-02,13500,13500,13250,13500,558659
2026-08-03,13788,13788,13650,13788,1125023
2026-08-05,14114,14114,14114,14114,3003076
2026-08-08,14537,14537,14537,14537,24001394
2026-08-09,14973,14973,14550,14567,3713893
2026-08-10,15000,15279,14850,14971,1659193
2026-08-11,15300,15410,14515,15041,5566189
2026-08-15,14860,15000,14800,14800,933770
2026-08-16,14847,15292,14801,15150,5557279
2026-08-17,15220,15504,15220,15504,1453183
2026-08-18,15650,15775,15550,15550,725507
2026-08-19,15670,16094,15600,16093,1341979
2026-08-22,16194,16194,15731,16000,7684933
2026-08-23,16300,16346,16200,16346,5300099
2026-08-24,16550,16719,16550,16550,602704
2026-08-25,17050,17219,17050,17081,510864
2026-08-26,17260,17570,17260,17318,12901136
2026-08-29,17495,17600,17495,17495,790480
2026-08-31,17498,17501,17250,17498,1770314
2026-09-01,17917,17918,17422,17422,182601
2026-09-02,17350,17350,17208,17259,2349558
2026-09-05,17732,17732,17150,17218,1722455
2026-09-06,17300,17720,17300,17720,459736
2026-09-07,18146,18146,18146,18146,711832
2026-09-08,18690,18690,18690,18690,1820540
2026-09-09,18691,19250,18691,18693,36135
2026-09-12,18950,19484,18950,19484,2071936
2026-09-13,20062,20062,20062,20062,1656361
2026-09-14,20663,20663,20000,20032,1238479
2026-09-15,20100,20639,20001,20639,8738387
2026-09-16,20962,20962,20200,20942,11792294
2026-09-19,20400,20400,19950,19950,376220
2026-09-20,20000,20000,19720,19720,7079286
