date,open,high,low,close,volume
2026-02-01,10000,10000,10000,10000,222484895
2026-05-31,10700,11000,10540,10669,28714985
2026-06-01,10900,10900,10470,10481,13331286
2026-06-02,10620,10670,10500,10620,6868976
2026-06-03,10310,10570,10309,10519,3155185
2026-06-06,10431,10598,10430,10520,6048060
2026-06-07,10700,10738,10547,10588,3525316
2026-06-08,10353,10493,10353,10353,3248053
2026-06-09,10640,10679,10635,10679,6701716
2026-06-10,10678,10997,10677,10995,1621306
2026-06-13,11270,11270,11270,11270,8053663
2026-06-14,11608,11608,11533,11608,8794126
2026-06-15,11948,11948,11948,11948,16290323
2026-06-16,12306,12306,11590,12213,11287677
2026-06-17,12551,12551,11821,11840,6588698
2026-06-20,12246,12246,11537,11886,7206195
2026-06-21,11935,11952,11350,11700,2035857
2026-06-22,11858,11858,11218,11600,2079522
2026-06-23,11798,11798,11473,11475,4171232
2026-06-27,11506,11770,11506,11526,332211
2026-06-28,11565,11796,11300,11410,3110298
2026-06-29,11884,11885,11193,11885,5933082
2026-06-30,12001,12001,11500,12001,6561034
2026-07-01,12361,12361,12270,12361,21333213
2026-07-07,12726,12729,12515,12729,7607445
2026-07-08,13091,13091,12329,12331,10256348
2026-07-11,13002,13002,12612,12612,5115052
2026-07-12,12652,12652,12397,12397,1349487
2026-07-13,12118,12397,12118,12118,2723227
2026-07-14,11773,12310,11773,12140,1570847
2026-07-15,12228,12228,11516,11900,1325503
2026-07-18,11630,11630,11282,11282,1097091
2026-07-19,11325,11400,11192,11400,2315150
2026-07-20,11613,11613,11311,11613,11731253
2026-07-21,11801,11801,11760,11801,2735552
2026-07-22,12145,12145,11500,11500,11360113
2026-07-25,11671,11985,11500,11500,465614
2026-07-26,11890,11890,11800,11890,675095
2026-07-27,12169,12169,11950,11950,30200
2026-07-28,12347,12347,11993,12278,104195
2026-07-29,12000,12227,11910,11910,9145765
2026-08-01,12000,12360,11642,12000,402753
2026-08-02,11760,12229,11760,12224,1483280
2026-08-03,12232,12364,12129,12364,8636015
2026-08-05,12500,12732,12500,12732,103728
2026-08-08,12701,13082,12701,13082,1882455
2026-08-09,13150,13150,12452,12970,5835347
2026-08-10,13196,13196,12850,13196,9361121
2026-08-11,13590,13590,13400,13589,8534461
2026-08-15,13670,13840,13587,13650,2394651
2026-08-16,13830,14136,13725,14136,11850184
2026-08-17,14321,14544,14321,14544,19199012
2026-08-18,14979,14979,14543,14840,8015789
2026-08-19,14936,15149,14638,14900,900142
2026-08-22,15277,15311,14970,15230,3948691
2026-08-23,15595,15634,15047,15290,3820292
2026-08-24,15624,15846,15600,15600,14937935
2026-08-25,15997,16204,15997,16204,7813614
2026-08-26,16688,16688,16601,16688,3414539
2026-08-29,17100,17182,16682,16682,4363797
2026-08-31,16610,16999,16235,16237,5981075
2026-09-01,16441,16794,15948,15948,4738798
2026-09-02,15715,15990,15646,15690,2484169
2026-09-05,16100,16100,15542,15959,573475
2026-09-06,16077,16209,15753,16209,641175
2026-09-07,16642,16643,16572,16643,1609176
2026-09-08,17130,17137,16820,17137,2274100
2026-09-09,17487,17610,17098,17100,1010751
2026-09-12,17598,17757,17220,17756,3785562
2026-09-13,18018,18025,17700,17769,6641207
2026-09-14,17814,17814,17388,17735,21882784
2026-09-15,18020,18020,17530,17910,3028780
2026-09-16,18300,18300,17900,18295,3247186
2026-09-19,17650,18099,17471,17471,707343
2026-09-20,17174,17174,16999,16999,1137948
