date,open,high,low,close,volume
2025-11-09,15825,15880,15810,15823,992321
2025-11-10,15830,15862,15830,15834,2056571
2025-11-11,15877,15877,15847,15847,544571
2025-11-12,15851,15889,15851,15860,1159329
2025-11-15,15861,15896,15860,15863,4616768
2025-11-16,15894,15938,15894,15908,686019
2025-11-17,15910,15950,15908,15920,12752655
2025-11-18,15921,15962,15920,15954,4531248
2025-11-19,15933,15974,15933,15933,8470943
2025-11-22,15999,16000,15945,15982,6347180
2025-11-23,16024,16024,15982,15993,10322195
2025-11-25,16040,16050,16001,16005,2254459
2025-11-26,16019,16059,16019,16031,8227339
2025-11-29,16031,16098,16031,16068,3391123
2025-11-30,16110,16111,16068,16108,17603129
2025-12-01,16121,16121,16080,16092,3918417
2025-12-02,16092,16134,16092,16097,642660
2025-12-03,16120,16142,16105,16117,15308588
2025-12-06,16154,16160,16117,16154,21505613
2025-12-07,16154,16179,16154,16167,28176778
2025-12-08,16167,16209,16167,16168,4518116
2025-12-09,16179,16600,16179,16207,68201220
2025-12-10,16265,16270,16155,16204,57243837
2025-12-13,16210,16243,16205,16242,30403697
2025-12-14,16234,16280,16234,16265,16669914
2025-12-15,16283,16400,16253,16369,18123948
2025-12-16,16272,16310,16270,16272,11625287
2025-12-17,16266,16389,16266,16287,5973535
2025-12-20,16293,16547,16292,16359,22797936
2025-12-21,16374,16374,16339,16342,22268240
2025-12-22,16342,16383,16341,16344,13347986
2025-12-23,16360,16394,16351,16351,26389102
2025-12-24,16367,16420,16367,16376,12786440
2025-12-27,16449,16481,16000,16445,24026033
2025-12-28,16419,16469,16417,16450,36952089
2025-12-29,16458,16458,16429,16442,15024955
2025-12-30,16442,16483,16441,16454,25909683
2025-12-31,16496,16496,16454,16483,6698471
2026-01-04,16547,16547,16467,16490,15697963
2026-01-05,16548,16593,16516,16527,10702395
2026-01-06,16573,16574,16531,16531,14919675
2026-01-07,16584,16584,16543,16580,11072562
2026-02-07,16755,16980,16610,16750,108098594
2026-02-08,16896,16896,16850,16852,82543015
2026-02-09,16980,16998,16980,16990,31869966
2026-02-10,17000,17019,16993,16993,182403257
2026-02-14,17069,17069,17045,17045,25203398
2026-02-15,17088,17088,17058,17058,27922232
2026-02-16,17071,17096,17071,17071,26674224
2026-02-17,17085,17106,17084,17084,50086121
2026-02-18,17097,17109,17097,17103,18617400
2026-02-21,17111,17148,17110,17137,29675398
2026-02-22,17150,17162,17135,17151,70945031
2026-02-23,17192,17192,17144,17163,25563796
2026-02-24,17206,17206,17177,17177,32155449
2026-02-25,17190,17216,17190,17190,85684502
2026-05-02,17705,17705,17705,17705,120721820
2026-05-03,18236,18236,18236,18236,147531141
