date,open,high,low,close,volume
2025-11-16,29060,29070,29040,29070,11303696
2025-11-17,29080,29100,29080,29080,22261967
2025-11-18,29100,29150,29100,29130,38176534
2025-11-19,29150,29200,29150,29200,925621
2025-11-22,29220,29590,29200,29200,20091236
2025-11-23,29250,29270,29240,29240,26463113
2025-11-25,29300,29300,29280,29290,3783792
2025-11-26,29340,29350,29320,29350,9778557
2025-11-29,29400,29400,29360,29370,26068550
2025-11-30,29410,29440,29410,29440,19609191
2025-12-01,29460,29480,29450,29460,8517394
2025-12-02,29500,29520,29480,29510,51144651
2025-12-03,29530,29540,29520,29540,67305432
2025-12-06,29570,29630,29570,29610,9246082
2025-12-07,29630,29650,29600,29650,16055759
2025-12-08,29680,29680,29670,29670,447803
2025-12-09,29720,29720,29690,29720,915252
2025-12-10,29750,29760,29740,29760,7123860
2025-12-13,29810,29830,29790,29820,1449695
2025-12-14,29860,29870,29850,29860,38823759
2025-12-15,29900,29900,29880,29890,2842906
2025-12-16,29940,29950,29910,29920,5430581
2025-12-17,29960,29970,29950,29970,4456949
2025-12-20,30010,30050,30010,30020,1909449
2025-12-21,30060,30100,30060,30100,4571854
2025-12-22,30150,30150,30130,30150,1266231
2025-12-23,30190,30190,30170,30170,1237349
2025-12-24,30260,30260,30220,30260,2938607
2025-12-27,30320,30340,30290,30330,2374668
2025-12-28,30340,30350,30310,30330,15455765
2025-12-29,30360,30370,30350,30370,3704391
2025-12-30,30420,30420,30390,30420,11291201
2025-12-31,30480,30480,30460,30480,4293202
2026-01-04,30530,30550,30520,30540,6057386
2026-01-05,30590,30600,30570,30580,5445746
2026-01-06,30630,30630,30620,30630,1689538
2026-01-07,30650,30660,30650,30650,3897050
2026-01-10,30680,30690,30680,30690,3360133
2026-01-11,30710,30720,30710,30720,2729829
2026-01-12,30760,30760,30750,30750,1686907
2026-01-13,30790,30820,30790,30800,3760779
2026-01-14,30840,30850,30830,30850,2210273
2026-01-18,30910,30920,30900,30920,15465302
2026-01-19,30970,30980,30960,30980,4997845
2026-01-20,31000,31040,31000,31040,2328987
2026-01-21,31070,31070,31060,31070,1708108
2026-01-24,31120,31130,31110,31130,1710874
2026-01-25,31150,31160,31150,31160,662710
2026-01-26,31220,31220,31210,31210,1463565
2026-01-27,31220,31230,31210,31210,1525854
2026-01-28,31260,31270,31260,31270,2019455
2026-01-31,31320,31330,31310,31320,8578647
2026-02-01,31330,31340,31320,31330,1565578
2026-02-02,31360,31370,31350,31360,17757052
2026-02-03,31390,31400,31390,31400,10305633
2026-02-07,30920,31460,30910,31440,3155320
2026-02-08,31470,31480,31470,31480,2650268
2026-02-09,31510,31520,31510,31520,817804
2026-02-10,31560,31570,31560,31560,1323052
2026-02-14,31660,31670,31660,31660,140586
2026-02-15,31720,31730,31710,31730,26959655
2026-02-16,31770,31780,31770,31780,339810
2026-02-17,31820,31830,31810,31830,2405168
2026-02-18,31880,31890,31880,31880,387081
2026-02-21,31920,31930,31900,31910,5473886
2026-02-22,31960,31960,31955,31960,3220648
2026-02-23,32000,32005,32000,32003,13028789
2026-02-24,32049,32050,32047,32049,10131059
2026-02-25,32091,32092,32091,32092,40361
2026-05-19,31129,31129,31129,31129,688267
2026-05-20,31190,31191,31190,31190,54523214
2026-05-23,31252,31253,31252,31253,3603012
2026-05-24,31419,31440,31345,31345,3684058
2026-05-25,31493,31496,31480,31492,11121257
2026-05-26,31555,31568,31520,31555,21847077
2026-05-30,31633,31700,31633,31650,36608802
2026-05-31,31715,31900,31713,31740,5423755
2026-06-01,31797,32269,31750,31830,6476261
2026-06-02,31900,32199,31870,31911,5510141
2026-06-03,31950,31998,31893,31950,8545839
2026-06-06,32000,32150,31980,32089,1405855
2026-06-07,32124,32150,32082,32149,1688000
2026-06-08,32200,32615,32180,32321,28899888
2026-06-09,32800,33000,32500,32510,3775115
2026-06-10,32632,32700,32610,32646,1057902
2026-06-13,32893,32900,32656,32755,13589381
2026-06-14,32770,32780,32680,32705,1708635
2026-06-15,32800,32800,32709,32709,7368464
2026-06-16,32805,33000,32750,32999,6097127
2026-06-17,33600,33827,32865,33333,19049414
2026-06-20,33080,33300,33020,33297,16773205
2026-06-21,33350,33700,33283,33304,6940678
2026-06-22,33550,33700,33550,33556,7242877
2026-06-23,33700,34568,33650,33950,7515848
2026-06-27,34100,34150,33949,33999,6859482
2026-06-28,34200,34800,34160,34690,1477781
2026-06-29,34770,35100,34770,35010,1354004
2026-06-30,35400,35400,35020,35118,7845502
2026-07-01,35400,35400,35170,35300,1979937
2026-07-07,35301,35358,35250,35319,1114500
2026-07-08,35360,35469,35351,35353,1263907
2026-07-11,35500,35500,35480,35498,7142550
2026-07-12,35560,35572,35540,35565,3301519
2026-07-13,35650,35691,35650,35691,1339434
2026-07-14,35750,35800,35611,35760,5339278
2026-07-15,35796,35825,35700,35740,10995910
2026-07-18,35783,35810,35710,35800,3491650
2026-07-19,35840,35860,35765,35831,2996154
2026-07-20,35843,35870,35830,35870,1386035
2026-07-21,35900,35950,35900,35950,4803327
2026-07-22,36088,36092,36000,36050,1706149
2026-07-25,36170,36200,36142,36200,947818
2026-07-26,36200,36500,36200,36219,1929939
2026-07-27,36500,36500,36290,36367,12632450
2026-07-28,36400,36500,36396,36482,2554923
2026-07-29,37160,37160,36501,36535,4804792
2026-08-01,36600,36609,36586,36600,1820076
2026-08-02,36646,36770,36646,36769,893909
2026-08-03,36800,36900,36770,36871,5995663
2026-08-05,36950,37099,36880,37099,2438818
2026-08-08,37300,37300,37022,37160,2103379
2026-08-09,37103,37798,37103,37798,24596290
2026-08-10,37701,38050,37651,37900,4636550
2026-08-11,37850,38149,37850,38101,15320271
2026-08-15,38000,38184,37950,38098,2654880
2026-08-16,38200,38200,37659,38011,4088463
2026-08-17,38090,38500,38084,38116,11809913
2026-08-18,38155,38225,38145,38225,2367380
2026-08-19,38210,38300,38210,38225,5891815
2026-08-22,38300,38400,38300,38320,5887275
2026-08-23,38370,38475,38355,38441,2425327
2026-08-24,38493,38869,38491,38520,9345796
2026-08-25,38590,38680,38570,38632,7378343
2026-08-26,38678,38840,38678,38786,3972255
2026-08-29,38900,38981,38851,38904,3301763
2026-08-31,38961,39025,38961,39025,2102296
2026-09-01,39155,39319,39031,39310,7094501
2026-09-02,39350,39500,39184,39461,9995530
2026-09-05,39535,39780,39523,39666,7010027
2026-09-06,39889,40200,39720,40125,13063386
2026-09-07,40980,40980,40041,40168,21557757
2026-09-08,39937,40361,39937,40310,10468730
2026-09-09,40255,40390,40200,40271,9662712
2026-09-12,40648,40648,40299,40321,18741627
2026-09-13,40400,40400,40317,40349,18407895
2026-09-14,40386,40400,40345,40376,34682376
2026-09-15,40408,40408,39920,40230,13649178
2026-09-16,40204,40284,40130,40269,10851396
2026-09-19,40330,40350,40295,40313,6532555
2026-09-20,40364,40436,40343,40362,20077694
