date,open,high,low,close,volume
2025-11-16,25000,25820,24550,25820,289498111
2025-11-17,26020,26170,24790,24830,325051699
2025-11-18,24830,25250,24580,24580,222389249
2025-11-19,24800,25160,24410,24800,235354598
2025-11-22,25010,25450,24700,24740,297851828
2025-11-23,25100,26070,25090,26070,385960969
2025-11-25,26800,26800,26320,26800,290227901
2025-11-26,26990,27280,26000,26590,319747172
2025-11-29,26550,27250,26080,26250,228024165
2025-11-30,26450,27220,25940,26970,281171693
2025-12-01,27590,27750,27390,27750,299251067
2025-12-02,27790,28470,27490,27710,369300300
2025-12-03,27850,28460,27740,28140,314790066
2025-12-06,28560,29260,28560,29260,271551756
2025-12-07,29790,29790,27890,28040,378049819
2025-12-08,28450,29200,28290,29030,315827598
2025-12-09,29050,29580,28340,28570,233546247
2025-12-10,28670,29810,28540,29410,330995033
2025-12-13,29640,30560,29580,30390,348730822
2025-12-14,30490,30960,29500,30570,305482134
2025-12-15,30610,31570,30570,31570,273296284
2025-12-16,32060,32560,30280,30750,460337045
2025-12-17,30890,31870,30780,31560,281558260
2025-12-20,32270,32620,32110,32620,117317701
2025-12-21,33500,33840,32780,33580,429546658
2025-12-22,33580,34450,32250,32940,543224426
2025-12-23,33130,34660,32870,34660,468760213
2025-12-24,35250,35280,34840,35280,99512095
2025-12-27,36640,36640,36150,36640,210950138
2025-12-28,37480,38060,36900,38060,230420620
2025-12-29,39440,39440,36420,37250,506860664
2025-12-30,36430,36790,36430,36430,81562307
2025-12-31,35000,37900,35000,37860,539000949
2026-01-04,37500,37640,35030,36600,449359809
2026-01-05,37550,37550,37550,37550,24467752
2026-01-06,39050,39050,39050,39050,14251345
2026-01-07,40610,40610,39990,40610,377594051
2026-01-10,38960,41250,38960,38960,431290448
2026-01-11,39740,41320,39310,41220,642336923
2026-01-12,42000,42260,41920,42260,241133181
2026-01-13,43400,43600,40600,41070,495659337
2026-01-14,40400,40880,40400,40400,74227652
2026-01-18,41100,42020,40800,42020,567976935
2026-01-19,42060,43100,39950,40370,594003998
2026-01-20,40640,41230,39670,39670,396621286
2026-01-21,39070,40050,38460,39370,293371296
2026-01-24,37550,38000,37510,37510,55701424
2026-01-25,36060,36060,36060,36060,5539274
2026-01-26,34620,34620,34620,34620,1680752
2026-01-27,33240,33240,33240,33240,10590205
2026-01-28,31920,32440,31920,31970,516936709
2026-01-31,32420,32890,30700,30700,126820240
2026-02-01,31170,32410,30090,31850,310405130
2026-02-02,32390,32620,31980,32620,202489315
2026-02-03,33060,33280,31550,32080,300112909
2026-02-07,33680,33680,33680,33680,46394037
2026-02-08,35020,35020,33310,33610,333415220
2026-02-09,33610,33800,33050,33050,31435951
2026-02-10,31900,32760,31840,32180,266840153
2026-02-14,33050,33370,30810,30950,300275405
2026-02-15,31150,31290,31020,31020,30978300
2026-02-16,30000,30970,29860,30690,240406468
2026-02-17,30900,31200,30090,30680,269294223
2026-02-18,30800,31030,29300,29300,197467929
2026-02-21,28660,28660,28660,28660,8766614
2026-02-22,27514,28020,27514,28006,286764314
2026-02-23,28428,28669,27640,28669,190384279
2026-02-24,28290,28290,27220,27220,163093477
2026-02-25,27260,28559,27240,28559,197131655
2026-05-19,27019,27019,27019,27019,17335271
2026-05-20,25939,26933,25939,26653,942898204
2026-05-23,27151,27151,27151,27151,68201314
2026-05-24,28237,28237,28237,28237,3095525
2026-05-25,29366,29366,29366,29366,67150022
2026-05-26,30000,30540,29470,30540,213114585
2026-05-30,31512,31512,31512,31512,3466000
2026-05-31,32772,32772,32772,32772,3880649
2026-06-01,34082,34082,34060,34082,282428195
2026-06-02,34803,35445,34500,35445,402907950
2026-06-03,34950,36481,34120,35276,568869954
2026-06-06,35700,36935,34640,36935,286367627
2026-06-07,37649,37649,37649,37649,25321989
2026-06-08,36144,36999,36144,36144,334284926
2026-06-09,37641,37641,37641,37641,38450297
2026-06-10,39146,39146,38680,39146,169896025
2026-06-13,40709,40709,40709,40709,3482674
2026-06-14,42337,42337,42337,42337,6363511
2026-06-15,44030,44030,44030,44030,2374078
2026-06-16,45791,45791,45770,45791,216638716
2026-06-17,47000,47622,45850,47622,213150262
2026-06-20,49131,49131,45566,48603,547101390
2026-06-21,47710,47750,45944,45944,201438696
2026-06-22,44648,46386,44648,45655,267579653
2026-06-23,46823,46826,45800,46826,209211737
2026-06-27,48000,48000,44812,44950,242841570
2026-06-28,43971,43971,43971,43971,8048203
