date,open,high,low,close,volume
2025-11-15,22750,22750,22572,22572,4891
2025-11-16,22820,23045,22800,23045,229303
2025-11-17,23240,23240,23057,23057,202201
2025-11-18,23020,23020,22939,22939,200449
2025-11-19,22997,23040,22927,23040,200688
2025-11-22,23120,23194,23100,23100,30623
2025-11-23,23664,23664,23500,23500,1858
2025-11-25,23994,23998,23994,23998,448
2025-11-29,23480,23534,23433,23480,265533
2025-11-30,23786,23786,23786,23786,312
2025-12-01,23875,23875,23875,23875,8
2025-12-02,24174,24239,24105,24105,59781
2025-12-03,24410,24460,24410,24460,6330
2025-12-06,24933,24941,24890,24890,56495
2025-12-07,25311,25311,24749,24749,54762
2025-12-08,25040,25040,24983,24983,50034
2025-12-09,25204,25233,25150,25233,50209
2025-12-10,25410,25646,25410,25645,50199
2025-12-13,26100,26173,26100,26173,90039
2025-12-14,26128,26405,26128,26400,1221495
2025-12-15,26648,26760,26521,26760,1179043
2025-12-16,26937,27104,26486,26494,52881
2025-12-17,26971,26971,26850,26923,2045
2025-12-20,27431,27593,27431,27593,122315
2025-12-21,27833,27910,27746,27746,69703
2025-12-22,28134,28155,27678,27739,32571
2025-12-23,28111,28226,28110,28190,8589
2025-12-24,28780,29021,28780,29021,2097036
2025-12-27,29410,29844,29178,29250,950757
2025-12-28,29688,29791,29631,29791,63834
2025-12-29,29878,29878,29361,29361,14838
2025-12-30,28610,28610,28610,28610,1803044
2025-12-31,29202,29378,29039,29374,273972
2026-01-04,28992,29305,28906,29305,15058
2026-01-05,29890,29890,29890,29890,3800113
2026-01-06,30786,30786,30786,30786,3000083
2026-01-07,31709,31709,31210,31709,2761661
2026-01-10,30743,30850,30743,30743,3010793
2026-01-11,29821,31665,29821,30743,1427149
2026-01-12,32027,32027,31097,32027,2098508
2026-01-13,32981,32981,31076,31750,1236327
2026-01-14,30812,32166,30812,32166,2894530
2026-01-18,31308,31390,30812,31390,1080957
2026-01-19,31350,31956,31299,31426,127732
2026-01-20,32324,32324,31400,31931,147019
2026-01-21,31736,31736,31650,31706,1004047
2026-01-24,30755,30986,30755,30940,3001342
2026-01-25,30028,30030,30027,30027,220166
2026-01-26,29127,29127,29127,29127,2000000
2026-01-27,28254,28800,28254,28800,564371
2026-01-28,28442,28750,28428,28635,1014125
2026-01-31,27885,27885,27885,27885,1081
2026-02-01,28721,28721,28291,28664,19805
2026-02-02,29008,29009,28959,28959,535444
2026-02-03,28946,28950,28814,28887,131717
2026-02-07,29320,29798,29320,29798,3476634
2026-02-08,30190,30190,29104,29238,896187
2026-02-09,30325,30325,28559,28600,9234
2026-02-10,28506,28731,28506,28550,245675
2026-02-14,28847,28941,27814,27834,2037033
2026-02-15,27500,27500,27197,27197,200909
2026-02-16,27200,27200,26733,26733,102964
2026-02-17,27133,27400,27133,27400,24806
2026-02-18,27254,27273,27254,27273,282662
2026-02-21,26454,26454,26454,26454,104509
2026-02-22,25661,25661,25661,25661,3350
2026-02-23,26050,26156,26050,26156,151394
2026-02-24,25800,25800,25545,25545,151144
2026-02-25,26197,26289,26197,26289,150417
2026-05-19,25412,25412,25412,25412,1147908
2026-05-20,24650,25427,24650,25427,819715
2026-05-23,24904,25472,24736,25472,111605
2026-05-24,25906,26222,25841,26222,286619
2026-05-25,26988,26988,26900,26988,241976
2026-05-26,27777,27797,27072,27500,166135
2026-05-30,27824,28535,27824,28535,592462
2026-05-31,29384,29384,29384,29384,269428
2026-06-01,30265,30265,29140,29688,250088
2026-06-02,29129,29990,28712,28760,418586
2026-06-03,29709,29709,28105,29050,400251
2026-06-06,28695,28917,28695,28701,39303
2026-06-07,29649,29650,29205,29650,120549
2026-06-08,29650,29650,28634,28854,135407
2026-06-09,29879,29879,29878,29879,11048
2026-06-10,30775,30775,30298,30775,62447
2026-06-13,31693,31693,31693,31693,25378
2026-06-14,32643,32643,32643,32643,501000
2026-06-15,33622,33622,33622,33622,2926523
2026-06-16,34630,34630,33624,34628,1274752
2026-06-17,35112,35113,34377,35113,696874
2026-06-20,35761,36000,35110,35300,311320
2026-06-21,35393,35394,34662,34662,472958
2026-06-22,34500,35119,33919,35119,840252
2026-06-23,34940,34948,34940,34948,40668
2026-06-27,34941,35765,34941,35604,11168
2026-06-28,34545,34829,34545,34545,490727
2026-06-29,34561,35306,34326,34909,116672
2026-06-30,35547,35547,35378,35547,17055
2026-07-01,36543,36543,35768,36542,22743
2026-07-07,37232,37232,37232,37232,123629
2026-07-08,36116,37571,36116,36922,143616
2026-07-11,35617,35850,35615,35615,206574
2026-07-12,34768,34768,34768,34768,200000
2026-07-13,34768,35528,34768,34875,41500
2026-07-14,34875,35410,34398,35140,129969
2026-07-15,35531,35531,34932,34932,8026
2026-07-18,34088,34088,34088,34088,307030
2026-07-19,34459,34459,33800,33800,3001
2026-07-20,34787,35450,34643,35450,11608
2026-07-21,35664,35700,35664,35695,71697
2026-07-22,35418,35894,35418,35634,73463
2026-07-25,35809,36627,35175,35175,17972
2026-07-26,36115,36124,35870,35882,118537
2026-07-27,37132,37132,35940,36380,31549
2026-07-28,36336,36811,36336,36811,7866
2026-07-29,36500,36680,36246,36596,56026463
2026-08-01,36194,36266,36194,36266,344684
2026-08-02,36711,36990,36711,36957,3429
2026-08-03,37419,37915,37419,37915,101415
2026-08-05,39048,39048,39000,39048,39695
2026-08-08,40183,40218,40183,40218,2008938
2026-08-09,41424,41424,39288,39677,2288844
2026-08-10,38812,40824,38812,40824,24737467
2026-08-11,40941,40944,40650,40650,132135
2026-08-15,40600,40600,40347,40377,57588
2026-08-16,40399,41405,40310,41405,53719
2026-08-17,41866,41866,41866,41866,1118557
2026-08-18,43121,43121,41320,41320,114554
2026-08-19,40819,42085,40819,42085,9514676
2026-08-22,42855,42855,42210,42240,8256585
2026-08-23,42972,42972,41865,41865,4601
2026-08-24,41992,42913,41992,42324,60800
2026-08-25,43666,43666,42514,43489,69934
2026-08-26,43591,44395,43591,44157,62844
2026-08-29,45024,45125,44760,44982,66744
2026-08-31,44784,45336,44534,45100,88869
2026-09-01,46254,46254,43931,43931,317111
2026-09-02,44665,45099,44248,45099,31932
2026-09-05,44460,45039,43937,45039,5453
2026-09-06,45872,45872,45010,45850,576459
2026-09-07,46300,46574,46300,46574,227059
2026-09-08,47694,47955,47694,47955,80640
2026-09-09,48866,49197,48586,49197,7407860
2026-09-12,50669,50669,50100,50669,57076952
2026-09-13,52188,52189,51163,51703,284716
2026-09-14,50346,52344,50075,50948,179163
2026-09-15,51559,51559,51240,51559,44731
2026-09-16,51538,52270,50882,51562,36954
2026-09-19,51562,51562,50328,50328,25029
2026-09-20,48826,49058,48826,49058,49867
