date,open,high,low,close,volume
2026-06-15,10000,10000,10000,10000,98000000
2026-06-16,10000,10000,10000,10000,100000000
2026-07-25,9940,10000,9900,10000,2419726
2026-07-26,10150,10175,9900,10001,6605515
2026-07-27,10097,10097,9760,10036,4151015
2026-07-28,9734,10043,9734,10000,2028744
2026-07-29,9866,10025,9865,10000,2442269
2026-08-01,9950,10000,9821,9867,705759
2026-08-02,10000,10199,9936,10194,5166280
2026-08-03,10343,10343,10021,10265,1146609
2026-08-05,10400,10463,10370,10461,1666788
2026-08-08,10600,10768,10600,10768,2240536
2026-08-09,11071,11071,10434,10435,2223510
2026-08-10,10250,10782,10155,10782,5890569
2026-08-11,10960,10960,10600,10700,1846473
2026-08-15,10890,10890,10392,10500,2584134
2026-08-16,10500,10778,10500,10680,3005021
2026-08-17,10850,10950,10850,10950,3859620
2026-08-18,11000,11278,11000,11240,1575911
2026-08-19,11598,11598,11290,11296,866434
2026-08-22,11600,11724,11600,11724,1097950
2026-08-23,12047,12047,11865,12019,1912880
2026-08-24,12015,12100,12000,12050,3123477
2026-08-25,12078,12372,12077,12372,1370053
2026-08-26,12697,12697,12697,12697,5452816
2026-08-29,12697,13077,12697,13077,2677050
2026-08-31,12775,13000,12717,12718,1677988
2026-09-01,12971,13123,12740,12755,5952469
2026-09-02,13392,13392,12612,12700,1374595
2026-09-05,12750,12800,12376,12550,3567770
2026-09-06,12600,13033,12600,13030,5213428
2026-09-07,13354,13373,13150,13373,17210155
2026-09-08,13705,13705,13486,13600,9627138
2026-09-09,13888,13888,13223,13599,4008951
2026-09-12,13200,13900,13200,13600,3270346
2026-09-13,13964,13964,13670,13710,4868093
2026-09-14,13930,14299,13620,13850,236336
2026-09-15,14300,14490,13901,14165,6814199
2026-09-16,14373,14373,13880,14080,509804
2026-09-19,13999,13999,13727,13729,517634
2026-09-20,13780,13780,13482,13650,1602629
