date,open,high,low,close,volume
2025-11-12,20678,20678,20498,20498,9978
2025-11-15,20787,20788,20787,20788,304
2025-11-16,20398,20788,20398,20450,23531
2025-11-17,20698,20998,20498,20998,101026
2025-11-19,20988,20998,20598,20598,21284
2025-11-22,20598,20998,20598,20598,2796
2025-11-23,21298,21333,20998,21333,7844
2025-11-25,21398,21740,21398,21739,859
2025-11-26,21698,21698,21698,21698,1100
2025-11-30,21798,21798,21298,21597,2333335
2025-12-01,21897,21898,21298,21598,124267
2025-12-02,21498,21698,21498,21698,39209
2025-12-03,21598,21798,21498,21798,163799
2025-12-06,21926,22198,21926,21948,70800
2025-12-07,22198,22298,21898,22298,169539
2025-12-08,22695,22695,22498,22498,11204
2025-12-09,22698,22898,22698,22898,117283
2025-12-10,23098,23098,23098,23098,19000
2025-12-13,23498,23598,23398,23398,100918
2025-12-14,23498,23788,23498,23698,9514
2025-12-15,23798,24098,23798,24098,23521
2025-12-16,24298,24598,23898,23898,349404
2025-12-17,24198,24298,24198,24297,127683
2025-12-20,24598,25025,24598,24948,126303
2025-12-21,25586,25586,24898,25198,528052
2025-12-22,25298,25298,25098,25098,366581
2025-12-23,25398,25498,25398,25498,214313
2025-12-24,25998,26198,25998,26198,1077057
2025-12-27,26498,26697,26299,26498,162269
2025-12-28,26498,26997,26498,26797,51327
2025-12-29,26897,26897,26498,26498,108578
2025-12-30,25998,25998,25921,25998,600512
2025-12-31,25998,26297,25800,26297,497353
2026-01-04,25998,26148,25898,26148,51532
2026-01-05,26298,26727,26298,26727,1020867
2026-01-06,26897,27457,26897,27457,890751
2026-01-07,27697,27697,27397,27597,181245
2026-01-10,27474,27597,27197,27197,337034
2026-01-11,27523,27697,27397,27597,45912
2026-01-12,28406,28406,27887,27998,87332
2026-01-13,28497,28497,27797,28196,92659
2026-01-14,28097,28097,27397,27597,726100
2026-01-18,27597,28147,27597,27857,299252
2026-01-19,27997,27997,27797,27797,21528
2026-01-20,27797,28146,27697,28146,107300
2026-01-21,28097,28097,27597,27897,809971
2026-01-24,27897,27897,27497,27597,2537
2026-01-25,27497,27497,26897,26897,450149
2026-01-26,26797,26797,26361,26398,350000
2026-01-27,25870,25870,25759,25759,115139
2026-01-28,25500,25550,25450,25550,107904
2026-01-31,25200,25200,24800,24800,370000
2026-02-01,24900,25300,24900,25300,211225
2026-02-02,25500,25600,25500,25500,182542
2026-02-03,25550,25550,25300,25350,102338
2026-02-07,25800,26149,25700,26149,384238
2026-02-08,26000,26400,26000,26100,306042
2026-02-09,25600,25600,25462,25500,240700
2026-02-10,25500,25500,25200,25200,330816
2026-02-14,25800,25800,25100,25100,100300
2026-02-15,24832,24832,24832,24832,8740
2026-02-16,24200,24450,24200,24450,805
2026-02-17,24500,24500,24500,24500,50000
2026-02-18,24700,24700,24100,24100,132639
2026-02-21,23650,23800,23650,23800,15415
2026-02-22,23100,23350,23100,23350,10569
2026-02-23,23500,23630,23350,23501,15558
2026-02-24,23100,23300,23100,23300,21724
2026-02-25,23550,23550,23400,23520,92000
2026-05-19,23520,24162,22756,22756,88988
2026-05-20,22220,22220,22205,22206,31789
2026-05-23,22877,22878,22864,22865,57906
2026-05-24,23551,23551,23551,23551,155048
2026-05-25,24257,24257,23800,23800,43088
2026-05-26,24100,24799,24100,24650,1822557
2026-05-30,25505,25505,25505,25505,216580
