date,open,high,low,close,volume
2025-11-16,9800,10070,9750,10000,4872215
2025-11-17,9970,10120,9950,9980,7065839
2025-11-18,9980,10010,9880,9910,1815784
2025-11-19,9980,10030,9900,10000,2202452
2025-11-22,9950,10050,9950,9960,2120588
2025-11-23,9980,10140,9980,10130,4020512
2025-11-25,10150,10360,10110,10280,8951883
2025-11-26,10120,10320,10090,10160,4041582
2025-11-29,10060,10200,9960,10000,2310341
2025-11-30,10100,10100,9930,10030,4792247
2025-12-01,10090,10200,10040,10060,3598934
2025-12-02,10100,10200,10050,10100,11957705
2025-12-03,10100,10300,10100,10210,16654175
2025-12-06,10270,10540,10250,10540,28656465
2025-12-07,10600,10750,10430,10480,13819112
2025-12-08,10420,10730,10420,10670,6795331
2025-12-09,10700,10840,10590,10740,9137257
2025-12-10,10630,11050,10630,10980,4545434
2025-12-13,10860,11270,10860,11120,14689423
2025-12-14,11160,11420,10940,11170,11887751
2025-12-15,11260,11490,11200,11330,14533372
2025-12-16,11360,11560,11270,11270,22037825
2025-12-17,11220,11380,11220,11350,1959670
2025-12-20,11350,11630,11350,11630,8924167
2025-12-21,11590,11790,11520,11610,8491775
2025-12-22,11620,11770,11460,11530,3681567
2025-12-23,11500,11860,11500,11840,6029817
2025-12-24,11880,12050,11830,12050,6289015
2025-12-27,12080,12330,12080,12250,7322330
2025-12-28,12210,12500,12020,12370,4757615
2025-12-29,12360,12360,12110,12130,4218951
2025-12-30,12020,12020,11840,11840,9032529
2025-12-31,11570,12190,11490,12190,6448249
2026-01-04,11720,11900,11660,11690,1203074
2026-01-05,11920,12050,11920,12050,1351761
2026-01-06,12400,12400,12400,12400,452092
2026-01-07,12770,12770,12390,12590,18281774
2026-01-10,12300,12350,12300,12300,5023391
2026-01-11,11950,12270,11940,12200,2058960
2026-01-12,12090,12410,11980,12410,1554339
2026-01-13,12680,12680,12010,12050,50890236
2026-01-14,11960,12060,11950,11950,1111026
2026-01-18,11950,12240,11780,11780,4334081
2026-01-19,11890,11990,11620,11700,10999740
2026-01-20,11630,11990,11530,11870,3900898
2026-01-21,11970,11970,11850,11920,3887571
2026-01-24,11680,11840,11570,11650,3185165
2026-01-25,11570,11570,11300,11360,1429240
2026-01-26,11290,11290,11000,11000,100995
2026-01-27,10700,10840,10700,10700,2303648
2026-01-28,10400,10700,10390,10390,657132
2026-01-31,10380,10390,10130,10310,1845759
2026-02-01,10300,10550,10050,10490,612904
2026-02-02,10400,10690,10400,10690,810573
2026-02-03,10660,10660,10370,10490,400233
2026-02-07,10790,10790,10790,10790,1510671
2026-02-08,11070,11070,10580,10790,2118752
2026-02-09,10600,10850,10530,10740,595328
2026-02-10,11000,11000,10580,10740,2517309
2026-02-14,10860,11040,10760,10780,3087266
2026-02-15,10650,10690,10530,10570,3806100
2026-02-16,10780,10780,10350,10780,360979
2026-02-17,10830,10870,10530,10620,359043
2026-02-18,10790,10790,10520,10620,821540
2026-02-21,10450,10450,10310,10320,1942109
2026-02-22,10300,10300,10030,10242,690916
2026-02-23,10251,10500,10251,10420,386241
2026-02-24,10200,10660,10200,10573,828030
2026-02-25,10599,10800,10599,10620,1225883
2026-05-19,10332,10967,10329,10967,5134905
2026-05-20,11117,11117,10971,11117,28558994
2026-05-23,11450,11450,11449,11450,16926533
2026-05-24,11793,11793,11793,11793,25031500
2026-05-25,12146,12146,12146,12146,44236493
2026-05-26,12510,12510,12112,12510,70999500
2026-05-30,12880,12880,12880,12880,20198558
2026-05-31,13266,13266,13266,13266,11375206
