date,open,high,low,close,volume
2025-11-16,12390,12680,12390,12680,8439967
2025-11-17,12950,12950,12450,12610,27005
2025-11-18,12800,12800,12490,12490,2909412
2025-11-19,12520,12700,12520,12520,9167655
2025-11-22,12800,12800,12800,12800,5400
2025-11-23,12740,12880,12740,12880,227468
2025-11-25,13170,13220,13000,13080,512737
2025-11-26,13050,13100,12960,12960,15349
2025-11-29,12830,12930,12680,12680,595779
2025-11-30,12490,12680,12490,12580,58307
2025-12-01,12740,12820,12690,12690,1315550
2025-12-02,12680,13060,12680,12820,7804750
2025-12-03,12940,13050,12940,13050,241600
2025-12-06,13360,13360,13360,13360,2754014
2025-12-07,13560,13560,13250,13480,579703
2025-12-08,13500,13750,13300,13670,2455705
2025-12-09,13650,13780,13500,13520,3087586
2025-12-10,13570,14080,13570,13950,678777
2025-12-13,14290,14290,14030,14040,272258
2025-12-14,14070,14090,13960,14010,254119
2025-12-15,14200,14200,14120,14200,12909139
2025-12-16,14390,14620,13910,14290,11173644
2025-12-17,14180,14550,14180,14300,311586
2025-12-20,14530,14800,14470,14800,3823356
2025-12-21,14600,14900,14600,14640,847450
2025-12-22,14550,14810,14480,14480,417608
2025-12-23,14430,14720,14430,14600,55831
2025-12-24,14760,15030,14760,15030,3699068
2025-12-27,15070,15100,14810,14820,414753
2025-12-28,15280,15400,14900,15220,463404
2025-12-29,15190,15190,14930,15150,668865
2025-12-30,14730,14740,14700,14700,537227
2025-12-31,14860,14970,14760,14760,1023469
2026-01-04,14540,14540,14520,14520,704437
2026-01-05,14400,14780,14400,14780,1348931
2026-01-06,15010,15020,15010,15020,7212579
2026-01-07,15040,15220,14650,14660,3115535
2026-01-10,14560,14600,14560,14560,3809955
2026-01-11,14680,14680,14130,14280,1435794
2026-01-12,14550,14550,14350,14550,16870
2026-01-13,14240,14240,14060,14080,70493
2026-01-14,13770,14550,13710,14550,66174
2026-01-18,13760,14090,13570,14090,15802
2026-01-19,14150,14170,13780,14010,187476
2026-01-20,14340,14340,14060,14260,21228
2026-01-21,14000,14610,14000,14610,593838
2026-01-24,14760,14760,13960,13960,80747
2026-01-25,13670,13670,13660,13660,51558
2026-01-26,13310,13370,13260,13350,185244
2026-01-27,12980,12980,12960,12960,16500
2026-01-28,12810,12810,12610,12610,6910
2026-01-31,12290,12290,12250,12250,404296
2026-02-01,12040,12220,12040,12220,875
2026-02-02,12520,12560,12370,12450,1816533
2026-02-03,12430,12510,12380,12510,13413
2026-02-07,12700,12760,12580,12760,206320
2026-02-08,12980,12980,12540,12540,3000800
2026-02-09,12200,12300,12170,12200,50327
2026-02-10,11890,12100,11890,12090,30639
2026-02-14,12270,12340,12240,12240,147121
2026-02-15,11930,11930,11920,11920,7900
2026-02-16,11630,11910,11630,11740,15757
2026-02-17,11690,11950,11690,11950,63445
2026-02-18,11890,11890,11670,11710,48645
2026-02-21,11700,11700,11420,11420,27588
2026-02-22,11252,11390,11230,11390,2149682
2026-02-23,11600,11600,11352,11352,6180
2026-02-24,11590,11590,11590,11590,1900
2026-02-25,11590,11700,11590,11700,8220
2026-05-19,11312,11894,11312,11768,6365058
2026-05-20,11735,11817,11735,11817,4523779
2026-05-23,12171,12171,12171,12171,5993021
2026-05-24,12536,12536,12536,12536,507831
2026-05-25,12912,12912,12912,12912,600100
2026-05-26,13299,13299,12915,13299,3434246
2026-05-30,13687,13687,13687,13687,500010
2026-05-31,14097,14097,14097,14097,1252133
2026-06-01,14519,14519,14519,14519,6567694
2026-06-02,14719,14954,14121,14954,10408400
2026-06-03,15227,15228,14918,15110,10728686
2026-06-06,15534,15537,15498,15537,7438620
2026-06-07,15992,15992,15992,15992,11676500
2026-06-08,15518,15748,15513,15515,15475169
2026-06-09,15984,15984,15984,15984,10462015
2026-06-10,16463,16463,16463,16463,17515517
2026-06-13,16956,16956,16956,16956,11800000
2026-06-14,17464,17464,17464,17464,1240000
2026-06-15,17987,17987,17987,17987,2100190
2026-06-16,18526,18526,18526,18526,42270421
2026-06-17,18890,19081,18526,19081,41508556
2026-06-20,19595,19595,18475,19594,72621567
2026-06-21,19500,19500,18849,18849,18694957
2026-06-22,18551,18848,18551,18681,17829659
2026-06-23,19110,19119,18502,18785,10307417
2026-06-27,18736,18824,18275,18300,10863505
2026-06-28,18065,18065,18065,18065,2005717
2026-06-29,17524,18106,17524,17999,5973722
2026-06-30,17910,18356,17694,17822,31689562
2026-07-01,17899,18434,17895,18434,10507697
2026-07-07,18895,18895,18622,18895,4433900
2026-07-08,19024,19460,18328,18328,10805748
2026-07-11,18519,18547,18519,18519,4839231
2026-07-12,17964,17964,17964,17964,500932
2026-07-13,17426,17426,17426,17426,511886
2026-07-14,16904,17000,16904,16904,862845
2026-07-15,17405,17405,16800,16910,666553
2026-07-18,16408,16425,16408,16408,3542740
2026-07-19,15916,16900,15916,16900,3810586
2026-07-20,16996,16996,16631,16996,1492758
2026-07-21,17486,17486,17350,17350,988441
2026-07-22,17710,17730,17500,17530,11130396
2026-07-25,17689,17689,17625,17625,485892
2026-07-26,18176,18176,17868,18176,8224345
2026-07-27,18700,18700,17721,18268,10392751
2026-07-28,18217,18724,18100,18217,1131239
2026-07-29,18226,18748,18221,18226,1367919
2026-08-01,18236,18479,18230,18254,1046013
2026-08-02,18786,18786,18405,18670,2910239
2026-08-03,19293,19293,19293,19293,6453208
2026-08-05,19871,19871,19871,19871,499779
2026-08-08,20467,20467,20467,20467,8419308
2026-08-09,21081,21081,20484,20516,15961022
2026-08-10,20901,21573,20900,21573,3822536
2026-08-11,21407,21837,21407,21837,2146913
2026-08-15,21907,21907,21504,21504,2939556
2026-08-16,21507,22376,21505,21900,9630075
2026-08-17,22370,22412,21810,22250,2428119
2026-08-18,22520,22857,22501,22857,1201210
2026-08-19,22521,22850,22519,22840,744101
2026-08-22,23240,23240,22612,23097,191623
2026-08-23,23440,23450,22834,23150,408842
2026-08-24,23250,23327,22743,23000,488825
2026-08-25,23800,23800,23340,23416,123916
2026-08-26,24019,24160,24010,24160,3386551
2026-08-29,24500,24868,24088,24868,1515736
2026-08-31,24740,25436,24740,25100,1503195
2026-09-01,25656,25741,24243,24243,1191840
2026-09-02,24441,24510,24441,24446,6766118
2026-09-05,24503,24511,23910,24300,3252417
2026-09-06,24879,24879,23800,24270,73150
2026-09-07,24900,24906,24900,24906,11776648
2026-09-08,25461,25653,25098,25324,1763643
2026-09-09,25207,25207,24658,24660,3566367
2026-09-12,24667,25105,24426,25080,294506
2026-09-13,25467,25536,25283,25536,8623187
2026-09-14,25201,26297,24790,26297,7626893
2026-09-15,26297,27032,26200,26416,1454387
2026-09-16,26416,26791,25979,26237,1279403
2026-09-19,27089,27089,25519,25519,261471
2026-09-20,25058,25058,24949,25000,426769
