date,open,high,low,close,volume
2026-02-22,10000,10000,10000,10000,290973016
2026-02-23,10000,10000,10000,10000,174373760
2026-05-24,10667,10978,10667,10897,752278157
2026-05-25,10880,10880,10500,10731,459251972
2026-05-26,10733,10873,10733,10835,118663615
2026-05-30,11090,11131,10972,11131,248790225
2026-05-31,11255,11399,11095,11191,222463958
2026-06-01,11230,11240,11214,11219,356109602
2026-06-02,11216,11400,11174,11299,103981327
2026-06-03,11286,11327,11218,11228,31957397
2026-06-06,11281,11617,11228,11617,43942463
2026-06-07,11535,11873,11535,11873,18777612
2026-06-08,11511,11511,11511,11511,14165027
2026-06-09,11855,11856,11713,11856,7335171
2026-06-10,12211,12211,11857,12200,35425966
2026-06-13,12360,12360,12360,12360,5453013
2026-06-14,12730,12730,12730,12730,5061294
2026-06-15,13111,13111,13111,13111,6371335
2026-06-16,13504,13504,13204,13263,46479811
2026-06-17,13210,13823,13096,13823,46378780
2026-06-20,14090,14090,13270,13399,33855563
2026-06-21,13400,13409,13190,13190,13570423
2026-06-22,12922,13300,12913,13190,9606556
2026-06-23,13000,13381,12993,13221,16555014
2026-06-27,12880,13111,12720,12985,5986347
2026-06-28,12401,12500,12399,12399,5207181
2026-06-29,12080,12769,12028,12600,3002871
2026-06-30,12599,12788,12599,12699,4560820
2026-07-01,12900,13085,12690,12960,23048298
2026-07-07,13380,13381,13176,13381,2568194
2026-07-08,12922,13394,12921,12921,5778656
2026-07-11,12710,12712,12710,12710,6857958
2026-07-12,12329,12329,12329,12329,13174592
2026-07-13,11960,12250,11960,11960,8712303
2026-07-14,11603,11950,11602,11608,6279627
2026-07-15,11454,11993,11450,11450,728655
2026-07-18,11302,11779,11302,11302,21529166
2026-07-19,11125,11813,11125,11497,1425939
2026-07-20,11593,11593,11593,11593,8283483
2026-07-21,11939,11940,11709,11940,1405468
2026-07-22,12002,12269,11800,11800,2591584
2026-07-25,11932,12260,11922,11936,239069
2026-07-26,12279,12349,12279,12349,9459122
2026-07-27,12719,12719,12719,12719,8811473
2026-07-28,12900,13100,12747,13100,4387091
2026-07-29,12550,13310,12550,13192,2482232
2026-08-01,13192,13192,13002,13186,576800
2026-08-02,13485,13485,13311,13485,2259302
2026-08-03,13877,13877,13877,13877,4846384
2026-08-05,14293,14293,14293,14293,17828348
2026-08-08,14721,14721,14721,14721,6373614
2026-08-09,15162,15162,14454,14740,19656840
2026-08-10,14820,15390,14689,15390,12983223
2026-08-11,15385,15447,15160,15160,1357572
2026-08-15,15515,15515,14754,14754,15854306
2026-08-16,14560,15218,14518,15199,4051549
2026-08-17,15418,15418,15200,15418,7175913
2026-08-18,15501,15877,15381,15500,5960726
2026-08-19,15990,15990,15549,15555,3185027
2026-08-22,16080,16141,15797,16141,18819116
2026-08-23,16041,16522,16012,16442,15908768
2026-08-24,16229,16749,15863,16202,3059262
2026-08-25,15740,16697,15740,16580,5590330
2026-08-26,16986,16986,16652,16986,17824994
2026-08-29,17278,17488,16987,17488,12178188
2026-08-31,16886,17650,16886,17500,11979902
2026-09-01,17934,17950,16906,17419,8537337
2026-09-02,16840,17300,16840,17300,14433068
2026-09-05,16901,17376,16869,17360,7270125
2026-09-06,17490,17539,16992,17399,5749837
2026-09-07,17889,17889,17555,17889,14946909
2026-09-08,17930,18424,17738,18424,9635169
2026-09-09,18692,18693,17991,18300,1642130
2026-09-12,18699,18746,18256,18746,16407445
2026-09-13,19250,19294,18714,19145,19341752
2026-09-14,19554,19554,19000,19170,31281471
2026-09-15,19102,19657,19102,19654,7471825
2026-09-16,20118,20219,19411,20149,6209578
2026-09-19,19812,20405,19217,19268,2364959
2026-09-20,19164,20100,18937,19519,1948116
