date,open,high,low,close,volume
2026-08-16,10000,10000,10000,10000,990000000
2026-09-07,10550,10865,10498,10670,140193496
2026-09-08,10750,10837,10610,10681,136702768
2026-09-09,10687,10687,10372,10436,45640963
2026-09-12,10500,10632,10221,10610,97624641
2026-09-13,10719,10824,10604,10730,92271044
2026-09-14,10800,10800,10592,10715,35165827
2026-09-15,10710,11019,10691,11019,65431974
2026-09-16,11101,11290,10891,11049,87197733
2026-09-19,11100,11100,10733,10739,43318862
2026-09-20,10591,10650,10578,10600,22820577
