date,open,high,low,close,volume
2026-05-31,10000,10000,10000,10000,398000000
2026-06-27,10000,10001,9700,9777,32300730
2026-06-28,9611,9611,9611,9611,18505673
2026-06-29,9323,9638,9323,9620,30645725
2026-06-30,9590,9642,9455,9642,6204091
2026-07-01,9799,9920,9605,9920,2877941
2026-07-07,10040,10160,10005,10160,6137138
2026-07-08,10130,10180,9847,9847,5233173
2026-07-11,9595,9865,9592,9592,6724443
2026-07-12,9305,9309,9305,9305,4391568
2026-07-13,9026,9190,9026,9160,5728625
2026-07-14,8770,8910,8757,8757,7323539
2026-07-15,8552,8948,8497,8661,2926042
2026-07-18,8270,8750,8257,8257,3416144
2026-07-19,8011,8250,8011,8180,2723845
2026-07-20,8274,8277,8220,8277,420067
2026-07-21,8523,8523,8523,8523,5072852
2026-07-22,8778,8778,8778,8778,2202593
2026-07-25,9041,9041,8783,9030,1981347
2026-07-26,9281,9281,9281,9281,2294650
2026-07-27,9549,9559,9100,9559,6136878
2026-07-28,9719,9738,9500,9738,1015163
2026-07-29,9738,9975,9685,9960,8237357
2026-08-01,9950,10178,9949,10133,57759278
2026-08-02,10258,10410,10173,10410,72654424
2026-08-03,10422,10652,10422,10652,2415479
2026-08-05,10971,10971,10716,10971,8477812
2026-08-08,11100,11300,11100,11300,15561093
2026-08-09,11448,11448,10953,10953,3070905
2026-08-10,10695,10830,10695,10753,15875532
2026-08-11,10527,10700,10385,10490,2708290
2026-08-15,10157,10253,10135,10135,4693788
2026-08-16,10000,10441,10000,10441,6765018
2026-08-17,10749,10749,10749,10749,3386550
2026-08-18,11071,11071,10749,11071,19846858
2026-08-19,10736,11390,10736,11360,1588868
2026-08-22,11564,11564,11232,11390,1425747
2026-08-23,11360,11629,11360,11366,5404975
2026-08-24,11608,11858,11308,11430,27099253
2026-08-25,11800,11823,11590,11710,4594003
2026-08-26,11799,11800,11696,11740,1852783
2026-08-29,11769,12100,11754,12082,3468358
2026-08-31,12190,12190,11617,12020,9799044
2026-09-01,12008,12200,11585,11585,4889427
2026-09-02,11613,11750,11613,11750,2886944
2026-09-05,11948,11948,11317,11608,126454
2026-09-06,11889,11889,11413,11780,492252
2026-09-07,11874,12074,11724,12074,4283178
2026-09-08,12210,12320,12100,12238,1086574
2026-09-09,12251,12299,12070,12298,2065356
2026-09-12,12500,12591,12100,12355,11133274
2026-09-13,12668,12668,12250,12490,14877784
2026-09-14,12450,12450,12111,12161,4526937
2026-09-15,12199,12561,12199,12561,20457716
2026-09-16,12930,12930,12561,12619,12968581
2026-09-19,12382,12764,12382,12382,390811
2026-09-20,12260,12260,12260,12260,1319976
