date,open,high,low,close,volume
2025-11-05,229500,230500,229500,230500,387
2025-11-08,228800,228800,228800,228800,139
2025-11-09,222600,222600,221940,221940,58
2025-11-10,220000,220000,220000,220000,225
2025-11-11,222200,222200,221000,221000,70050
2025-11-12,223350,223350,220000,220000,17
2025-11-15,220000,224400,220000,224400,37
2025-11-16,220000,225000,220000,225000,621
2025-11-17,223000,223000,223000,223000,1422
2025-11-18,224000,224000,224000,224000,1650
2025-11-19,224500,224500,224500,224500,900000
2025-11-22,225700,225700,225700,225700,908
2025-11-23,227930,227930,227920,227920,35200
2025-11-25,229000,229000,229000,229000,1350
2025-11-26,232500,232500,229000,229000,197
2025-11-29,229500,230000,229000,230000,110
2025-11-30,230000,232000,230000,232000,100
2025-12-01,232000,232000,232000,232000,258
2025-12-02,235500,235500,235500,235500,12
2025-12-03,232000,233000,232000,233000,60
2025-12-06,235150,239700,235150,239700,55
2025-12-07,236010,237600,233000,233000,2063
2025-12-08,239600,239600,239600,239600,67
2025-12-09,239000,246780,238000,245900,5401
2025-12-10,243000,246800,243000,246800,35372
2025-12-13,245000,247800,245000,247800,3421
2025-12-14,244000,252000,244000,252000,1105
2025-12-15,258020,258020,253000,257200,82595
2025-12-16,260710,260710,255610,255610,4565
2025-12-17,259520,264710,259520,264000,6939
2025-12-20,270200,271780,270200,271770,11575
2025-12-21,273780,278890,271500,275000,4528
2025-12-22,278000,278000,275000,276000,1133
2025-12-23,280500,280500,275000,278000,6179
2025-12-24,276000,285810,276000,285810,37163
2025-12-27,293000,293000,289000,290000,3030
2025-12-28,290700,290700,285500,290490,36734
2025-12-29,291800,291800,281000,286590,7421
2025-12-30,280000,281630,276110,276110,5584
2025-12-31,282500,282500,282500,282500,419
2026-01-04,282200,282200,274030,274030,1360
2026-01-05,283000,284100,280900,281000,4144
2026-01-06,286500,287600,286500,287600,4043
2026-01-07,286000,288590,285000,285100,925
2026-01-10,281000,281000,280000,280000,5175
2026-01-11,282000,284490,280000,280000,46
2026-01-12,285010,288500,285010,285020,250
2026-01-13,286000,286000,280400,285900,77
2026-01-14,278500,278500,276630,277500,454
2026-01-18,281960,285850,280730,285850,1256
2026-01-19,287000,289680,287000,289680,358
2026-01-20,287310,287310,287300,287300,250
2026-01-21,291990,291990,287340,287340,342
2026-01-24,285300,285300,280000,280000,40136
2026-01-25,273440,273440,273440,273440,1091
2026-01-26,265240,265240,265240,265240,10295
2026-01-27,257290,257290,257290,257290,1333
2026-01-28,249580,254910,249580,254910,222
2026-02-01,255000,255000,255000,255000,50
2026-02-02,262650,262650,262650,262650,39
2026-02-03,262000,262000,262000,262000,75
2026-02-07,269860,269860,269860,269860,2054
2026-02-08,270000,271000,266000,268000,4861
2026-02-10,261720,261720,261720,261720,9
2026-02-14,260000,260000,260000,260000,32
2026-02-17,259740,259740,259740,259740,19
2026-02-18,261610,261620,261610,261620,10062
2026-02-21,253780,253780,253780,253780,34
2026-02-22,246167,246167,246167,246167,11
2026-02-23,251300,251300,246167,251300,1153
2026-02-25,252300,252300,252300,252300,11
2026-05-19,244731,244731,244731,244731,165
2026-05-20,237400,252072,237390,239000,7098
2026-05-24,253621,253621,253621,253621,5733
2026-05-25,253621,261229,253621,261229,19298
2026-05-26,261200,267946,261200,267946,1385
2026-05-30,259508,275558,259508,275558,213291
2026-06-01,282482,282482,266029,266030,245103
2026-06-02,266029,270305,262315,262315,47269
2026-06-03,270483,270483,254732,254732,38816
2026-06-06,259937,259937,255037,255037,9371
2026-06-07,266697,266697,258933,265798,17544
2026-06-08,252636,252636,252636,252636,15642
2026-06-09,252730,260215,252730,260215,9246
2026-06-10,267000,267900,267000,267900,4436
2026-06-13,275719,275719,275719,275719,204800
2026-06-14,283990,283990,280000,283990,408586
2026-06-15,291502,291502,291300,291502,651239
2026-06-16,300241,300241,282753,285855,365379
2026-06-17,281340,297000,281338,294000,233769
2026-06-20,296000,296000,280177,280180,291332
2026-06-21,289998,289999,273230,273230,86108
2026-06-22,265529,276000,265529,272000,6674
2026-06-23,270000,278977,270000,278874,12004
2026-06-27,278426,286777,278426,286769,10229
2026-06-28,286545,291440,276000,288999,30581
