date,open,high,low,close,volume
2025-11-16,19630,19630,19380,19550,76410
2025-11-17,19790,19790,19480,19480,199083
2025-11-18,19700,19700,19460,19460,197593
2025-11-19,19660,19870,19480,19480,169826
2025-11-22,19690,19690,19580,19580,285300
2025-11-23,19680,19980,19680,19810,386617
2025-11-25,20150,20250,20140,20200,2200897
2025-11-26,20240,20240,20000,20000,289414
2025-11-29,20000,20290,19980,20000,114223
2025-11-30,19960,20030,19430,19890,522147
2025-12-01,20180,20250,19960,20000,640046
2025-12-02,20220,20330,20100,20140,4188280
2025-12-03,20350,20720,20160,20720,2695472
2025-12-06,20900,21050,20900,21050,412265
2025-12-07,21500,21500,21000,21000,353
2025-12-08,21400,21520,21400,21520,121637
2025-12-09,21570,21600,21570,21600,10000
2025-12-10,21830,21880,21500,21800,1316708
2025-12-13,22220,22360,22220,22360,10646
2025-12-14,22000,22250,21960,22240,13253
2025-12-15,22180,22530,22180,22530,3885
2025-12-16,22900,23020,22660,22990,1053000
2025-12-17,23030,23070,22680,22950,666465
2025-12-20,23260,23470,23100,23470,155976
2025-12-21,23600,23880,23500,23880,166772
2025-12-22,23880,23900,23300,23300,63556
2025-12-23,24010,24130,23730,24000,30536
2025-12-24,24260,24620,24200,24270,52653
2025-12-27,24730,25010,24570,24570,124241
2025-12-28,25000,25440,25000,25440,5904
2025-12-29,25040,25410,24720,24720,627047
2025-12-30,24620,24620,24230,24230,507016
2025-12-31,24200,24850,24100,24800,131860
2026-01-04,24600,24810,24530,24530,7658
2026-01-05,24790,25300,24790,24910,156275
2026-01-06,25400,25640,25400,25640,55599
2026-01-07,25940,26370,25680,26200,863758
2026-01-10,25940,26650,25640,25640,44692
2026-01-11,26110,26510,26100,26350,1553435
2026-01-12,26600,26880,26600,26870,762021
2026-01-13,27090,27090,26420,26850,16677
2026-01-14,26860,26860,25980,26320,14674
2026-01-18,26480,26480,26340,26360,47672
2026-01-19,26880,26980,26820,26820,195444
2026-01-20,26830,27100,26580,26720,2288
2026-01-21,27190,27190,27030,27030,11075
2026-01-24,26760,26760,26260,26260,17880
2026-01-25,26080,26080,25490,25520,77036
2026-01-26,25480,25480,24810,24810,207165
2026-01-27,24880,24880,24380,24380,190053
2026-01-28,24660,24730,24660,24730,3509
2026-01-31,24280,24280,24280,24280,21982
2026-02-01,23640,24500,23580,24500,62952
2026-02-02,24320,24320,24190,24200,39578
2026-02-03,24740,24750,24740,24750,170
2026-02-07,24820,25320,24820,25310,229999
2026-02-08,25730,25730,24880,25300,20429
2026-02-09,25330,25330,25320,25320,500
2026-02-10,24610,24620,24600,24610,17010
2026-02-14,24790,24790,24690,24690,800
2026-02-15,24690,24790,24380,24380,2345
2026-02-16,24580,24580,23830,23830,264095
2026-02-17,23640,23640,23180,23180,1328182
2026-02-18,23180,23180,23180,23180,460
2026-02-21,23130,23130,22940,22940,26276
2026-02-22,22540,22540,22540,22540,2387
2026-02-23,23215,23216,22890,22890,797
2026-02-24,22850,22850,22850,22850,45
2026-02-25,22910,22910,22540,22540,23932
2026-05-19,22590,22960,21909,21910,6231998
2026-05-20,21700,22500,21700,22500,67511
2026-05-23,22850,23073,22850,23073,426684
2026-05-24,23500,23725,23500,23725,1125161
2026-05-25,24100,24436,23890,24049,2716160
2026-05-26,24241,24770,24241,24770,2290618
2026-05-30,25100,25344,25100,25344,1291937
2026-05-31,26100,26100,26000,26100,139340
2026-06-01,26870,26878,25521,25583,2161889
2026-06-02,26760,27246,26000,27130,1671340
2026-06-03,27190,27569,26100,27498,4113280
2026-06-06,27799,27813,27500,27813,7820321
2026-06-07,28629,28629,28500,28629,276037
2026-06-08,27750,28629,27750,28000,873432
2026-06-09,28350,28792,28350,28792,8400414
2026-06-10,28570,29651,28570,29651,308205
2026-06-13,30232,30232,30232,30232,3618914
2026-06-14,31138,31138,31138,31138,2400000
2026-06-15,32072,32072,32072,32072,3017860
2026-06-16,33034,33034,31130,31500,4159087
2026-06-17,31995,32100,31995,32099,1212430
2026-06-20,32620,32620,31220,31799,295535
2026-06-21,31410,31950,31332,31937,3921435
2026-06-22,31520,31520,30483,30999,325258
2026-06-23,31700,31708,31150,31708,1118811
2026-06-27,32250,32250,30646,30990,4061527
2026-06-28,31720,31720,30911,30911,2021899
2026-06-29,31720,31840,30177,31840,1714854
2026-06-30,31276,31276,29457,29655,216971
2026-07-01,30798,31721,30798,31721,4856337
2026-07-07,32250,32549,32200,32549,1564368
2026-07-08,33300,33480,32200,32650,475870
2026-07-11,32850,32850,31816,31816,204603
2026-07-12,31080,31100,30990,31100,7026
2026-07-13,30220,30740,30220,30740,1664788
2026-07-14,30110,30680,30100,30670,67213
2026-07-15,30740,30920,30740,30910,1013214
2026-07-18,30590,30590,29982,29982,192225
2026-07-19,29108,30100,29108,29990,209989
2026-07-20,29900,29982,29900,29980,269650
2026-07-21,30600,30879,30361,30873,415508
2026-07-22,31420,31420,31420,31420,280
2026-07-25,32359,32362,31830,32358,14947
2026-07-26,32740,33090,32740,33080,27256
2026-07-27,33560,33927,32980,33927,200243
2026-07-28,34547,34548,33800,33800,127216
2026-07-29,32995,32995,32995,32995,69623
2026-08-01,32800,32800,32006,32006,789115
2026-08-02,32250,32830,32250,32500,1082794
2026-08-03,32880,33487,32880,33487,2262989
2026-08-05,34479,34479,34479,34479,120031
2026-08-08,34530,35513,34530,35513,566970
2026-08-09,36110,36110,34337,35495,330325
2026-08-10,36059,36060,36059,36060,292515
2026-08-11,37141,37141,37141,37141,583898
2026-08-15,37950,37950,36027,36027,1548084
2026-08-16,36220,37000,36140,36417,2033914
2026-08-17,36880,37572,36800,37572,8124767
2026-08-18,38301,38301,37630,38301,6219587
2026-08-19,37900,39450,37900,39450,309521
2026-08-22,39480,40249,39480,40249,449363
2026-08-23,41335,41335,41000,41000,108421
2026-08-24,41820,41820,40006,40072,939246
2026-08-25,40580,41336,40520,41330,435308
2026-08-26,40800,42249,40001,40500,3429749
2026-08-29,40900,41831,40300,40900,2708607
2026-08-31,41100,42976,41100,42220,3775060
2026-09-01,43807,43807,41265,41266,1830631
2026-09-02,41608,42840,41608,42748,467108
2026-09-05,42440,42898,41000,42898,3082860
2026-09-06,42347,42347,41803,42300,1979218
2026-09-07,42850,43201,41801,43201,1383289
2026-09-08,44119,44119,44000,44119,5236183
2026-09-09,44820,45437,44430,44650,818995
2026-09-12,46460,46594,45797,46594,1242498
2026-09-13,46942,47759,44993,47700,4918444
2026-09-14,46930,46930,45050,45050,1094715
2026-09-15,45890,46729,45890,46729,5624967
2026-09-16,48035,48035,47312,48035,1108182
2026-09-19,48550,48550,46125,46280,1169610
2026-09-20,46510,46510,45132,46400,323339
