date,open,high,low,close,volume
2025-10-28,10000,10000,10000,10000,68589337
2025-10-29,10000,10000,10000,10000,29410663
2025-11-01,10000,10000,10000,10000,1245395
2025-11-02,10000,10000,10000,10000,728485
2025-11-03,10000,10000,10000,10000,3564849
2025-12-28,10300,10600,10290,10300,2213716
2025-12-29,10630,10630,10015,10135,3560999
2025-12-30,10050,10070,9930,10000,531893
2025-12-31,10050,10245,10000,10086,3567981
2026-01-04,10210,10310,9827,10160,418712
2026-01-05,10250,10400,10160,10329,3209016
2026-01-06,10410,10532,10300,10457,5391273
2026-01-07,10690,10690,10150,10260,2119404
2026-01-10,10041,10330,10041,10041,1852582
2026-01-11,10299,10346,10000,10330,956462
2026-01-12,10460,10490,10350,10488,425559
2026-01-13,10760,10760,10360,10630,705672
2026-01-14,10800,10800,10330,10680,532217
2026-01-18,10890,10950,10620,10898,1377643
2026-01-19,11095,11095,10640,10998,954855
2026-01-20,10800,11177,10711,10898,1548801
2026-01-21,10997,10998,10700,10803,150110
2026-01-24,10477,11000,10477,10699,403946
2026-01-25,10509,10509,10509,10509,1375701
2026-01-26,10350,10700,10194,10194,1123036
2026-01-27,9966,10500,9966,10240,2111021
2026-01-28,10200,10250,10040,10200,1047444
2026-01-31,10250,10480,9881,9934,1849211
2026-02-01,9990,10279,9988,10270,523440
2026-02-02,10439,10440,10350,10429,149557
2026-02-03,10450,10700,10400,10480,439934
2026-02-07,10610,10650,10601,10650,207297
2026-02-08,10750,10750,10600,10600,854031
2026-02-09,10450,10500,10337,10337,2230604
2026-02-10,10400,10450,10103,10450,1263039
2026-02-14,10620,10620,10200,10200,465580
2026-02-15,10150,10150,10028,10028,875851
2026-02-16,10005,10098,9786,10040,449953
2026-02-17,10030,10050,10000,10030,660800
2026-02-18,10150,10150,9800,9950,868100
2026-02-21,9770,9815,9750,9800,1095084
2026-02-22,9733,9733,9600,9700,135312
2026-02-23,9750,9750,9700,9700,30000
2026-02-24,9651,9700,9651,9700,102500
2026-02-25,9750,9750,9710,9710,60000
2026-05-19,9439,9439,9439,9439,71128
2026-05-20,9156,9156,9156,9156,85624
2026-05-23,9200,9430,9200,9430,142761
2026-05-24,9634,9634,9633,9634,511051
2026-05-25,9635,9922,9450,9724,121548
2026-05-26,9380,9850,9380,9846,524117
2026-05-30,9923,9955,9923,9955,414551
2026-05-31,10250,10251,10050,10251,1904284
2026-06-01,10550,10550,9940,9940,853825
2026-06-02,10320,10623,10150,10438,1323028
2026-06-03,10619,10619,10030,10400,986395
2026-06-06,10500,10540,10301,10460,502760
2026-06-07,10700,10775,10625,10770,4018176
2026-06-08,10460,10698,10405,10405,1014093
2026-06-09,10728,10735,10711,10735,3017457
2026-06-10,11055,11057,10900,11028,2159228
2026-06-13,11370,11370,11370,11370,809788
2026-06-14,11711,11711,11711,11711,1814067
2026-06-15,12062,12062,12062,12062,3218285
2026-06-16,12423,12423,12076,12350,5208393
2026-06-17,12500,12703,12000,12669,1900515
2026-06-20,12750,12799,12059,12059,1722234
2026-06-21,12300,12300,11852,11852,771834
2026-06-22,11576,11890,11576,11621,1371730
2026-06-23,11800,11931,11800,11895,213436
2026-06-27,12229,12240,11545,11799,1189993
2026-06-28,12138,12250,11540,12000,1159473
2026-06-29,12227,12227,11521,11700,1879482
2026-06-30,12120,12120,11830,12044,1727791
2026-07-01,11800,12387,11800,12171,914046
2026-07-07,12500,12558,12410,12558,723670
2026-07-08,12850,12927,12178,12178,1191249
2026-07-11,12890,12890,12220,12451,373174
2026-07-12,12780,12780,12289,12289,658882
2026-07-13,12650,12650,12283,12283,613226
2026-07-14,12790,12790,12101,12190,1196400
2026-07-15,12577,12577,12051,12140,803855
2026-07-18,12550,12550,12008,12008,744252
2026-07-19,12399,12399,11954,11954,1053364
2026-07-20,12440,12440,11777,12030,2841325
2026-07-21,12400,12400,12030,12275,2479628
2026-07-22,12450,12450,12001,12150,998284
2026-07-25,12050,12257,11920,11951,1413822
2026-07-26,12380,12440,12319,12440,4825430
2026-07-27,12750,12785,12400,12785,4853505
2026-07-28,13000,13000,12621,12890,4659214
2026-07-29,13050,13200,12585,13140,2793692
2026-08-01,13189,13300,12801,13198,4360048
2026-08-02,13600,13630,13200,13580,4407041
2026-08-03,13900,13966,13647,13799,847039
2026-08-05,14200,14244,14000,14229,1180727
2026-08-08,14598,14622,14504,14622,1219288
2026-08-09,15000,15000,14171,14490,1471849
2026-08-10,14800,14800,14300,14750,668017
2026-08-11,14939,15080,14801,14810,3953628
2026-08-15,15500,15500,14750,15250,618877
2026-08-16,15786,15786,15310,15575,109653
2026-08-17,15790,15970,15575,15637,249957
2026-08-18,15899,15900,15780,15780,148500
2026-08-19,15850,15889,15351,15500,774593
2026-08-22,16000,16000,15550,15900,411675
2026-08-23,16250,16389,15465,16120,425603
2026-08-24,16000,16400,15900,16001,336055
2026-08-25,16450,16719,16400,16690,1460940
2026-08-26,16890,16901,16890,16901,171249
2026-08-29,17398,17398,17289,17289,495699
2026-08-31,17305,17480,16783,16783,319620
2026-09-01,17290,17440,16800,16800,156327
2026-09-02,16721,17311,16721,17311,348693
2026-09-05,17334,17334,17000,17010,1354037
2026-09-06,17700,17700,17691,17698,61240
2026-09-07,18000,18050,17712,18000,141867
2026-09-08,18529,18530,18013,18530,455943
2026-09-09,18909,18909,18659,18659,68320
2026-09-12,19259,19259,19100,19258,113178
2026-09-13,19700,19773,18750,19750,76735
2026-09-14,19000,20174,19000,19950,86551
2026-09-15,20118,20118,19010,19240,382099
2026-09-16,19770,19770,19580,19580,42010
2026-09-19,19100,19800,19062,19062,127988
2026-09-20,19350,19350,19200,19200,15000
