date,open,high,low,close,volume
2025-11-16,10310,10360,10310,10360,92996
2025-11-17,10550,10550,10330,10410,31440769
2025-11-18,10360,10450,10340,10340,4368011
2025-11-19,10350,10350,10340,10340,10670600
2025-11-22,10370,10430,10340,10340,13788423
2025-11-23,10430,10510,10420,10510,11520785
2025-11-25,10670,10670,10560,10560,1023074
2025-11-26,10570,10580,10480,10580,4001100
2025-11-29,10480,10480,10300,10300,22705794
2025-11-30,10280,10300,10280,10300,13945
2025-12-01,10430,10430,10360,10400,11001300
2025-12-02,10380,10490,10380,10430,14594772
2025-12-03,10500,10550,10480,10500,4892976
2025-12-06,10730,10750,10710,10740,1302838
2025-12-07,10880,10900,10850,10850,15298
2025-12-08,10850,10890,10850,10890,2520
2025-12-09,10940,10980,10940,10940,1004590
2025-12-10,11040,11130,11040,11120,9610000
2025-12-13,11230,11230,11170,11170,187470
2025-12-14,11080,11230,11080,11230,3295
2025-12-15,11250,11370,11250,11370,4579490
2025-12-16,11470,11470,11220,11230,556835
2025-12-17,11300,11390,11300,11390,20529
2025-12-20,11540,11610,11540,11610,210665
2025-12-21,11610,11680,11610,11640,40538
2025-12-22,11730,11730,11530,11530,10780
2025-12-23,11670,11820,11670,11820,11279
2025-12-24,12020,12020,11920,11950,1089199
2025-12-27,12120,12230,12090,12130,7284
2025-12-28,12120,12320,12120,12310,552437
2025-12-29,12060,12090,12060,12090,582
2025-12-30,11800,11800,11800,11800,425
2025-12-31,11740,12090,11720,11990,5162119
2026-01-04,11950,11820,11600,11720,133664
2026-01-05,12060,12060,11950,12000,3965315
2026-01-06,12360,12360,12190,12360,36825647
2026-01-07,12410,12420,12290,12290,41131336
2026-01-10,11950,12010,11950,12000,21615392
2026-01-11,11980,12020,11900,12010,183899
2026-01-12,12260,12260,11980,12020,5021906
2026-01-13,12130,12300,11870,11870,5192
2026-01-14,11540,11540,11540,11540,1606
2026-01-18,11640,11640,11640,11640,2471
2026-01-19,11960,11960,11620,11620,12001540
2026-01-20,11670,11830,11670,11830,4226461
2026-01-21,11990,11990,11890,11890,530
2026-01-24,11720,11720,11620,11620,4172
2026-01-25,11480,11480,11280,11280,12009271
2026-01-26,11170,11170,10970,10970,425
2026-01-27,10890,10890,10700,10700,5276
2026-01-28,10560,10560,10470,10470,5190
2026-01-31,10360,10360,10200,10200,10016155
2026-02-01,10200,10350,10170,10350,813
2026-02-02,10520,10560,10520,10540,54064
2026-02-03,10590,10590,10440,10440,4419042
2026-02-07,10750,10750,10750,10750,15002500
2026-02-08,11070,11070,10500,10780,10795383
2026-02-09,10570,10570,10560,10560,4528208
2026-02-10,10260,10600,10260,10600,4559
2026-02-14,10400,10400,10400,10400,99
2026-02-15,10370,10370,10370,10370,51297
2026-02-16,10090,10310,10090,10250,40958
2026-02-17,10320,10340,10250,10340,38579
2026-02-18,10070,10070,10040,10040,5001064
2026-02-21,9910,9910,9910,9910,1000
2026-02-22,9762,9762,9613,9613,75191
2026-02-23,9850,9850,9850,9850,200
2026-02-24,9850,9850,9850,9850,546
2026-02-25,9885,9885,9885,9885,143
2026-05-19,9589,9589,9589,9589,400
2026-05-20,9700,9876,9700,9850,401109
2026-05-23,10145,10145,10145,10145,2401000
2026-05-24,10449,10449,10449,10449,1915000
2026-05-25,10762,10762,10762,10762,7500492
2026-05-26,11049,11084,11025,11084,13013951
2026-05-30,11368,11368,11368,11368,15000000
2026-05-31,11709,11709,11709,11709,15823489
2026-06-01,12060,12060,11990,12060,37868864
2026-06-02,12420,12420,12200,12420,8943521
2026-06-03,12700,12755,12102,12306,14348509
2026-06-06,12800,12945,12690,12945,35975834
2026-06-07,13280,13309,13268,13309,16439830
2026-06-08,12899,12899,12899,12899,3005043
2026-06-09,13285,13285,13200,13285,50979250
2026-06-10,13669,13682,12902,13682,39435365
2026-06-13,14033,14033,14033,14033,38784740
2026-06-14,14453,14453,14453,14453,9382025
2026-06-15,14886,14886,14886,14886,2850539
2026-06-16,15332,15332,14450,15091,70874548
2026-06-17,15350,15703,14789,15703,54384847
2026-06-20,16093,16093,15157,15297,56810023
2026-06-21,15122,15122,15122,15122,4403647
2026-06-22,14669,14669,14669,14669,4691898
2026-06-23,14283,15000,14283,14852,49449878
2026-06-27,14920,15060,14600,14700,27804594
2026-06-28,15100,15200,14453,14453,21013863
2026-06-29,15299,15400,14680,15250,14785854
2026-06-30,15600,15700,14850,15350,10488729
2026-07-01,15800,15820,15202,15430,23899322
2026-07-07,15899,15899,15526,15778,24123011
2026-07-08,15943,16190,15265,15265,12664312
2026-07-11,15312,15312,15312,15312,2859455
2026-07-12,14853,14853,14853,14853,2851675
2026-07-13,14408,14408,14408,14408,2871712
2026-07-14,14800,14800,13976,14178,10556062
2026-07-15,14749,14900,14135,14335,15446820
2026-07-18,14369,14369,14369,14369,2852630
2026-07-19,13938,13938,13938,13938,3505893
2026-07-20,14299,14350,13902,14220,7386353
2026-07-21,14475,14540,14330,14456,3294922
2026-07-22,14838,14900,14055,14460,4112816
2026-07-25,14910,14994,14440,14500,3739052
2026-07-26,14920,15246,14920,15246,7053709
2026-07-27,15500,15600,14940,15200,5860894
2026-07-28,15649,15649,14994,15300,4998235
2026-07-29,15281,15940,15019,15599,16807328
2026-08-01,15598,16060,15400,15450,8398792
2026-08-02,16000,16250,15560,15990,6755035
2026-08-03,16450,16563,16450,16550,3688553
2026-08-05,16991,16991,16990,16991,8428340
2026-08-08,17500,17500,17490,17500,4220594
2026-08-09,17940,17950,16975,16975,10252464
2026-08-10,17060,17630,16850,17500,10326995
2026-08-11,17590,17900,17210,17667,4060065
2026-08-15,17612,18300,17281,17500,4894616
2026-08-16,17988,18332,17860,18201,11309085
2026-08-17,18500,18611,18390,18475,5095029
2026-08-18,18900,18900,18025,18450,8729123
2026-08-19,18600,19000,18334,18463,9126940
2026-08-22,18590,19205,18590,19021,3911623
2026-08-23,19200,19308,18565,19148,3578084
2026-08-24,19016,19764,19016,19155,10312793
2026-08-25,19051,19706,19051,19701,2210006
2026-08-26,20050,20055,19590,20055,4128591
2026-08-29,20284,20583,20264,20400,3323466
2026-08-31,19799,20750,19799,20748,2491870
2026-09-01,21000,21160,20153,20400,2156069
2026-09-02,20401,20500,20392,20392,2914150
2026-09-05,20600,20900,19800,19840,461990
2026-09-06,20667,20667,19600,19990,1624711
2026-09-07,20300,20397,20300,20397,729852
2026-09-08,20850,20973,20451,20749,9060063
2026-09-09,20600,20600,20000,20200,2962365
2026-09-12,20490,20730,20000,20599,943733
2026-09-13,20900,20965,20710,20950,1350858
2026-09-14,20800,20950,20315,20320,13589151
2026-09-15,20699,21333,20699,21333,1878462
2026-09-16,21600,21628,21200,21627,577451
2026-09-19,21500,21500,20759,20759,2867557
2026-09-20,20300,20400,20166,20170,2945619
