date,open,high,low,close,volume
2025-11-15,11810,11850,11810,11850,510
2025-11-16,12204,12204,11900,11993,10148605
2025-11-17,12051,12306,11901,12306,2218
2025-11-18,11922,12000,11846,12000,184208
2025-11-19,11900,12000,11800,11850,194020
2025-11-22,11850,12185,11850,12150,2228864
2025-11-23,12000,12180,11921,12180,521248
2025-11-25,12500,12500,12200,12350,10831427
2025-11-26,12600,12600,12250,12490,155452
2025-11-29,12499,12499,12499,12499,100
2025-12-01,12230,12873,12230,12780,13302
2025-12-02,12800,13000,12449,12449,276477
2025-12-03,12500,12750,12500,12750,2704
2025-12-06,12800,12800,12500,12799,232098
2025-12-07,12980,13041,12800,12800,24496
2025-12-08,12800,12900,12800,12810,11439
2025-12-09,13100,13100,12850,12850,44931
2025-12-10,13090,13090,13090,13090,300
2025-12-13,13200,13200,13000,13000,55881
2025-12-14,12900,13100,12900,13100,103734
2025-12-15,13100,13100,13100,13100,2500
2025-12-16,13300,13300,13120,13120,2225
2025-12-17,13140,13140,13140,13140,25400
2025-12-20,13400,13400,13300,13315,2100533
2025-12-21,13400,13500,13200,13500,195561
2025-12-22,13540,13540,13361,13361,60815
2025-12-23,13550,13550,13350,13500,1035377
2025-12-24,13879,13879,13879,13879,7082621
2025-12-27,14294,14295,14294,14295,10600
2025-12-28,14296,14300,14295,14300,26593
2025-12-29,14300,14380,13950,14380,54408
2025-12-30,13740,13740,13740,13740,2000700
2025-12-31,13328,14100,13328,13751,7426166
2026-01-04,13728,13729,13724,13724,920
2026-01-05,14050,14138,14050,14138,22170
2026-01-06,14553,14553,14150,14551,21130242
2026-01-07,14300,14300,14220,14220,124815
2026-01-10,13999,13999,13817,13817,107103
2026-01-11,14000,14000,14000,14000,72
2026-01-12,13620,14199,13620,14195,192767
2026-01-13,13900,14099,13650,14099,70712
2026-01-14,14000,14397,13559,13560,415214
2026-01-18,13560,13998,13550,13660,452558
2026-01-19,13360,13361,13290,13290,23378
2026-01-20,13281,13500,13000,13200,109323
2026-01-21,13322,13722,13150,13550,14336439
2026-01-24,13143,13143,13143,13143,1971844
2026-01-25,12750,12750,12749,12749,1628687
2026-01-26,12370,12370,12367,12367,300000
2026-01-27,11997,11997,11997,11997,100051
2026-01-28,11638,11638,11638,11638,216854
2026-01-31,11400,11400,11289,11289,370000
2026-02-01,11100,11640,11100,11640,12847
2026-02-02,11527,11527,11400,11400,20100
2026-02-03,11526,11743,11500,11500,91453
2026-02-07,11868,11868,11867,11868,1168
2026-02-08,12224,12224,11900,11901,1462
2026-02-09,11860,11860,11860,11860,799
2026-02-10,11870,11870,11870,11870,96
2026-02-14,12226,12226,11910,11910,387
2026-02-15,12000,12339,12000,12200,40892062
2026-02-16,11834,11834,11834,11834,84
2026-02-17,11590,11590,11590,11590,440
2026-02-18,11603,11603,11601,11601,114
2026-02-21,11500,11500,11500,11500,1374
2026-02-22,11400,11400,11190,11190,270000
2026-02-23,11566,11566,11450,11450,60479
2026-02-24,11600,11802,11600,11802,10426
2026-02-25,12000,12000,11800,12000,340185
2026-05-19,12224,12224,11512,11868,30385
2026-05-20,11398,12101,11397,12000,4043697
2026-05-23,12357,12357,12357,12357,100000
2026-05-24,12727,12727,12727,12727,10000
2026-05-25,13108,13108,13108,13108,400030
2026-05-26,13340,13501,13110,13501,6631406
2026-05-30,13900,13900,13900,13900,274361
2026-05-31,14317,14317,14317,14317,2235757
2026-06-01,14746,14746,14250,14746,5206329
2026-06-02,15067,15067,15001,15067,8900786
2026-06-03,15200,15400,14900,15393,5153752
2026-06-06,15781,15782,15550,15782,483467
2026-06-07,16157,16157,16090,16157,34459649
2026-06-08,15700,16500,15672,15672,5916942
2026-06-09,16227,16227,16227,16227,42919732
2026-06-10,16713,16713,16500,16713,3025919
2026-06-13,17195,17195,17195,17195,2150200
2026-06-14,17710,17710,17710,17710,3935687
2026-06-15,18241,18241,18241,18241,1637947
2026-06-16,18788,18788,18400,18788,72351620
2026-06-17,18800,19345,18700,19345,6700392
2026-06-20,19614,19614,19200,19590,10872995
2026-06-21,19202,19500,18891,18891,2977986
2026-06-22,19000,19298,18500,19298,1247451
2026-06-23,19476,19476,19475,19476,1446349
2026-06-27,20022,20022,19300,19700,2460981
2026-06-28,19100,19200,18918,18918,3229290
2026-06-29,19100,19569,18900,19569,120678
2026-06-30,19842,19842,19350,19350,5447053
2026-07-01,20300,20300,19400,19720,631062
2026-07-07,20500,20500,20010,20150,2441496
2026-07-08,19752,20000,19748,19748,7412385
2026-07-11,19200,19341,19168,19200,14458968
2026-07-12,18748,18749,18748,18748,2309221
2026-07-13,18350,18500,18350,18400,2750538
2026-07-14,17856,18620,17855,18620,13429071
2026-07-15,18055,18300,18050,18054,1001200
2026-07-18,17520,17520,17513,17516,36677713
2026-07-19,17499,17500,17499,17499,1332
2026-07-20,17500,17566,17250,17566,281242
2026-07-21,17973,17973,17510,17973,20332492
2026-07-22,17750,17850,17650,17850,61967
2026-07-25,17720,17720,17720,17720,2000
2026-07-26,18023,18251,18023,18251,20048120
2026-07-27,18600,18798,18550,18797,1187375
2026-07-28,19324,19324,19320,19324,9667843
2026-07-29,19903,19903,19200,19490,9049795
2026-08-01,19690,19700,19218,19353,11790854
2026-08-02,20068,20068,20000,20068,12044018
2026-08-03,20611,20611,20611,20611,273671373
2026-08-05,21229,21229,21229,21229,37610444
2026-08-08,21865,21865,21823,21865,13552854
2026-08-09,22300,22520,21813,22482,27094274
2026-08-10,22489,22800,21828,22537,2695350
2026-08-11,22900,22958,22400,22470,959406
2026-08-15,22958,22958,22200,22203,1382759
2026-08-16,22800,23079,22300,23079,2467669
2026-08-17,23503,23503,23500,23503,694044
2026-08-18,24208,24208,23000,23354,3497169
2026-08-19,23750,23750,22993,23315,2650443
2026-08-22,23315,23798,23300,23324,1049648
2026-08-23,24120,24120,23350,23450,1663713
2026-08-24,23200,23499,23050,23150,1669298
2026-08-25,23300,23800,23200,23800,1365673
2026-08-26,23800,24097,23800,24097,576729
2026-08-29,24300,24717,24300,24716,1100478
2026-08-31,24800,24800,23900,24694,4144568
2026-09-01,24800,25126,24200,24400,4125943
2026-09-02,24000,25115,23897,24201,2500834
2026-09-05,24716,24716,23800,24300,1638565
2026-09-06,24700,24983,24301,24570,1386978
2026-09-07,24983,25213,24701,25213,52539806
2026-09-08,25967,25967,25600,25967,12255176
2026-09-09,26000,26498,25128,25500,8461958
2026-09-12,25710,26455,25700,25985,2824470
2026-09-13,26100,26823,26100,26822,63786750
2026-09-14,27585,27585,27005,27585,44367071
2026-09-15,28330,28332,27700,28332,8681626
2026-09-16,28943,28943,27631,28330,8414221
