date,open,high,low,close,volume
2025-11-16,12860,12990,12690,12990,847727
2025-11-17,12950,13150,12590,12600,1330895
2025-11-18,12700,12720,12530,12530,1205892
2025-11-19,12600,12700,12480,12650,782464
2025-11-22,12700,12780,12630,12700,453348
2025-11-23,12800,13040,12750,12980,3856864
2025-11-25,13180,13240,13170,13240,3386469
2025-11-26,13230,13600,12840,12990,4189400
2025-11-29,12980,13040,12750,12750,8105087
2025-11-30,13140,13140,12730,12830,32946
2025-12-01,13080,13200,12970,13100,19456855
2025-12-02,12850,13420,12850,13160,1071037
2025-12-03,13160,13360,13120,13280,1433565
2025-12-06,13490,13610,13300,13600,3335859
2025-12-07,13850,13850,13130,13190,1284008
2025-12-08,13310,13690,13180,13590,5025371
2025-12-09,13600,13860,13600,13730,7285610
2025-12-10,13720,14120,13620,14040,4708383
2025-12-13,14110,14390,14110,14380,17377944
2025-12-14,14700,14700,14060,14300,1575034
2025-12-15,14230,14720,14200,14600,5543208
2025-12-16,14660,14920,14110,14210,3178702
2025-12-17,14990,14990,14160,14430,3743067
2025-12-20,14700,14770,14440,14770,7034021
2025-12-21,14740,15020,14600,15000,5356475
2025-12-22,15090,15100,14500,14800,3067626
2025-12-23,15240,15240,14920,15240,5299028
2025-12-24,15230,15560,15150,15540,9172964
2025-12-27,15800,15890,15500,15690,5768144
2025-12-28,15700,16100,15620,15770,2218719
2025-12-29,15790,15790,15340,15340,3447950
2025-12-30,14910,15360,14910,14910,8823643
2025-12-31,14530,15320,14470,15300,1546355
2026-01-04,15320,15320,14510,15060,1135558
2026-01-05,15400,15420,14990,15050,5226511
2026-01-06,15230,15420,15210,15210,2867613
2026-01-07,15430,15430,14820,14820,2235397
2026-01-10,14410,14690,14400,14400,4121472
2026-01-11,13990,14400,13990,14270,224771
2026-01-12,14550,14590,14370,14590,17555345
2026-01-13,14680,15020,14300,14640,36981295
2026-01-14,14430,14560,14430,14560,9452802
2026-01-18,14500,14860,14480,14860,13515169
2026-01-19,14970,15180,14380,14980,32505142
2026-01-20,14760,15280,14550,15270,2815332
2026-01-21,15290,15620,15200,15610,3355999
2026-01-24,15300,15300,15070,15070,16564134
2026-01-25,14620,14620,14620,14620,8864172
2026-01-26,14190,14190,14190,14190,1514644
2026-01-27,13780,14480,13770,14440,382658
2026-01-28,13950,14630,13890,13900,617805
2026-01-31,13640,13670,13580,13580,609049
2026-02-01,13350,13590,13280,13540,113879
2026-02-02,13750,13750,13430,13470,169452
2026-02-03,13440,13490,13230,13230,101056
2026-02-07,13460,13700,13460,13640,1739406
2026-02-08,13690,13690,13220,13220,398128
2026-02-09,13200,13200,12990,12990,483796
2026-02-10,13420,13420,13420,13420,10728419
2026-02-14,13820,13820,13060,13120,15044589
2026-02-15,13320,13320,13320,13320,8834008
2026-02-16,12930,13470,12930,13100,8708783
2026-02-17,12880,13050,12800,12890,19996041
2026-02-18,12990,13000,12590,12660,4925703
2026-02-21,12280,12280,12280,12280,1795358
2026-02-22,11912,12238,11912,12238,1334085
2026-02-23,12160,12301,11940,12270,1265649
2026-02-24,12250,12250,11900,12100,729319
2026-02-25,12299,12500,12150,12160,72134
2026-05-19,11932,12147,11932,11932,11162855
2026-05-20,11586,11800,11586,11800,24672430
2026-05-23,11900,11935,11900,11935,34335343
2026-05-24,12293,12293,12293,12293,24778214
2026-05-25,12300,12497,11925,12300,64819623
2026-05-26,11880,12509,11880,12509,12679962
2026-05-30,12700,12815,12700,12815,14525202
2026-05-31,13193,13197,12970,13197,47578621
2026-06-01,13197,13496,12765,12839,18611059
2026-06-02,12806,13200,12644,12700,15405073
2026-06-03,12700,12830,12452,12771,9750408
2026-06-06,12654,12991,12490,12980,5265006
2026-06-07,12998,13226,12998,13210,5718148
2026-06-08,12811,12811,12811,12811,1004518
2026-06-09,13189,13195,13055,13195,4320887
2026-06-10,12990,13583,12794,13583,15922401
2026-06-13,13639,13639,13639,13639,12315302
2026-06-14,14048,14048,13934,14047,36341483
2026-06-15,14467,14467,14467,14467,69265276
2026-06-16,14901,14901,14033,14146,83083914
2026-06-17,14248,14990,14127,14600,35362689
2026-06-20,14884,14912,14142,14898,24748850
2026-06-21,14751,15086,14208,14208,24769358
2026-06-22,14205,14449,14203,14241,22409544
2026-06-23,14489,14650,14000,14364,10479724
2026-06-27,14154,14322,13919,13919,10679039
2026-06-28,13508,13508,13508,13508,8535411
2026-06-29,13117,13799,13103,13269,9939417
2026-06-30,13650,13706,12908,13706,20368814
2026-07-01,13800,13805,13450,13805,15723450
2026-07-07,14189,14189,14189,14189,638277
