date,open,high,low,close,volume
2025-11-16,15230,15680,14830,15680,122052273
2025-11-17,15730,15880,15180,15230,96054702
2025-11-18,15290,15530,14960,15050,39718145
2025-11-19,15260,15470,15050,15330,40788347
2025-11-22,15650,15750,15320,15410,52390537
2025-11-23,15590,16190,15570,16190,79464671
2025-11-25,16600,16710,16320,16710,125134470
2025-11-26,16610,16880,15980,16240,122999353
2025-11-29,16200,16690,15890,15910,51930360
2025-11-30,16040,16580,15850,16460,68809546
2025-12-01,16850,16870,16670,16870,105188316
2025-12-02,16930,17330,16720,16900,84917046
2025-12-03,16980,17460,16940,17240,69359508
2025-12-06,17410,17860,17410,17860,62931364
2025-12-07,18250,18280,17040,17340,80027185
2025-12-08,17670,18140,17500,18090,89500561
2025-12-09,18100,18400,17600,17740,60615633
2025-12-10,17760,18540,17720,18240,82834061
2025-12-13,18480,18980,18460,18930,113885759
2025-12-14,18900,19350,18350,19040,118175286
2025-12-15,19430,19650,19100,19650,37186626
2025-12-16,20270,20310,18910,19190,124009597
2025-12-17,19500,20130,19310,19860,61667907
2025-12-20,20220,20540,20220,20540,18662296
2025-12-21,21300,21300,20480,21300,210020002
2025-12-22,21440,22080,20750,21220,160319694
2025-12-23,21470,22420,21250,22400,165733091
2025-12-24,22700,22780,22540,22780,17589719
2025-12-27,23660,23660,23520,23660,77203796
2025-12-28,24290,24600,24050,24600,47098435
2025-12-29,25510,25510,23550,23900,225564842
2025-12-30,23650,23880,23650,23650,30144011
2025-12-31,22720,24600,22720,24600,211681716
2026-01-04,24350,24870,22980,23690,313879166
2026-01-05,24410,24410,24410,24410,23961163
2026-01-06,25380,25380,25380,25380,1266564
2026-01-07,26390,26390,25970,26390,236524909
2026-01-10,25300,26490,25300,25300,203957262
2026-01-11,24800,26610,24800,26260,283678504
2026-01-12,26650,27010,26650,27010,131516540
2026-01-13,27700,27900,25900,26000,181743727
2026-01-14,25530,25530,25530,25530,3209061
2026-01-18,26000,26550,25680,26550,137618940
2026-01-19,26690,27400,25310,25610,130913306
2026-01-20,26000,26030,25060,25060,165130796
2026-01-21,24850,26090,24650,25990,135981530
2026-01-24,25400,25700,24390,24390,48067160
2026-01-25,23730,23730,23730,23730,555140
2026-01-26,22790,22790,22790,22790,183559
2026-01-27,21880,21880,21880,21880,2342285
2026-01-28,21100,21760,21010,21450,270325110
2026-01-31,21840,22100,20410,20410,166057958
2026-02-01,21500,21650,20110,21650,190311236
2026-02-02,22180,22180,22040,22180,62638809
2026-02-03,23060,23060,21800,22570,243640054
2026-02-07,23520,23520,23520,23520,12228667
2026-02-08,24460,24460,22990,23170,230032943
2026-02-09,23170,23350,22950,22950,12968620
2026-02-10,22170,22770,22170,22300,167420008
2026-02-14,22800,23170,21390,21400,140388916
2026-02-15,21540,21690,21530,21530,21351263
2026-02-16,20690,21520,20690,21360,117812119
2026-02-17,21500,21570,20710,21350,67344400
2026-02-18,21530,21750,20390,20400,85301838
2026-02-21,19910,19910,19910,19910,552606
2026-02-22,19114,19319,19114,19260,61838692
2026-02-23,19600,19900,18900,19800,76543306
2026-02-24,19180,19500,18789,18789,47443057
2026-02-25,18800,19476,18600,19394,54745115
2026-05-19,18493,18493,18493,18493,2965674
2026-05-20,17754,18780,17754,18600,354403974
2026-05-23,18744,18744,18744,18744,5271825
2026-05-24,19493,19493,19493,19493,602099
2026-05-25,20272,20272,20272,20272,16087757
2026-05-26,20820,21082,20474,21082,63871827
2026-05-30,21779,21779,21779,21779,387013
2026-05-31,22650,22650,22650,22650,415428
2026-06-01,23556,23556,23386,23556,91782091
2026-06-02,24450,24488,23726,24488,141289457
2026-06-03,24488,25408,23621,24686,182762965
2026-06-06,25000,25824,24546,25824,57590044
2026-06-07,26414,26414,26414,26414,2606651
2026-06-08,25358,26400,25358,25358,139631251
2026-06-09,26498,26498,26498,26498,2614214
2026-06-10,27557,27557,27557,27557,19653069
2026-06-13,28659,28659,28659,28659,535140
2026-06-14,29805,29805,29805,29805,703362
2026-06-15,30997,30997,30997,30997,661435
2026-06-16,32236,32236,32233,32236,51974235
2026-06-17,33500,33525,32305,33525,57702059
2026-06-20,34763,34763,32122,34763,203257463
2026-06-21,35000,35000,32819,32819,86519914
2026-06-22,32104,32955,32104,32600,122997421
2026-06-23,33550,33646,32600,33646,117025634
2026-06-27,33652,34180,32145,32145,115908237
2026-06-28,31405,31405,31405,31405,2587979
2026-06-29,30151,32380,30149,31910,115268271
2026-06-30,32258,32258,31330,32258,108255064
2026-07-01,32258,33446,31520,33446,63670385
2026-07-07,34277,34277,34277,34277,3230878
2026-07-08,35648,35648,32908,33511,263195806
2026-07-11,34834,35977,33441,34190,253541706
2026-07-12,32658,32658,32658,32658,1811224
2026-07-13,31352,31797,31352,31789,309764691
2026-07-14,31000,31290,30189,30189,237848586
2026-07-15,30666,31020,29242,29440,186567339
2026-07-18,28620,28620,28620,28620,2481274
2026-07-19,27476,28430,27476,28260,188759897
2026-07-20,28829,28836,27876,28836,84568325
2026-07-21,29838,29838,29423,29838,24082240
2026-07-22,31031,31031,28947,30196,162253290
2026-07-25,30882,31442,29515,30675,101929972
2026-07-26,31648,31648,31648,31648,2421316
2026-07-27,32913,32913,32329,32913,137252342
2026-07-28,33000,34179,32220,33329,144199524
2026-07-29,32171,32479,32171,32171,67907515
2026-08-01,31258,32159,30928,30928,78628637
2026-08-02,32625,32625,32499,32625,44439153
2026-08-03,33928,33928,33928,33928,5441142
2026-08-05,35285,35285,35285,35285,8173278
2026-08-08,36696,36696,36696,36696,437930
2026-08-09,38163,38163,37431,38163,161300022
2026-08-10,37743,39650,37700,39650,65711738
2026-08-11,40834,40834,40001,40834,47845889
2026-08-15,41500,41500,39148,39148,89096955
2026-08-16,37850,40956,37850,40956,79389746
2026-08-17,41279,41279,41279,41279,4469812
2026-08-18,42880,42930,40620,41349,102600114
2026-08-19,40687,42900,40502,41550,72763324
2026-08-22,42500,43233,42301,43233,50081645
2026-08-23,44692,44915,43233,44915,164526371
2026-08-24,45899,46256,43820,45780,116234949
2026-08-25,46834,47283,46514,47283,39787583
2026-08-26,49137,49137,49137,49137,4088072
2026-08-29,51102,51102,51102,51102,10726994
2026-08-31,51500,53146,50467,51122,243404262
2026-09-01,53500,53990,49929,49929,170619106
2026-09-02,49545,49545,49545,49545,2891459
2026-09-05,49850,51314,47564,48114,291940850
2026-09-06,48250,50178,47002,49700,133890143
2026-09-07,50420,50882,50300,50882,34158427
2026-09-08,52868,52868,51600,52868,89019305
2026-09-09,54796,54796,53300,54796,101625555
2026-09-12,56885,56885,56400,56885,32277429
2026-09-13,59138,59138,59138,59138,4566010
2026-09-14,61503,61503,57004,61349,112661157
2026-09-15,60839,63272,60100,63272,36317219
2026-09-16,64800,65138,60128,61121,112681939
2026-09-19,62000,62170,59345,59345,17078596
2026-09-20,57728,57728,57728,57728,1311320
