date,open,high,low,close,volume
2025-11-10,23410,23410,23340,23340,100645
2025-11-11,23450,23450,23340,23340,101995
2025-11-12,23550,23550,23550,23550,100693
2025-11-15,23570,23580,23570,23570,103828
2025-11-16,23660,23660,23660,23660,101000
2025-11-17,23820,23820,23570,23570,103000
2025-11-18,23850,23850,23540,23600,100889
2025-11-19,23720,23720,23720,23720,101000
2025-11-22,24120,24120,24010,24020,100291
2025-11-23,24170,24170,24090,24140,2102051
2025-11-25,24290,24350,24290,24330,101050
2025-11-26,24450,24450,24210,24210,5150
2025-11-29,24190,24190,24180,24180,40000
2025-11-30,24450,24550,24450,24550,102777
2025-12-01,24700,24900,24610,24700,101643
2025-12-02,24900,25000,24820,24830,102247
2025-12-03,25000,25300,25000,25160,100478
2025-12-06,25300,25600,25300,25500,994
2025-12-07,25800,25800,25490,25490,41043
2025-12-08,25720,25720,25720,25720,20000
2025-12-09,25800,25800,25800,25800,193
2025-12-10,26100,26200,26100,26200,20200
2025-12-13,26470,26600,26470,26600,20038
2025-12-14,26640,26640,26640,26640,38
2025-12-15,26880,27000,26880,26940,25703
2025-12-16,27100,27100,26690,26690,100000
2025-12-17,26490,26850,26490,26740,20687
2025-12-20,27390,27490,27390,27490,52737
2025-12-21,27650,27660,27510,27510,1051535
2025-12-22,27700,27700,27600,27600,1000734
2025-12-23,27750,27960,27750,27960,25249
2025-12-24,28300,28300,28190,28190,956
2025-12-27,28500,28800,28340,28750,3589603
2025-12-28,28840,28840,28840,28840,346
2025-12-29,28840,28840,28440,28540,18268
2025-12-30,28400,28400,27730,27730,11227
2025-12-31,27940,28040,27940,28030,40355
2026-01-04,28050,28050,27490,27490,30000
2026-01-05,28000,28400,28000,28400,88547
2026-01-06,28550,29060,28550,29060,86128
2026-01-07,29400,29590,29200,29200,343273
2026-01-10,29090,29090,29080,29080,20134
2026-01-11,29000,29010,28870,29010,43000
2026-01-12,29300,29820,29300,29500,8120592
2026-01-13,29640,29740,29500,29500,103899
2026-01-14,28800,28800,28800,28800,400
2026-01-18,29000,29200,29000,29190,61045
2026-01-19,29200,29600,29090,29090,4137273
2026-01-20,29700,29700,29550,29550,2001
2026-01-21,29840,29850,29540,29540,1716201
2026-01-24,28940,29000,28940,28940,450
2026-01-25,28140,28140,28140,28140,20045
2026-01-26,27840,27860,27820,27830,80086
2026-01-27,27040,27050,27040,27040,49949
2026-01-28,26790,27240,26790,27240,40000
2026-01-31,27540,27540,27540,27540,5306
2026-02-01,27300,27840,27640,27840,24555
2026-02-02,27840,27840,27820,27820,40000
2026-02-03,27790,27790,27690,27690,32528
2026-02-07,28520,28520,28040,28500,119624
2026-02-08,28550,28690,28310,28310,201130
2026-02-09,28000,28000,27950,27950,23000
2026-02-10,27840,27940,27840,27940,2086
2026-02-14,28100,28290,28090,28090,170050
2026-02-15,27500,27500,27330,27330,110100
2026-02-17,27140,27140,27140,27140,50
2026-02-18,27390,27390,26990,26990,293378
2026-02-21,26490,26490,26460,26460,10600
2026-02-25,26300,26720,26300,26380,83500
2026-05-19,25571,25571,25571,25571,13948
2026-05-20,26338,26338,26338,26338,53527
2026-05-23,26263,27128,25548,27128,128735
2026-05-24,27825,27825,27825,27825,6888000
2026-05-25,28650,28659,28650,28659,1251640
2026-05-26,29509,29509,29509,29509,10000
2026-05-30,30394,30394,30394,30394,27484
2026-05-31,31305,31305,31305,31305,199229
2026-06-01,32244,32244,31800,32244,2186429
