date,open,high,low,close,volume
2025-11-16,10059,10285,9932,10234,895580
2025-11-17,10293,10377,10162,10346,12713477
2025-11-18,10329,10338,10077,10077,54516
2025-11-19,10358,10400,10208,10220,999956
2025-11-22,10287,10499,10281,10281,247621
2025-11-23,10470,10649,10248,10560,1208627
2025-11-25,10704,10884,10617,10884,1872700
2025-11-26,10989,10989,10552,10552,1015723
2025-11-29,10800,10800,10295,10537,630585
2025-11-30,10351,10415,10235,10329,412807
2025-12-01,10588,10687,10410,10569,106139
2025-12-02,10573,10840,10573,10800,2845256
2025-12-03,10805,10979,10540,10950,5864587
2025-12-06,11093,11150,10951,11098,349299
2025-12-07,11300,11324,10769,10985,1207016
2025-12-08,11009,11100,10882,10988,2582818
2025-12-09,11096,11289,11096,11194,3827156
2025-12-10,11290,11437,11188,11301,1605990
2025-12-13,11298,11648,11298,11577,1070883
2025-12-14,11598,11598,11276,11484,7399709
2025-12-15,11600,11727,11491,11726,3324721
2025-12-16,11601,11990,11582,11662,6667937
2025-12-17,11699,11853,11680,11785,4992476
2025-12-20,11990,12114,11990,12114,1913898
2025-12-21,12163,12409,12000,12228,1153879
2025-12-22,12407,12630,12100,12290,1862403
2025-12-23,12363,12560,12228,12560,3024866
2025-12-24,12600,12682,12383,12680,1856748
2025-12-27,12799,13024,12670,13019,1740005
2025-12-28,13099,13302,12768,13194,2027341
2025-12-29,13516,13516,12770,12889,2439206
2025-12-30,12710,12710,12514,12514,395751
2025-12-31,12508,12745,12162,12745,243240
2026-01-04,12317,12649,11977,12204,147923
2026-01-05,12292,12691,12292,12440,2203612
2026-01-06,12696,12784,12523,12710,735185
2026-01-07,12910,12910,12327,12327,1705345
2026-01-10,11983,11990,11982,11982,32049
2026-01-11,11705,11981,11629,11750,484103
2026-01-12,11750,11989,11672,11989,2025688
2026-01-13,12150,12279,12150,12279,14667337
2026-01-14,12014,12014,11908,11908,4076037
2026-01-18,11800,12260,11800,12197,5083656
2026-01-19,12252,12253,11831,11930,2291338
2026-01-20,12120,12493,11781,12493,5932307
2026-01-21,12460,12849,12459,12849,11964862
2026-01-24,12717,12717,12421,12421,1259901
2026-01-25,12199,12199,12199,12199,400000
2026-01-26,11834,11834,11834,11834,400111
2026-01-27,11479,11479,11479,11479,406190
2026-01-28,11135,11135,11135,11135,2056646
2026-01-31,10801,10840,10801,10801,2233231
2026-02-01,10483,10690,10483,10483,2875391
2026-02-02,10335,10816,10335,10750,688726
2026-02-03,10839,10839,10461,10462,1670562
2026-02-07,10560,10837,10560,10837,2870546
2026-02-08,10993,11117,10472,10472,3486324
2026-02-09,10317,10317,10245,10245,1492730
2026-02-10,10583,10583,10583,10583,1085901
2026-02-14,10900,10900,10266,10266,5167422
2026-02-15,10393,10399,10393,10393,1329242
2026-02-16,10082,10647,10082,10579,2434801
2026-02-17,10561,10561,10272,10499,534005
2026-02-18,10599,10599,10139,10295,1343783
2026-02-21,10083,10083,9966,9966,90428
2026-02-22,9678,9682,9678,9681,625792
2026-02-23,9968,9968,9577,9631,74453
2026-02-24,9587,9678,9529,9529,111881
2026-02-25,9516,9870,9516,9544,80492
2026-05-19,9367,9603,9367,9367,5441966
2026-05-20,9106,9233,9106,9165,4927916
