date,open,high,low,close,volume
2026-07-25,10000,10000,10000,10000,9105295
2026-07-26,10000,10000,10000,10000,8843288
2026-07-27,10000,10000,10000,10000,137850010
2026-07-28,10000,10000,10000,10000,71860905
2026-07-29,10000,10000,10000,10000,86989345
2026-08-29,10000,10001,9964,10000,1538854
2026-08-31,10000,10058,9701,10000,81567189
2026-09-01,10200,10201,9853,9900,1432682
2026-09-02,9901,10000,9803,9807,1251971
2026-09-05,9939,9939,9700,9730,993315
2026-09-06,9700,9987,9660,9822,651415
2026-09-07,9888,10000,9888,9958,794528
2026-09-08,9962,10000,9859,9962,664078
2026-09-09,10068,10068,9743,9767,481740
2026-09-12,9899,9988,9800,9985,670674
2026-09-13,9980,9980,9901,9920,528662
2026-09-14,9920,10060,9900,10060,5403874
2026-09-15,10090,10190,9901,10177,1813206
2026-09-16,10243,10243,9901,10007,1119648
2026-09-19,10248,10248,9920,9935,94564
2026-09-20,9770,10060,9770,9831,48474
