date,open,high,low,close,volume
2025-11-16,20870,21140,20680,21140,2737
2025-11-17,21280,21280,21280,21280,1000
2025-11-18,20970,20970,20780,20780,1965
2025-11-19,21090,21090,20780,20780,13323
2025-11-22,21160,21160,21040,21040,16865
2025-11-23,21350,21600,21350,21350,974229
2025-11-25,21720,21810,21550,21550,1782
2025-11-26,21760,21790,21760,21790,1100
2025-11-29,21590,21590,21590,21590,1000
2025-11-30,21360,21720,21360,21450,1351
2025-12-01,21880,21880,21880,21880,1000
2025-12-02,21860,21940,21670,21940,1820
2025-12-03,22250,22250,22250,22250,350
2025-12-06,22510,22870,22510,22750,7673
2025-12-07,22970,22970,22390,22390,1341
2025-12-08,22660,22900,22660,22900,1534
2025-12-09,23020,23020,22630,22760,11895
2025-12-10,23070,23390,22960,23390,6571
2025-12-13,23700,23700,23500,23500,9050
2025-12-14,23400,24120,23400,23670,14159
2025-12-15,23880,24350,23750,24330,2029094
2025-12-16,24760,24760,24080,24080,35839
2025-12-17,24340,24340,24200,24300,12186
2025-12-20,25020,25020,24950,24950,8638
2025-12-21,25080,25490,24950,25320,2004215
2025-12-22,25150,25480,25150,25160,22113
2025-12-23,25220,25500,25220,25500,18622
2025-12-24,25900,26210,25900,26210,283846
2025-12-27,26600,26860,26500,26500,268905
2025-12-28,26650,27250,26650,27170,133381
2025-12-29,26920,26960,26400,26960,46950
2025-12-30,26670,26670,26060,26060,119665
2025-12-31,25900,26260,25900,26260,1760
2026-01-04,26020,26020,25890,25950,101894
2026-01-05,26420,26740,26420,26740,920641
2026-01-06,26860,27450,26860,27450,4302211
2026-01-07,27630,27880,27620,27710,4490496
2026-01-10,27670,27800,26890,27200,378452
2026-01-11,28020,28020,27700,27970,25781
2026-01-12,28060,28640,28060,28300,1202498
2026-01-13,28720,28730,27900,27900,89513
2026-01-14,27110,27480,27100,27480,416523
2026-01-18,27670,28000,27670,27700,53250
2026-01-19,28070,28300,27700,27700,230534
2026-01-20,27850,28050,27850,27850,23126
2026-01-21,27800,27930,27570,27930,15826
2026-01-24,27750,27750,27100,27110,20695
2026-01-25,26600,26600,26600,26600,144832
2026-01-26,25850,25910,25850,25850,329627
2026-01-27,25430,25430,25250,25250,108871
2026-01-28,25080,25200,25000,25200,15218
2026-01-31,25350,25350,24600,24600,88813
2026-02-01,24820,25000,24820,25000,10000
2026-02-02,25410,25640,25410,25640,20198
2026-02-03,25500,25500,25500,25500,27200
2026-02-07,25900,26150,25900,26150,126602
2026-02-08,25940,26350,25600,25600,560836
2026-02-09,25500,25500,25220,25320,426953
2026-02-10,25130,25300,24950,24950,28243
2026-02-14,25500,25500,25500,25500,22000
2026-02-15,24740,24750,24740,24740,96273
2026-02-16,24000,24100,24000,24060,12389
2026-02-17,24300,24300,24300,24300,10000
2026-02-18,24510,24540,23900,23900,60567
2026-02-21,23900,23900,23420,23420,28794
2026-02-22,22900,23330,22900,23330,49674
2026-02-23,23400,23430,23200,23200,20550
2026-02-24,23100,23130,22900,23130,785
2026-02-25,23330,23430,23330,23430,33035
2026-05-19,22646,22646,22646,22646,16492
2026-05-20,21968,23325,21968,23325,2294
2026-05-23,22047,22400,22047,22400,6000
2026-05-24,22170,22769,22170,22769,480623
2026-05-25,23374,23374,23374,23374,158574
2026-05-26,24075,24075,23201,23323,257640
2026-05-30,23910,24622,23910,24622,434803
2026-05-31,25270,25270,25270,25270,331799
2026-06-01,26028,26028,24515,26027,937095
2026-06-02,24833,24979,24495,24770,422687
2026-06-03,24750,24950,24750,24900,64903
2026-06-06,25200,25579,24800,25579,79179
2026-06-07,25781,25781,25700,25781,4041085
2026-06-08,25990,25990,25006,25490,2126714
2026-06-09,26000,26073,26000,26000,2697274
2026-06-10,26200,26855,26200,26855,1342285
2026-06-13,27608,27608,27608,27608,290501
2026-06-14,28436,28436,28436,28436,1714206
2026-06-15,29289,29289,29289,29289,290685
2026-06-16,30167,30167,29000,29000,2343136
2026-06-17,29300,29769,28900,29679,1862786
2026-06-20,30311,30311,29720,29720,575424
2026-06-21,30500,30640,29420,29420,1698542
2026-06-22,29650,29700,29400,29700,813020
2026-06-23,30340,30500,30001,30006,165977
2026-06-27,30500,31096,30400,30999,63002
2026-06-28,30450,30450,29870,29870,5219
2026-06-29,29900,30200,29810,29810,7043
2026-06-30,30800,30800,30200,30200,123514
2026-07-01,30500,30998,30500,30997,36003
2026-07-07,31447,31448,30841,31448,71884
2026-07-08,31430,32030,31120,31120,260083
2026-07-11,31500,31500,30690,30690,44256
2026-07-12,30390,30400,29860,29860,586480
2026-07-13,29400,30200,29400,29910,168065
2026-07-14,30100,30110,29710,30000,31163
2026-07-15,30863,30863,30000,30540,162241
2026-07-18,30100,30100,29566,29566,64770
2026-07-19,29500,29500,29500,29500,15747
2026-07-20,30385,30385,30385,30385,5000
2026-07-21,30600,31097,30522,31097,70407
2026-07-22,31285,31289,30800,30800,42552
2026-07-25,31300,31300,30800,30990,40093
2026-07-26,31500,31750,31316,31400,7587609
2026-07-27,32340,32351,32250,32250,211187
2026-07-28,32370,32370,31831,32300,14837
2026-07-29,32150,32190,31560,32190,75008
2026-08-01,32170,32170,31600,31600,6770
2026-08-02,32400,32400,32360,32360,254674
2026-08-03,32839,33330,32830,33330,820505
2026-08-05,33880,33906,33302,33906,143857
2026-08-08,34918,34922,34270,34922,585195
2026-08-09,35899,35899,34500,34820,256313
2026-08-10,35200,35401,34560,35227,1881438
2026-08-11,35967,35967,35060,35800,140401
2026-08-15,36396,36399,35440,36200,207639
2026-08-16,36100,36400,35700,36400,88497
2026-08-17,37140,37150,36455,37147,47037
2026-08-18,38090,38090,36880,37190,102155
2026-08-19,37340,37540,37340,37540,48287
2026-08-22,38410,38499,37460,38260,80514
2026-08-23,38900,38900,37350,38250,258610
2026-08-24,38400,39200,38150,39000,87152
2026-08-25,39300,39700,38740,39700,417837
2026-08-26,38930,40760,38930,40760,756391
2026-08-29,40600,41602,40600,41602,1989694
2026-08-31,41250,41300,40400,41100,728371
2026-09-01,41200,42151,40480,40480,134673
2026-09-02,40682,41489,40682,40682,131678
2026-09-05,40400,41000,40004,41000,334032
2026-09-06,41000,41946,40600,41946,593812
2026-09-07,42000,43125,42000,43125,335534
2026-09-08,43000,44200,43000,44190,536579
2026-09-09,43987,44900,43931,44500,4031848
2026-09-12,44599,45310,44599,45310,1152941
2026-09-13,46600,46657,45200,45301,32142
2026-09-14,45200,46600,45100,46200,276279
2026-09-15,46500,47452,45601,47000,4165310
2026-09-16,47000,47000,46121,46900,7207612
2026-09-19,46300,46300,45530,46256,43008
2026-09-20,45980,45980,44890,44890,165074
