date,open,high,low,close,volume
2025-11-16,30490,30530,30170,30290,4868345
2025-11-17,30300,30520,30160,30350,7272822
2025-11-18,30430,30530,30250,30520,7596605
2025-11-19,30410,30790,30390,30620,7344813
2025-11-22,30670,30850,30630,30630,5127203
2025-11-23,30690,30970,30600,30920,3231974
2025-11-25,30920,31280,30920,31140,8739095
2025-11-26,31290,31450,31190,31410,43696199
2025-11-29,31580,31730,31400,31540,37034421
2025-11-30,31580,32100,31580,31990,36992336
2025-12-01,32090,32340,31950,32300,34707773
2025-12-02,32380,32380,32100,32150,11237536
2025-12-03,32310,32650,32190,32450,47319016
2025-12-06,32790,32910,32490,32910,45584293
2025-12-07,32950,32980,32710,32720,30085490
2025-12-08,33000,33000,32810,32940,12765970
2025-12-09,32990,33020,32910,32920,10792065
2025-12-10,32970,33080,32910,33030,17615516
2025-12-13,33590,33900,33320,33770,38549465
2025-12-14,33880,33890,33650,33790,18279608
2025-12-15,34010,34200,33700,34140,55062793
2025-12-16,34260,34260,33060,33530,23721413
2025-12-17,33870,33960,33870,33870,16955246
2025-12-20,34010,34310,33900,34180,20257253
2025-12-21,34340,34340,33740,33940,18880040
2025-12-22,34280,34460,34010,34260,19709364
2025-12-23,34640,35270,34400,35270,54403963
2025-12-24,35400,35970,35320,35970,25293374
2025-12-27,36290,36290,35870,36210,29238652
2025-12-28,36390,37000,36320,36350,50015252
2025-12-29,36420,36420,35480,35480,122405868
2025-12-30,34680,35600,34680,35380,40037773
2025-12-31,35120,35810,35090,35520,57400151
2026-01-04,35780,35790,35100,35590,13913188
2026-01-05,35780,36500,35770,36400,36283708
2026-01-06,37280,37280,36800,36940,115139271
2026-01-07,37470,37470,36400,36680,55959857
2026-01-10,35660,35990,35660,35660,22928311
2026-01-11,34820,36200,34790,35830,27008788
2026-01-12,36000,36300,35900,36140,20076472
2026-01-13,36150,36260,35530,36050,23511127
2026-01-14,36240,36940,35680,36390,86577225
2026-01-18,36610,36750,36420,36610,14193358
2026-01-19,36640,36760,36260,36400,11833692
2026-01-20,36550,36550,36180,36280,101142911
2026-01-21,36750,37090,36620,36880,26671932
2026-01-24,37390,37600,37020,37070,33632442
2026-01-25,37340,37400,36720,37250,27558638
2026-01-26,37590,38350,37320,38120,38787264
2026-01-27,38190,38990,38190,38990,30539435
2026-01-28,40070,40070,39720,40070,49953027
2026-01-31,38860,39500,38860,39200,57895677
2026-02-01,39000,39250,38880,38880,14956104
2026-02-02,38880,38990,37900,38220,56660386
2026-02-03,38380,39110,38380,38750,50113118
2026-02-07,38630,39130,38630,38880,8925962
2026-02-08,38940,39160,38710,39070,9125924
2026-02-09,39430,40090,39380,40090,51366476
2026-02-10,41090,41090,40210,40330,19911903
2026-02-14,40400,40400,39500,39670,13672507
2026-02-15,39690,40170,39220,39920,9082886
2026-02-16,39870,39980,39600,39830,14229226
2026-02-17,39510,39820,39360,39750,19386013
2026-02-18,39900,40390,39800,39990,9765645
2026-02-21,40620,41000,39870,39950,35254636
2026-02-22,40350,40500,39800,40270,48447357
2026-02-23,40444,40445,40105,40172,12874158
2026-02-24,40200,40801,40129,40449,14683055
2026-02-25,40500,40950,40490,40504,25385174
2026-05-19,42000,42000,42000,42000,8536688
2026-05-20,41999,42650,41999,42338,16303353
2026-05-23,42499,43227,42499,42870,16918647
2026-05-24,41919,42898,41661,41909,17855282
2026-05-25,42400,42811,41876,42400,43429727
2026-05-26,42020,42529,41881,42484,15964856
2026-05-30,42507,42740,41917,42384,15842370
2026-05-31,42562,42780,42170,42360,7683337
2026-06-01,42447,42620,42353,42498,10567678
2026-06-02,42649,42949,42521,42759,9792772
2026-06-03,42608,42650,42190,42315,7517983
2026-06-06,42100,42330,42000,42001,9024051
2026-06-07,42050,42179,41810,42139,7616181
2026-06-08,42377,42377,41160,42250,13133644
2026-06-09,42280,42340,42118,42119,3790894
2026-06-10,41981,42400,41700,42037,21360216
2026-06-13,41550,42701,41549,41700,12750068
2026-06-14,41721,41869,41004,41466,8357070
2026-06-15,41200,41300,40627,40878,7243795
2026-06-16,40552,41100,40183,40300,14188840
2026-06-17,40150,40190,39526,39992,4980661
2026-06-20,40450,40880,40420,40428,7122693
2026-06-21,40475,40500,39500,40000,31997496
2026-06-22,39691,40099,39301,40090,4923607
2026-06-23,40170,40170,39271,40005,6910561
2026-06-27,40350,40635,40250,40400,6542071
2026-06-28,40821,41642,40821,41627,10523171
2026-06-29,41800,41900,41230,41594,14619189
2026-06-30,41001,41800,40974,41750,3690612
2026-07-01,41350,41843,41350,41800,10130713
2026-07-07,42410,42860,42312,42640,14418317
2026-07-08,43065,43299,42700,43296,13418874
2026-07-11,43093,43200,42570,42577,4407535
2026-07-12,43490,43499,42895,43055,3850782
2026-07-13,43196,43196,42311,42340,1688050
2026-07-14,42600,43568,42554,43565,5819279
2026-07-15,43630,43766,43595,43600,13404616
2026-07-18,44535,44540,43950,43990,13752796
2026-07-19,44500,44700,44000,44300,7271678
2026-07-20,44120,44214,43551,43572,3936579
2026-07-21,43960,44072,43810,44000,3403308
2026-07-22,44260,44280,43907,43936,4777314
2026-07-25,44250,44520,43801,43880,2459540
2026-07-26,43983,44050,43450,44000,3717383
2026-07-27,44300,44310,44250,44295,2545853
2026-07-28,44399,44399,44002,44181,4179024
2026-07-29,44510,44600,44100,44519,8731714
2026-08-01,44600,44620,44390,44457,1807234
2026-08-02,44446,44650,43990,44299,10523979
2026-08-03,44864,44864,44115,44522,4468827
2026-08-05,44869,45122,44840,44989,20036477
2026-08-08,46300,46300,45303,45428,17868272
2026-08-09,45650,45650,44896,44930,10466972
2026-08-10,45370,45390,45023,45095,5463164
2026-08-11,45466,45600,45153,45354,12269349
2026-08-15,45790,45790,45381,45640,7465221
2026-08-16,45640,46000,45554,45900,5917957
2026-08-17,46122,46247,45910,45960,6505301
2026-08-18,45913,46181,45852,46003,14550329
2026-08-19,46015,46690,46015,46580,5807543
2026-08-22,47710,47716,47200,47716,41854212
2026-08-23,47898,48699,47898,48215,25661844
2026-08-24,48497,48600,47712,48210,45415648
2026-08-25,48500,48884,48303,48550,18217950
2026-08-26,48547,48679,48200,48551,10767978
2026-08-29,48670,48699,48420,48649,14129251
2026-08-31,49372,49599,48800,49427,18037002
2026-09-01,50142,50142,49010,49665,14161380
2026-09-02,49899,50050,49710,49873,10349042
2026-09-05,50800,50800,49885,50589,36267408
2026-09-06,51626,51626,50960,51126,125303591
2026-09-07,52400,52400,50682,50899,39875998
2026-09-08,51100,51100,50600,50957,22666965
2026-09-09,51000,51490,50809,51148,38521281
2026-09-12,51399,51399,50700,50900,22154712
2026-09-13,50900,50900,50101,50299,65861156
2026-09-14,50725,50880,50363,50695,15515836
2026-09-15,51000,51100,50000,50791,31777166
2026-09-16,50910,51095,50570,51000,12966195
2026-09-19,51095,51095,50331,51004,14367439
2026-09-20,51350,51980,51032,51500,53590082
