date,open,high,low,close,volume
2025-11-16,22757,23432,22339,23432,68764818
2025-11-17,23769,23890,22870,23061,73419445
2025-11-18,22800,23350,22713,22714,97120225
2025-11-19,23100,23449,22851,23230,52259021
2025-11-22,23700,23758,23250,23290,54332410
2025-11-23,23463,24419,23463,24419,117668485
2025-11-25,25178,25218,24800,25218,49391386
2025-11-26,25600,25600,24355,24822,98585193
2025-11-29,24655,25549,24392,24529,57036494
2025-11-30,24590,25261,24255,25147,84483377
2025-12-01,25666,25851,25451,25851,127453019
2025-12-02,25969,26342,25506,25800,135364962
2025-12-03,26044,26430,25920,26122,73779771
2025-12-06,26610,27237,26550,27237,108614946
2025-12-07,27744,27900,26183,26396,92947514
2025-12-08,26750,27555,26551,27260,98731490
2025-12-09,27386,27812,26910,27090,70465426
2025-12-10,26950,28369,26950,28001,157990064
2025-12-13,28289,29031,28289,29031,73429621
2025-12-14,29250,29698,28180,29348,135289300
2025-12-15,29445,30297,29401,30297,95028416
2025-12-16,31138,31261,28934,29477,130245079
2025-12-17,29600,30970,29600,30538,91421107
2025-12-20,31090,31680,31090,31680,51492649
2025-12-21,32870,32875,32101,32812,141369086
2025-12-22,32950,33815,31951,33070,117912651
2025-12-23,33200,34442,33200,34442,112166510
2025-12-24,35241,35242,34712,35242,26151873
2025-12-27,36642,36642,36642,36642,23227816
2025-12-28,38107,38107,38107,38107,22087316
2025-12-29,39631,39631,36583,37589,258617938
2025-12-30,36996,37300,36992,36992,24009500
2025-12-31,35527,38487,35527,38487,268369928
2026-01-04,38400,38494,35810,37700,241258850
2026-01-05,38620,38620,38620,38620,10697224
2026-01-06,40164,40164,40164,40164,5937700
2026-01-07,41770,41770,41188,41770,109090680
2026-01-10,40045,43216,40045,40045,172232501
2026-01-11,41000,42783,40693,42783,199878406
2026-01-12,43737,43737,43623,43737,50124149
2026-01-13,45476,45476,42801,43719,172747210
2026-01-14,43450,43450,42650,42650,41679778
2026-01-18,43300,44416,43300,44416,125682463
2026-01-19,44610,45897,42448,43081,148511856
2026-01-20,43450,43890,42210,42210,143128493
2026-01-21,41215,42453,40978,41308,108965533
2026-01-24,39708,40200,39708,39708,25404994
2026-01-25,38135,38135,38135,38135,3468509
2026-01-26,36610,36610,36610,36610,1916918
2026-01-27,35146,35146,35146,35146,1712972
2026-01-28,33741,33948,33741,33741,82686268
2026-01-31,32755,34500,32396,32396,38766449
2026-02-01,31910,33700,31903,32671,183744276
2026-02-02,33636,33736,33160,33736,30607901
2026-02-03,34850,34890,32431,32998,125989159
2026-02-07,34672,34672,34672,34672,8646153
2026-02-08,36058,36058,34100,35022,123047083
2026-02-09,34620,35200,34100,34100,16920019
2026-02-10,32870,33993,32842,33088,108114534
2026-02-14,34000,34583,31923,31941,105898845
2026-02-15,32538,32624,32038,32038,17573831
2026-02-16,30801,31680,30798,31229,102028252
2026-02-17,31599,31700,30799,31631,48081364
2026-02-18,31800,31800,30158,30158,41557272
2026-02-21,29425,29425,29425,29425,7988215
2026-02-22,28248,28509,28248,28509,86268852
2026-02-23,29106,29393,28211,29393,63266349
2026-02-24,28968,28968,27946,27946,51006388
2026-02-25,27635,29445,27635,29445,82344074
2026-05-19,27956,27956,27956,27956,3674080
2026-05-20,26838,27728,26838,27120,123830915
2026-05-23,28002,28032,28002,28032,22784636
2026-05-24,29150,29150,29150,29150,5758453
2026-05-25,30316,30316,30316,30316,15556510
2026-05-26,31520,31528,30601,31528,53959269
2026-05-30,32641,32641,32641,32641,633837
2026-05-31,33946,33946,33946,33946,6612302
2026-06-01,35303,35303,35303,35303,10935118
2026-06-02,36715,36715,35578,36715,83074306
2026-06-03,37500,38146,35801,37390,143306421
2026-06-06,37500,38949,37001,38949,48806305
2026-06-07,39873,39873,39873,39873,2392762
2026-06-08,38279,39034,38279,38279,71122002
2026-06-09,39893,39893,39893,39893,4205139
2026-06-10,41488,41488,41488,41488,24562351
2026-06-13,43147,43147,43147,43147,661703
2026-06-14,44872,44872,44872,44872,6562175
2026-06-15,46666,46666,46666,46666,746086
2026-06-16,48532,48532,48532,48532,14979397
2026-06-17,50473,50473,50173,50473,72963710
2026-06-20,52434,52434,48402,51300,159190205
2026-06-21,50400,50741,48712,48712,67026491
2026-06-22,47208,48162,47208,47600,108530795
2026-06-23,49175,49381,47699,49381,168900480
2026-06-27,49600,49600,47135,47135,94135991
2026-06-28,46016,46016,46016,46016,2465866
2026-06-29,44176,47436,44176,46180,124372645
2026-06-30,46010,46974,45587,46974,74409494
2026-07-01,46100,48499,45800,48359,75503904
2026-07-07,49590,49590,49411,49590,13179960
2026-07-08,48601,51142,47602,47602,97924871
2026-07-11,47515,48000,47515,47515,20849547
2026-07-12,45695,45695,45695,45695,641752
2026-07-13,43868,43868,43868,43868,2327408
2026-07-14,42114,42114,42114,42114,15417361
2026-07-15,40672,41990,40430,40430,79725062
