date,open,high,low,close,volume
2025-11-16,14914,15034,14900,14990,1350676
2025-11-17,15190,15260,15026,15026,1511081
2025-11-18,15040,15118,15040,15100,1624580
2025-11-19,15180,15260,15179,15260,1469349
2025-11-22,15350,15381,15301,15301,1519696
2025-11-23,15440,15540,15440,15520,1861300
2025-11-25,15640,15800,15640,15730,3997773
2025-11-26,15810,15810,15460,15615,3238320
2025-11-29,15640,15779,15550,15610,1536415
2025-11-30,15640,15770,15570,15720,1639545
2025-12-01,15900,15900,15770,15848,2061312
2025-12-02,15910,16010,15880,15930,1789710
2025-12-03,16000,16218,15980,16160,13410514
2025-12-06,16330,16390,16260,16311,2309579
2025-12-07,16490,16570,16220,16257,1605679
2025-12-08,16350,16513,16290,16513,12101412
2025-12-09,16550,16550,16393,16510,1823846
2025-12-10,16560,16710,16490,16708,1565524
2025-12-13,16810,17040,16810,17040,2250755
2025-12-14,17100,17195,16790,17050,13383220
2025-12-15,17180,17284,17140,17284,1936699
2025-12-16,17390,17500,16954,16954,3977909
2025-12-17,16900,17298,16900,17298,9451649
2025-12-20,17480,17683,17480,17683,24958812
2025-12-21,17930,17980,17760,17810,10076776
2025-12-22,17960,18120,17800,17920,5315590
2025-12-23,17990,18300,17990,18290,32684837
2025-12-24,18469,18680,18469,18611,10988085
2025-12-27,18870,19050,18810,18883,12631269
2025-12-28,19135,19257,19050,19231,9677487
2025-12-29,19419,19419,18890,18940,19463982
2025-12-30,18850,18850,18560,18560,21380401
2025-12-31,18340,19000,18340,19000,6386225
2026-01-04,19080,19080,18651,18990,3072486
2026-01-05,19240,19380,19202,19380,18825596
2026-01-06,19700,19895,19680,19895,74689079
2026-01-07,20169,20300,19888,19978,49842570
2026-01-10,19416,19898,19416,19416,23832396
2026-01-11,19250,19798,19200,19750,17489070
2026-01-12,19800,20237,19800,20150,16675953
2026-01-13,20180,20239,19620,19680,13295287
2026-01-14,19395,19550,19389,19400,14343312
2026-01-18,19590,19780,19561,19631,12606172
2026-01-19,19899,20000,19643,19800,11327550
2026-01-20,19820,20029,19480,19825,18136740
2026-01-21,20029,20029,19700,19925,15537168
2026-01-24,19690,20029,19470,19540,7322162
2026-01-25,19120,19190,19060,19110,14040216
2026-01-26,18700,18800,18600,18600,832880
2026-01-27,18200,18300,18200,18260,19139767
2026-01-28,17791,18310,17791,18260,20829241
2026-01-31,18095,18340,17700,17700,15948360
2026-02-01,17850,18111,17701,18111,14288359
2026-02-02,18050,18339,18040,18310,15170838
2026-02-03,18540,18540,18070,18300,13214973
2026-02-07,18587,18887,18510,18788,29022733
2026-02-08,18991,19099,18550,18620,31720926
2026-02-09,18550,18630,18301,18358,3106290
2026-02-10,17910,18320,17910,18290,3941555
2026-02-14,18420,18541,17820,17820,4003472
2026-02-15,17820,18000,17815,17815,4595686
2026-02-16,17295,17500,17293,17500,7163995
2026-02-17,17402,17630,17402,17600,6011726
2026-02-18,17770,17790,17200,17200,12658172
2026-02-21,17000,17240,16921,16921,2266479
2026-02-22,16600,16730,16599,16679,3628118
2026-02-23,16830,16920,16700,16820,8896110
2026-02-24,16910,16910,16480,16600,3533793
2026-02-25,16500,16933,16500,16891,4801113
2026-05-19,16298,16299,16298,16298,10219079
2026-05-20,15815,15960,15813,15910,22512884
2026-05-23,16385,16386,16200,16386,16347045
2026-05-24,16876,16876,16876,16876,1000
2026-05-25,17382,17382,17040,17348,8292245
2026-05-26,17470,17902,17400,17902,20718564
2026-05-30,17652,17998,17652,17998,1799081
2026-05-31,18493,18493,18493,18493,4043479
2026-06-01,19047,19047,18770,18860,11259371
2026-06-02,18881,19080,18600,18800,49412165
2026-06-03,18880,18994,18600,18751,17004113
2026-06-06,18990,19340,18840,19301,11071718
2026-06-07,19640,19641,19640,19641,27710720
2026-06-08,19052,19540,19052,19052,22111234
2026-06-09,19660,19660,19660,19660,3625889
2026-06-10,20249,20249,20249,20249,6160171
2026-06-13,20856,20856,20856,20856,3003100
2026-06-14,21481,21481,21481,21481,2514955
2026-06-15,22125,22125,22125,22125,4515540
2026-06-16,22788,22788,22788,22788,6373046
2026-06-17,23150,23471,23030,23471,40052335
2026-06-20,24031,24031,23123,23501,71026288
2026-06-21,23460,23499,23049,23049,21747414
2026-06-22,22977,23100,22750,23090,15884313
2026-06-23,23547,23547,23270,23547,41649636
